element_type,osmid,highway,geometry,old_name,disused:railway,crossing:barrier,railway,public_transport,tram,crossing,barrier,light_rail,name,network,operator,station,wikidata,ref,subway,attribution,network:wikidata,train,wheelchair,massgis:geom_id,source,access,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,baby_feeding,bicycle,emergency_telephone_code,level,lit,parking,start_date,supervised,tracks,website,wikipedia,network:guid,network:short,network:wikipedia,operator:wikidata,gtfs:stop_id,check_date,opening_date,alt_name,ele,gnis:feature_id,wikimedia_commons,url,wheelchair:description,bus,bicycle_parking,contact:twitter,covered,fee,foot,internet_access,location,motor_vehicle,phone,description,indoor,stroller,check_date:crossing:barrier,fixme,architect,blind,colour,elevator,opening_hours,operator:type,platforms,smoking,surface,bench,bin,line,shelter,tactile_paving,railway:ref,material,iata,local_ref,name:Amtrak,name:MBTA,railway:ref:Amtrak,operator:short,railway:position,railway:signal:direction,railway:signal:position,direction,railway:derail,crossing:bell,crossing:light,locked,railway:signal:main,railway:signal:speed_limit,railway:signal:speed_limit:speed,automatic_door,door,oneway,entrance,railway:local_operated,railway:switch,railway:switch:configuration,railway:switch:movable_frog,railway:turnout_side,addr:city_parent,addr:country,addr:county,fare_zone,addr:neighbourhood,addr:street_1,amenity,lockable,exit,man_made,layer,tunnel,heritage:website,internet,phone:elevator,departures_board,historic,traffic_signals,contact:website,automated,note,seasonal,communication,speaker,tactile_writing:braille:en,emergency,access:conditional,traffic_signals:sound,button_operated,communication:radio,height,width,support,access:disabled,lanes,nodes,condition,massgis:way_id,maxspeed,railway_name,hgv,massgis:ref,cycleway:both,lane_markings,electrified,frequency,gauge,old_railway_operator,owner,ownership,voltage,railway:preferred_direction,incline,cutting,service,passenger,railway:track_ref,usage,highspeed,old_name:1970,railway:atc,railway:ptc,source:old_name:1970,bridge,building,bridge:movable,railway:traffic_mode,railway:bidirectional,change_date:first,change_date:fourth,change_date:second,change_date:third,name:original,operator:fourth,operator:freight,operator:original,operator:passenger,operator:second,operator:third,ford,maxheight,tracktype,note:old_railway_operator,abandoned:railway,railway:cbtc,building:levels,area,lanes:backward,lanes:forward,building:material,toilets,platform:type,bridge:structure,bridge:structure:beam,end_date,passenger_information_display,landuse,nohousenumber,roof:levels,roof:shape,horse,waste_basket,proposed:railway,turn:lanes:backward
node,61366369,,POINT (-71.1532599 42.3380078),,,no,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61366371,,POINT (-71.1533155 42.337992),,,,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61371521,traffic_signals,POINT (-71.1376083 42.3486083),,,no,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61373847,,POINT (-71.1509494 42.3361984),,,no,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61375893,,POINT (-71.1428665 42.3437399),,,no,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61391719,,POINT (-71.091565 42.306687),,,,tram_stop,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61433859,,POINT (-71.1665959 42.3400314),,,no,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61450356,,POINT (-71.1245717 42.3521605),,,no,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61490654,traffic_signals,POINT (-71.1310339 42.3504473),,,no,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,61545717,,POINT (-71.0914381 42.2673701),,,,level_crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
