,time,id,route,state,speed,goal_speed,track,speed_limit,location_id,location_distance,track_distance,master_block,sub_block,route_direction,signal
0,1,1,4,Dwell at station,0.0,0.0,2.0,88.0,SouthStation_2,0.0,0.0,0,,0,
1,2,1,4,Dwell at station,0.0,0.0,2.0,88.0,SouthStation_2,0.0,0.0,0,,0,
2,3,1,4,Free move,0.0,88.0,2.0,88.0,SouthStation_2,0.0,0.0,0,,0,
3,4,1,4,Free move,0.65,88.0,2.0,88.0,0,,0.325,0,,0,
4,5,1,4,Free move,1.3,88.0,2.0,88.0,0,,1.3,0,,0,
5,6,1,4,Free move,1.9500000000000002,88.0,2.0,88.0,0,,2.925,0,,0,
6,7,1,4,Free move,2.6,88.0,2.0,88.0,0,,5.2,0,,0,
7,8,1,4,Free move,3.25,88.0,2.0,88.0,0,,8.125,0,,0,
8,9,1,4,Free move,3.9,88.0,2.0,88.0,0,,11.7,0,,0,
9,10,1,4,Free move,4.55,88.0,2.0,88.0,0,,15.924999999999999,0,,0,
10,11,1,4,Free move,5.2,88.0,2.0,88.0,0,,20.799999999999997,0,,0,
11,12,1,4,Free move,5.8500000000000005,88.0,2.0,88.0,0,,26.324999999999996,0,,0,
12,13,1,4,Free move,6.500000000000001,88.0,2.0,88.0,0,,32.5,0,,0,
13,14,1,4,Free move,7.150000000000001,88.0,2.0,88.0,0,,39.325,0,,0,
14,15,1,4,Free move,7.800000000000002,88.0,2.0,88.0,0,,46.800000000000004,0,,0,
15,16,1,4,Free move,8.450000000000001,88.0,2.0,88.0,0,,54.925000000000004,0,,0,
16,17,1,4,Free move,9.100000000000001,88.0,2.0,88.0,0,,63.7,0,,0,
17,18,1,4,Free move,9.750000000000002,88.0,2.0,88.0,0,,73.125,0,,0,
18,19,1,4,Free move,10.400000000000002,88.0,2.0,88.0,0,,83.2,0,,0,
19,20,1,4,Free move,11.050000000000002,88.0,2.0,88.0,0,,93.92500000000001,0,,0,
20,21,1,4,Free move,11.700000000000003,88.0,2.0,88.0,0,,105.30000000000001,0,,0,
21,22,1,4,Free move,12.350000000000003,88.0,2.0,88.0,0,,117.32500000000002,0,,0,
22,23,1,4,Free move,13.000000000000004,88.0,2.0,88.0,0,,130.00000000000003,0,,0,
23,24,1,4,Free move,13.650000000000004,88.0,2.0,88.0,0,,143.32500000000005,0,,0,
24,25,1,4,Free move,14.300000000000004,88.0,2.0,18.572228269629022,0,,157.30000000000004,2,,0,
25,26,1,4,Free move,14.950000000000005,18.572228269629022,2.0,18.572228269629022,2,,171.92500000000004,2,,0,
26,27,1,4,Free move,15.600000000000005,18.572228269629022,2.0,18.572228269629022,2,,187.20000000000005,2,,0,
27,28,1,4,Free move,16.250000000000004,18.572228269629022,2.0,18.572228269629022,2,,203.12500000000006,2,,0,
28,29,1,4,Free move,16.900000000000002,18.572228269629022,2.0,18.572228269629022,2,,219.70000000000005,2,,0,
29,30,1,4,Free move,17.55,18.572228269629022,2.0,18.572228269629022,2,,236.92500000000004,2,,0,
30,31,1,4,Free move,18.2,18.572228269629022,2.0,18.572228269629022,2,,254.80000000000004,2,,0,
31,32,1,4,Free move,18.849999999999998,18.572228269629022,2.0,18.572228269629022,2,,273.32500000000005,2,,0,
32,33,1,4,Free move,18.2,18.572228269629022,2.0,18.572228269629022,2,,291.85,2,,0,
33,34,1,4,Free move,17.55,18.572228269629022,2.0,18.572228269629022,2,,309.725,2,,0,
34,35,1,4,Free move,18.2,18.572228269629022,2.0,18.572228269629022,2,,327.6,2,,0,
35,36,1,4,Free move,18.849999999999998,18.572228269629022,2.0,18.572228269629022,2,,346.125,2,,0,
36,37,1,4,Free move,18.2,18.572228269629022,2.0,18.572228269629022,2,,364.65,2,,0,
37,38,1,4,Free move,17.55,18.572228269629022,2.0,18.572228269629022,2,,382.525,2,,0,
38,39,1,4,Free move,18.2,18.572228269629022,2.0,18.572228269629022,2,,400.4,2,,0,
39,40,1,4,Free move,18.849999999999998,18.572228269629022,2.0,18.572228269629022,2,,418.92499999999995,2,,0,
40,41,1,4,Free move,18.2,18.572228269629022,2.0,18.572228269629022,2,,437.44999999999993,2,,0,
41,42,1,4,Free move,17.55,18.572228269629022,2.0,18.572228269629022,2,,455.32499999999993,2,,0,
42,43,1,4,Free move,18.2,18.572228269629022,2.0,88.0,2,,473.19999999999993,3,,0,
43,44,1,4,Free move,18.849999999999998,88.0,2.0,88.0,3,,491.7249999999999,3,,0,
44,45,1,4,Free move,19.499999999999996,88.0,2.0,88.0,3,,510.8999999999999,3,,0,
45,46,1,4,Free move,20.149999999999995,88.0,2.0,88.0,3,,530.7249999999999,3,,0,
46,47,1,4,Free move,20.799999999999994,88.0,2.0,88.0,3,,551.1999999999999,3,,0,
47,48,1,4,Free move,21.449999999999992,88.0,2.0,88.0,3,,572.3249999999999,3,,0,
48,49,1,4,Free move,22.09999999999999,88.0,2.0,88.0,3,,594.0999999999999,3,,0,
49,50,1,4,Free move,22.74999999999999,88.0,2.0,88.0,3,,616.5249999999999,3,,0,
50,51,1,4,Free move,23.399999999999988,88.0,2.0,88.0,3,,639.5999999999999,3,,0,
51,52,1,4,Free move,24.049999999999986,88.0,2.0,88.0,3,,663.3249999999999,3,,0,
52,53,1,4,Free move,24.699999999999985,88.0,2.0,88.0,3,,687.6999999999999,3,,0,
53,54,1,4,Free move,25.349999999999984,88.0,2.0,88.0,3,,712.7249999999999,3,,0,
54,55,1,4,Free move,25.999999999999982,88.0,2.0,88.0,3,,738.3999999999999,3,,0,
55,56,1,4,Free move,26.64999999999998,88.0,2.0,88.0,3,,764.7249999999998,3,,0,
56,57,1,4,Free move,27.29999999999998,88.0,2.0,88.0,3,,791.6999999999998,3,,0,
57,58,1,4,Free move,27.949999999999978,88.0,2.0,88.0,3,,819.3249999999998,3,,0,
58,59,1,4,Free move,28.599999999999977,88.0,2.0,88.0,3,,847.5999999999998,3,,0,
59,60,1,4,Free move,29.249999999999975,88.0,2.0,88.0,3,,876.5249999999997,3,,0,
60,61,1,4,Free move,29.89697805049102,88.0,2.0,88.0,3,,906.0984890252453,3,,0,
61,62,1,4,Free move,30.529612858949548,88.0,2.0,88.0,3,,936.3117844799656,3,,0,
62,63,1,4,Free move,31.148804262809147,88.0,2.0,88.0,3,,967.1509930408449,3,,0,
63,64,1,4,Free move,31.755361020127236,88.0,2.0,88.0,3,,998.6030756823131,3,,0,
64,65,1,4,Free move,32.35001325057954,88.0,2.0,88.0,3,,1030.6557628176665,3,,0,
65,66,1,4,Free move,32.933422769210665,88.0,2.0,88.0,3,,1063.2974808275617,3,,0,
66,67,1,4,Free move,33.506191734033685,88.0,2.0,88.0,3,,1096.5172880791838,3,,0,
67,68,1,4,Free move,34.068869932486834,88.0,2.0,88.0,3,,1130.304818912444,3,,0,
68,69,1,4,Free move,33.49302599581945,32.532122928810935,2.0,88.0,3,,1164.085766876597,3,,0,
69,70,1,4,Free move,32.90758763253163,32.532122928810935,2.0,32.532122928810935,3,,1197.2860736907726,4,,0,
70,71,1,4,Free move,32.31204574309162,32.532122928810935,2.0,32.532122928810935,4,,1229.8958903785842,4,,0,
71,72,1,4,Free move,31.71650385365162,32.532122928810935,2.0,32.532122928810935,4,,1261.9101651769558,4,,0,
72,73,1,4,Free move,32.31190522278965,32.532122928810935,2.0,32.532122928810935,4,,1293.9243697151765,4,,0,
73,74,1,4,Move and stop at station,31.70570199844253,32.532122928810935,2.0,32.532122928810935,4,,1325.9331733257925,4,,0,
74,75,1,4,Move and stop at station,31.08823239983287,32.532122928810935,2.0,32.532122928810935,4,,1357.3301405249301,4,,0,
75,76,1,4,Move and stop at station,30.45882963518162,32.532122928810935,2.0,32.532122928810935,4,,1388.1036715424373,4,,0,
76,77,1,4,Move and stop at station,29.81675917215214,32.532122928810935,2.0,32.532122928810935,4,,1418.2414659461042,4,,0,
77,78,1,4,Move and stop at station,29.16675917215214,32.532122928810935,2.0,32.532122928810935,4,,1447.7332251182563,4,,0,
78,79,1,4,Move and stop at station,28.516759172152142,32.532122928810935,2.0,32.532122928810935,4,,1476.5749842904086,4,,0,
79,80,1,4,Move and stop at station,27.866759172152143,32.532122928810935,2.0,32.532122928810935,4,,1504.7667434625607,4,,0,
80,81,1,4,Move and stop at station,27.216759172152145,32.532122928810935,2.0,32.532122928810935,4,,1532.3085026347128,4,,0,
81,82,1,4,Move and stop at station,26.566759172152146,32.532122928810935,2.0,32.532122928810935,4,,1559.200261806865,4,,0,
82,83,1,4,Move and stop at station,25.916759172152148,32.532122928810935,2.0,32.532122928810935,4,,1585.4420209790171,4,,0,
83,84,1,4,Move and stop at station,25.26675917215215,32.532122928810935,2.0,32.532122928810935,4,,1611.0337801511694,4,,0,
84,85,1,4,Move and stop at station,24.61675917215215,32.532122928810935,2.0,32.532122928810935,4,,1635.9755393233215,4,,0,
85,86,1,4,Move and stop at station,23.966759172152152,32.532122928810935,2.0,32.532122928810935,4,,1660.2672984954736,4,,0,
86,87,1,4,Move and stop at station,23.316759172152153,32.532122928810935,2.0,32.532122928810935,4,,1683.9090576676258,4,,0,
87,88,1,4,Move and stop at station,22.666759172152155,32.532122928810935,2.0,32.532122928810935,4,,1706.900816839778,4,,0,
88,89,1,4,Move and stop at station,22.016759172152156,32.532122928810935,2.0,32.532122928810935,4,,1729.2425760119302,4,,0,
89,90,1,4,Move and stop at station,21.366759172152157,32.532122928810935,2.0,32.532122928810935,4,,1750.9343351840823,4,,0,
90,91,1,4,Move and stop at station,20.71675917215216,32.532122928810935,2.0,32.532122928810935,4,,1771.9760943562344,4,,0,
91,92,1,4,Move and stop at station,20.06675917215216,32.532122928810935,2.0,32.532122928810935,4,,1792.3678535283866,4,,0,
92,93,1,4,Move and stop at station,19.41675917215216,32.532122928810935,2.0,32.532122928810935,4,,1812.1096127005387,4,,0,
93,94,1,4,Move and stop at station,18.766759172152163,32.532122928810935,2.0,32.532122928810935,4,,1831.201371872691,4,,0,
94,95,1,4,Move and stop at station,18.116759172152165,32.532122928810935,2.0,32.532122928810935,4,,1849.6431310448431,4,,0,
95,96,1,4,Move and stop at station,17.466759172152166,32.532122928810935,2.0,32.532122928810935,4,,1867.4348902169952,4,,0,
96,97,1,4,Move and stop at station,16.816759172152167,32.532122928810935,2.0,32.532122928810935,4,,1884.5766493891474,4,,0,
97,98,1,4,Move and stop at station,16.16675917215217,32.532122928810935,2.0,32.532122928810935,4,,1901.0684085612995,4,,0,
98,99,1,4,Move and stop at station,15.516759172152168,32.532122928810935,2.0,32.532122928810935,4,,1916.9101677334518,4,,0,
99,100,1,4,Move and stop at station,14.866759172152168,32.532122928810935,2.0,32.532122928810935,4,,1932.101926905604,4,,0,
100,101,1,4,Move and stop at station,14.216759172152168,32.532122928810935,2.0,32.532122928810935,4,,1946.643686077756,4,,0,
101,102,1,4,Move and stop at station,13.566759172152167,32.532122928810935,2.0,32.532122928810935,4,,1960.5354452499082,4,,0,
102,103,1,4,Move and stop at station,12.916759172152167,32.532122928810935,2.0,32.532122928810935,4,,1973.7772044220603,4,,0,
103,104,1,4,Move and stop at station,12.266759172152167,32.532122928810935,2.0,32.532122928810935,4,,1986.3689635942126,4,,0,
104,105,1,4,Move and stop at station,11.616759172152166,32.532122928810935,2.0,32.532122928810935,4,,1998.3107227663647,4,,0,
105,106,1,4,Move and stop at station,10.966759172152166,32.532122928810935,2.0,32.532122928810935,4,,2009.6024819385168,4,,0,
106,107,1,4,Move and stop at station,10.316759172152166,32.532122928810935,2.0,32.532122928810935,4,,2020.244241110669,4,,0,
107,108,1,4,Move and stop at station,9.666759172152165,32.532122928810935,2.0,32.532122928810935,4,,2030.2360002828211,4,,0,
108,109,1,4,Move and stop at station,9.016759172152165,32.532122928810935,2.0,32.532122928810935,4,,2039.5777594549734,4,,0,
109,110,1,4,Move and stop at station,8.366759172152165,32.532122928810935,2.0,32.532122928810935,4,,2048.2695186271258,4,,0,
110,111,1,4,Move and stop at station,7.716759172152164,32.532122928810935,2.0,32.532122928810935,4,,2056.311277799278,4,,0,
111,112,1,4,Move and stop at station,7.066759172152164,32.532122928810935,2.0,32.532122928810935,4,,2063.70303697143,4,,0,
112,113,1,4,Move and stop at station,6.4167591721521635,32.532122928810935,2.0,32.532122928810935,4,,2070.444796143582,4,,0,
113,114,1,4,Move and stop at station,5.766759172152163,32.532122928810935,2.0,32.532122928810935,4,,2076.5365553157344,4,,0,
114,115,1,4,Move and stop at station,5.116759172152163,32.532122928810935,2.0,32.532122928810935,4,,2081.9783144878866,4,,0,
115,116,1,4,Move and stop at station,4.4667591721521624,32.532122928810935,2.0,32.532122928810935,4,,2086.7700736600386,4,,0,
116,117,1,4,Move and stop at station,3.8167591721521625,32.532122928810935,2.0,32.532122928810935,4,,2090.9118328321906,4,,0,
117,118,1,4,Move and stop at station,3.1667591721521626,32.532122928810935,2.0,32.532122928810935,4,,2094.403592004343,4,,0,
118,119,1,4,Move and stop at station,2.5167591721521627,32.532122928810935,2.0,32.532122928810935,4,,2097.245351176495,4,,0,
119,120,1,4,Move and stop at station,1.8667591721521628,32.532122928810935,2.0,32.532122928810935,4,,2099.4371103486474,4,,0,
120,121,1,4,Move and stop at station,1.216759172152163,32.532122928810935,2.0,32.532122928810935,4,,2100.9788695207994,4,,0,
121,122,1,4,Move and stop at station,0.5667591721521629,32.532122928810935,2.0,32.532122928810935,4,,2101.8706286929514,4,,0,
122,123,1,4,Move and stop at station,0.0,32.532122928810935,2.0,32.532122928810935,4,,2102.1123878651038,4,,0,
123,124,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
124,125,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
125,126,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
126,127,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
127,128,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
128,129,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
129,130,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
130,131,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
131,132,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
132,133,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
133,134,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
134,135,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
135,136,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
136,137,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
137,138,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
138,139,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
139,140,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
140,141,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
141,142,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
142,143,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
143,144,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
144,145,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
145,146,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
146,147,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
147,148,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
148,149,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
149,150,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
150,151,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
151,152,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
152,153,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
153,154,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
154,155,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
155,156,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
156,157,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
157,158,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
158,159,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
159,160,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
160,161,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
161,162,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
162,163,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
163,164,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
164,165,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
165,166,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
166,167,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
167,168,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
168,169,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
169,170,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
170,171,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
171,172,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
172,173,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
173,174,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
174,175,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
175,176,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
176,177,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
177,178,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
178,179,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
179,180,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
180,181,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
181,182,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
182,183,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
183,184,1,4,Dwell at station,0.0,32.532122928810935,2.0,32.532122928810935,BackBay_2,0.0,2102.1123878651038,4,,0,
