,time,id,route,state,speed,goal_speed,track,speed_limit,location_id,location_distance,track_distance,master_block,sub_block,route_direction,signal
0,1,1,1,Dwell at station,0,0,1,88,Penn_1,0,0,0,,0,
1,2,1,1,Free move,0,88,1,88,Penn_1,0,0,0,,0,
2,3,1,1,Free move,0.65,88,1,88,0,,0.325,0,,0,
3,4,1,1,Free move,1.3,88,1,88,0,,1.3,0,,0,
4,5,1,1,Free move,1.95,88,1,88,0,,2.925,0,,0,
5,6,1,1,Free move,2.6,88,1,88,0,,5.2,0,,0,
6,7,1,1,Free move,3.25,88,1,88,0,,8.125,0,,0,
7,8,1,1,Free move,3.9,88,1,88,0,,11.7,0,,0,
8,9,1,1,Free move,4.55,88,1,88,0,,15.925,0,,0,
9,10,1,1,Free move,5.2,88,1,88,0,,20.8,0,,0,
10,11,1,1,Free move,5.85,88,1,88,0,,26.325,0,,0,
11,12,1,1,Free move,6.5,88,1,88,0,,32.5,0,,0,
12,13,1,1,Free move,7.15,88,1,88,0,,39.325,0,,0,
13,14,1,1,Free move,7.8,88,1,88,0,,46.8,0,,0,
14,15,1,1,Free move,8.45,88,1,88,0,,54.925,0,,0,
15,16,1,1,Free move,9.1,88,1,88,0,,63.7,0,,0,
16,17,1,1,Free move,9.75,88,1,88,0,,73.125,0,,0,
17,18,1,1,Free move,10.4,88,1,88,0,,83.2,0,,0,
18,19,1,1,Free move,11.05,88,1,88,0,,93.925,0,,0,
19,20,1,1,Free move,11.7,88,1,88,0,,105.3,0,,0,
20,21,1,1,Free move,12.35,88,1,88,0,,117.325,0,,0,
21,22,1,1,Free move,13,88,1,88,0,,130,0,,0,
22,23,1,1,Free move,13.65,88,1,88,0,,143.325,0,,0,
23,24,1,1,Free move,14.3,88,1,88,0,,157.3,0,,0,
24,25,1,1,Free move,14.95,88,1,88,0,,171.925,0,,0,
25,26,1,1,Free move,15.6,88,1,88,0,,187.2,0,,0,
26,27,1,1,Free move,16.25,88,1,88,0,,203.125,0,,0,
27,28,1,1,Free move,16.9,88,1,88,0,,219.7,0,,0,
28,29,1,1,Free move,17.55,88,1,88,0,,236.925,0,,0,
29,30,1,1,Free move,18.2,88,1,88,0,,254.8,0,,0,
30,31,1,1,Free move,18.85,88,1,88,0,,273.325,0,,0,
31,32,1,1,Free move,19.5,88,1,88,0,,292.5,0,,0,
32,33,1,1,Free move,20.15,88,1,88,0,,312.325,0,,0,
33,34,1,1,Free move,20.8,88,1,88,0,,332.8,0,,0,
34,35,1,1,Free move,21.45,88,1,88,0,,353.925,0,,0,
35,36,1,1,Free move,22.1,88,1,88,0,,375.7,0,,0,
36,37,1,1,Free move,22.75,88,1,88,0,,398.125,0,,0,
37,38,1,1,Free move,23.4,88,1,88,0,,421.2,0,,0,
38,39,1,1,Free move,24.05,88,1,88,0,,444.925,0,,0,
39,40,1,1,Free move,24.7,88,1,88,0,,469.3,0,,0,
40,41,1,1,Free move,25.35,88,1,88,0,,494.325,0,,0,
41,42,1,1,Free move,26,88,1,88,0,,520,0,,0,
42,43,1,1,Free move,26.65,88,1,88,0,,546.325,0,,0,
43,44,1,1,Free move,27.3,88,1,88,0,,573.3,0,,0,
44,45,1,1,Free move,27.95,88,1,88,0,,600.925,0,,0,
45,46,1,1,Free move,28.6,88,1,88,0,,629.2,0,,0,
46,47,1,1,Free move,29.25,88,1,88,0,,658.125,0,,0,
47,48,1,1,Free move,29.89697805,88,1,88,0,,687.698489,0,,0,
48,49,1,1,Free move,30.52961286,88,1,88,0,,717.9117845,0,,0,
49,50,1,1,Free move,31.14880426,88,1,88,0,,748.750993,0,,0,
50,51,1,1,Free move,31.75536102,88,1,88,0,,780.2030757,0,,0,
51,52,1,1,Free move,32.35001325,88,1,88,0,,812.2557628,0,,0,
52,53,1,1,Free move,32.93342277,88,1,88,0,,844.8974808,0,,0,
53,54,1,1,Free move,33.50619173,88,1,88,0,,878.1172881,0,,0,
54,55,1,1,Free move,34.06886993,88,1,88,0,,911.9048189,0,,0,
55,56,1,1,Free move,34.62196096,88,1,88,0,,946.2502344,0,,0,
56,57,1,1,Free move,35.16592749,88,1,88,0,,981.1441786,0,,0,
57,58,1,1,Free move,35.7011958,88,1,88,0,,1016.57774,0,,0,
58,59,1,1,Free move,36.22815965,88,1,88,0,,1052.542418,0,,0,
59,60,1,1,Free move,36.74718368,88,1,88,0,,1089.03009,0,,0,
60,61,1,1,Free move,37.25860635,88,1,88,0,,1126.032985,0,,0,
61,62,1,1,Free move,37.76274247,88,1,88,0,,1163.543659,0,,0,
62,63,1,1,Free move,38.2598855,88,1,88,0,,1201.554973,0,,0,
63,64,1,1,Free move,38.75030948,88,1,88,0,,1240.060071,0,,0,
64,65,1,1,Free move,39.23427084,88,1,88,0,,1279.052361,0,,0,
65,66,1,1,Free move,39.7120099,88,1,88,0,,1318.525501,0,,0,
66,67,1,1,Free move,40.18375229,88,1,88,0,,1358.473382,0,,0,
67,68,1,1,Free move,40.64971017,88,1,88,0,,1398.890113,0,,0,
68,69,1,1,Free move,41.11008331,88,1,88,0,,1439.77001,0,,0,
69,70,1,1,Free move,41.56506012,88,1,88,0,,1481.107582,0,,0,
70,71,1,1,Free move,42.0148185,88,1,88,0,,1522.897521,0,,0,
71,72,1,1,Free move,42.45952667,88,1,88,0,,1565.134694,0,,0,
72,73,1,1,Free move,42.89934388,88,1,88,0,,1607.814129,0,,0,
73,74,1,1,Free move,43.33442107,88,1,88,0,,1650.931011,0,,0,
74,75,1,1,Free move,43.76490148,88,1,88,0,,1694.480673,0,,0,
75,76,1,1,Free move,44.19092116,88,1,88,0,,1738.458584,0,,0,
76,77,1,1,Free move,44.6126095,88,1,88,0,,1782.860349,0,,0,
77,78,1,1,Free move,45.03008964,88,1,88,0,,1827.681699,0,,0,
78,79,1,1,Free move,45.44347894,88,1,88,0,,1872.918483,0,,0,
79,80,1,1,Free move,45.85288928,88,1,88,0,,1918.566667,0,,0,
80,81,1,1,Free move,46.2584275,88,1,88,0,,1964.622326,0,,0,
81,82,1,1,Free move,46.66019562,88,1,88,0,,2011.081637,0,,0,
82,83,1,1,Free move,47.05829122,88,1,88,0,,2057.940881,0,,0,
83,84,1,1,Free move,47.45280766,88,1,88,0,,2105.19643,0,,0,
84,85,1,1,Free move,47.84383435,88,1,88,0,,2152.844751,0,,0,
