,time,id,route,state,speed,goal_speed,track,speed_limit,location_id,location_distance,total_distance,master_block,sub_block,route_direction,signal
0,1,1,2,Dwell at station,0,0,2,41.67,SouthStation_2,0,0,1,,0,
1,2,1,2,Dwell at station,0,0,2,41.67,SouthStation_2,0,0,1,,0,
2,3,1,2,Free move,0,41.67,2,41.67,SouthStation_2,0,0,1,,0,
3,4,1,2,Free move,1.198277958,41.67,2,41.67,1,,0.599138979,1,,0,
4,5,1,2,Free move,2.396548378,41.67,2,41.67,1,,2.396552147,1,,0,
5,6,1,2,Free move,3.594811171,41.67,2,41.67,1,,5.392231922,1,,0,
6,7,1,2,Free move,4.793066247,41.67,2,41.67,1,,9.586170631,1,,0,
7,8,1,2,Free move,5.991313516,41.67,2,41.67,1,,14.97836051,1,,0,
8,9,1,2,Free move,7.189552889,41.67,2,41.67,1,,21.56879371,1,,0,
9,10,1,2,Free move,8.387784275,41.67,2,41.67,1,,29.3574623,1,,0,
10,11,1,2,Free move,9.586007586,41.67,2,41.67,1,,38.34435823,1,,0,
11,12,1,2,Free move,10.78422273,41.67,2,41.67,1,,48.52947339,1,,0,
12,13,1,2,Free move,11.98242962,41.67,2,41.67,1,,59.91279956,1,,0,
13,14,1,2,Free move,13.18062816,41.67,2,41.67,1,,72.49432845,1,,0,
14,15,1,2,Free move,14.37881827,41.67,2,41.67,1,,86.27405167,1,,0,
15,16,1,2,Free move,15.50417562,41.67,2,41.67,1,,101.2155486,1,,0,
16,17,1,2,Free move,16.54770979,41.67,2,41.67,1,,117.2414913,1,,0,
17,18,1,2,Free move,17.52531369,41.67,2,41.67,1,,134.2780031,1,,0,
18,19,1,2,Free move,18.44827505,41.67,2,18.57222827,1,,152.2647974,2,,0,
19,20,1,2,Free move,19.32496202,18.57222827,2,18.57222827,2,,171.151416,2,,0,
20,21,1,2,Free move,18.48813677,18.57222827,2,18.57222827,2,,190.0579654,2,,0,
21,22,1,2,Free move,17.65131151,18.57222827,2,18.57222827,2,,208.1276895,2,,0,
22,23,1,2,Free move,18.56767056,18.57222827,2,18.57222827,2,,226.2371805,2,,0,
23,24,1,2,Free move,19.48402961,18.57222827,2,18.57222827,2,,245.2630306,2,,0,
24,25,1,2,Free move,18.65405252,18.57222827,2,18.57222827,2,,264.3320717,2,,0,
25,26,1,2,Free move,17.78705841,18.57222827,2,18.57222827,2,,282.5526272,2,,0,
26,27,1,2,Free move,16.92006431,18.57222827,2,18.57222827,2,,299.9061885,2,,0,
27,28,1,2,Free move,17.87611131,18.57222827,2,18.57222827,2,,317.3042763,2,,0,
28,29,1,2,Free move,18.83215832,18.57222827,2,18.57222827,2,,335.6584111,2,,0,
29,30,1,2,Free move,17.97338265,18.57222827,2,18.57222827,2,,354.0611816,2,,0,
30,31,1,2,Free move,17.11460699,18.57222827,2,18.57222827,2,,371.6051764,2,,0,
31,32,1,2,Free move,18.05976425,18.57222827,2,18.57222827,2,,389.1923621,2,,0,
32,33,1,2,Free move,19.00492151,18.57222827,2,18.57222827,2,,407.7247049,2,,0,
33,34,1,2,Free move,18.15397061,18.57222827,2,18.57222827,2,,426.304151,2,,0,
34,35,1,2,Free move,17.30301971,18.57222827,2,18.57222827,2,,444.0326462,2,,0,
35,36,1,2,Free move,18.23786375,18.57222827,2,18.57222827,2,,461.8030879,2,,0,
36,37,1,2,Free move,19.17270779,18.57222827,2,41.67,2,,480.5083737,3,,0,
37,38,1,2,Free move,18.32922128,41.67,2,41.67,3,,499.2593382,3,,0,
38,39,1,2,Free move,19.21161548,41.67,2,41.67,3,,518.0297566,3,,0,
39,40,1,2,Free move,20.0533897,41.67,2,41.67,3,,537.6622592,3,,0,
40,41,1,2,Free move,20.85974495,41.67,2,41.67,3,,558.1188265,3,,0,
41,42,1,2,Free move,21.63485172,41.67,2,41.67,3,,579.3661249,3,,0,
42,43,1,2,Free move,22.38211619,41.67,2,41.67,3,,601.3746088,3,,0,
43,44,1,2,Free move,23.10436378,41.67,2,41.67,3,,624.1178488,3,,0,
44,45,1,2,Free move,23.80396951,41.67,2,41.67,3,,647.5720154,3,,0,
45,46,1,2,Free move,24.48295287,41.67,2,41.67,3,,671.7154766,3,,0,
46,47,1,2,Free move,25.1430484,41.67,2,41.67,3,,696.5284773,3,,0,
47,48,1,2,Free move,25.78575918,41.67,2,41.67,3,,721.992881,3,,0,
48,49,1,2,Free move,26.412398,41.67,2,41.67,3,,748.0919596,3,,0,
49,50,1,2,Free move,27.02411959,41.67,2,41.67,3,,774.8102184,3,,0,
50,51,1,2,Free move,27.6219461,41.67,2,41.67,3,,802.1332513,3,,0,
51,52,1,2,Free move,28.20678757,41.67,2,41.67,3,,830.0476181,3,,0,
52,53,1,2,Free move,28.77945844,41.67,2,41.67,3,,858.5407411,3,,0,
53,54,1,2,Free move,29.34069109,41.67,2,41.67,3,,887.6008159,3,,0,
54,55,1,2,Free move,29.89114701,41.67,2,41.67,3,,917.2167349,3,,0,
55,56,1,2,Free move,30.43142603,41.67,2,41.67,3,,947.3780215,3,,0,
56,57,1,2,Free move,30.96207417,41.67,2,41.67,3,,978.0747716,3,,0,
57,58,1,2,Free move,31.48359011,41.67,2,41.67,3,,1009.297604,3,,0,
58,59,1,2,Free move,31.99643079,41.67,2,41.67,3,,1041.037614,3,,0,
59,60,1,2,Free move,32.50101615,41.67,2,41.67,3,,1073.286338,3,,0,
60,61,1,2,Free move,32.9977332,41.67,2,41.67,3,,1106.035712,3,,0,
61,62,1,2,Free move,33.48693954,41.67,2,41.67,3,,1139.278049,3,,0,
62,63,1,2,Free move,33.96896638,41.67,2,41.67,3,,1173.006002,3,,0,
63,64,1,2,Free move,34.44412122,41.67,2,32.53212293,3,,1207.212545,4,,0,
64,65,1,2,Free move,34.91269015,32.53212293,2,32.53212293,4,,1241.890951,4,,0,
65,66,1,2,Free move,34.45044041,32.53212293,2,32.53212293,4,,1276.572516,4,,0,
66,67,1,2,Free move,33.98195783,32.53212293,2,32.53212293,4,,1310.788715,4,,0,
67,68,1,2,Free move,33.50698551,32.53212293,2,32.53212293,4,,1344.533187,4,,0,
68,69,1,2,Free move,33.02524839,32.53212293,2,32.53212293,4,,1377.799304,4,,0,
69,70,1,2,Free move,32.5364515,32.53212293,2,32.53212293,4,,1410.580154,4,,0,
70,71,1,2,Free move,32.04027785,32.53212293,2,32.53212293,4,,1442.868519,4,,0,
71,72,1,2,Free move,31.5441042,32.53212293,2,32.53212293,4,,1474.66071,4,,0,
72,73,1,2,Free move,32.05595681,32.53212293,2,32.53212293,4,,1506.46074,4,,0,
73,74,1,2,Move and stop at station,31.55231255,32.53212293,2,32.53212293,4,,1538.264875,4,,0,
74,75,1,2,Move and stop at station,31.04059367,32.53212293,2,32.53212293,4,,1569.561328,4,,0,
75,76,1,2,Move and stop at station,30.52040252,32.53212293,2,32.53212293,4,,1600.341826,4,,0,
76,77,1,2,Move and stop at station,29.99130777,32.53212293,2,32.53212293,4,,1630.597681,4,,0,
77,78,1,2,Move and stop at station,29.45284037,32.53212293,2,32.53212293,4,,1660.319755,4,,0,
78,79,1,2,Move and stop at station,28.90448873,32.53212293,2,32.53212293,4,,1689.49842,4,,0,
79,80,1,2,Move and stop at station,28.34569311,32.53212293,2,32.53212293,4,,1718.123511,4,,0,
80,81,1,2,Move and stop at station,27.7758391,32.53212293,2,32.53212293,4,,1746.184277,4,,0,
81,82,1,2,Move and stop at station,27.19424983,32.53212293,2,32.53212293,4,,1773.669321,4,,0,
82,83,1,2,Move and stop at station,26.6001767,32.53212293,2,32.53212293,4,,1800.566535,4,,0,
83,84,1,2,Move and stop at station,25.99278841,32.53212293,2,32.53212293,4,,1826.863017,4,,0,
84,85,1,2,Move and stop at station,25.37115748,32.53212293,2,32.53212293,4,,1852.54499,4,,0,
85,86,1,2,Move and stop at station,24.7342441,32.53212293,2,32.53212293,4,,1877.597691,4,,0,
86,87,1,2,Move and stop at station,24.0808761,32.53212293,2,32.53212293,4,,1902.005251,4,,0,
87,88,1,2,Move and stop at station,23.40972425,32.53212293,2,32.53212293,4,,1925.750551,4,,0,
88,89,1,2,Move and stop at station,22.71927122,32.53212293,2,32.53212293,4,,1948.815049,4,,0,
89,90,1,2,Move and stop at station,22.00777226,32.53212293,2,32.53212293,4,,1971.178571,4,,0,
90,91,1,2,Move and stop at station,21.27320471,32.53212293,2,32.53212293,4,,1992.819059,4,,0,
91,92,1,2,Move and stop at station,20.51320209,32.53212293,2,32.53212293,4,,2013.712263,4,,0,
92,93,1,2,Move and stop at station,19.7249668,32.53212293,2,32.53212293,4,,2033.831347,4,,0,
93,94,1,2,Move and stop at station,18.90515222,32.53212293,2,32.53212293,4,,2053.146407,4,,0,
94,95,1,2,Move and stop at station,18.04970003,32.53212293,2,32.53212293,4,,2071.623833,4,,0,
95,96,1,2,Move and stop at station,17.15361023,32.53212293,2,32.53212293,4,,2089.225488,4,,0,
96,97,1,2,Move and stop at station,16.21060649,32.53212293,2,32.53212293,4,,2105.907596,4,,0,
97,98,1,2,Move and stop at station,15.2126325,32.53212293,2,32.53212293,4,,2121.619216,4,,0,
98,99,1,2,Move and stop at station,14.14906237,32.53212293,2,32.53212293,4,,2136.300063,4,,0,
99,100,1,2,Move and stop at station,13.00540003,32.53212293,2,32.53212293,4,,2149.877294,4,,0,
100,101,1,2,Move and stop at station,11.80720868,32.53212293,2,41.67,4,,2162.283599,5,,0,
101,102,1,2,Move and stop at station,10.60900891,41.67,2,41.67,4,,2173.491707,5,,0,
102,103,1,2,Move and stop at station,9.410800806,41.67,2,41.67,4,,2183.501612,5,,0,
103,104,1,2,Move and stop at station,8.212584461,41.67,2,41.67,4,,2192.313305,5,,0,
104,105,1,2,Move and stop at station,7.014359964,41.67,2,41.67,4,,2199.926777,5,,0,
105,106,1,2,Move and stop at station,5.816127405,41.67,2,41.67,4,,2206.342021,5,,0,
106,107,1,2,Move and stop at station,4.617886872,41.67,2,41.67,4,,2211.559028,5,,0,
107,108,1,2,Move and stop at station,3.419638456,41.67,2,41.67,4,,2215.577791,5,,0,
108,109,1,2,Move and stop at station,2.221382246,41.67,2,41.67,4,,2218.398301,5,,0,
109,110,1,2,Move and stop at station,1.023118333,41.67,2,41.67,4,,2220.020551,5,,0,
110,111,1,2,Move and stop at station,0,41.67,2,41.67,4,,2220.444534,5,,0,
111,112,1,2,Dwell at station,0,41.67,2,41.67,BackBay_2,0,2220.444534,5,,0,
