,time,id,route,state,speed,goal_speed,track,speed_limit,location_id,location_distance,track_distance,master_block,sub_block,route_direction,signal
0,1,1,4,Free move,0.0,41.67,1,41.67,87,,90931.877,87,,0,
1,2,1,4,Free move,1.2,41.67,1,41.67,87,,90932.477,87,,0,
2,3,1,4,Free move,2.4,41.67,1,41.67,87,,90934.277,87,,0,
3,4,1,4,Free move,3.5999999999999996,41.67,1,41.67,87,,90937.277,87,,0,
4,5,1,4,Free move,4.8,41.67,1,41.67,87,,90941.477,87,,0,
5,6,1,4,Free move,6.0,41.67,1,41.67,87,,90946.877,87,,0,
6,7,1,4,Free move,7.2,41.67,1,41.67,87,,90953.477,87,,0,
7,8,1,4,Free move,8.4,41.67,1,41.67,87,,90961.277,87,,0,
8,9,1,4,Free move,9.6,41.67,1,41.67,87,,90970.277,87,,0,
9,10,1,4,Free move,10.799999999999999,41.67,1,41.67,87,,90980.477,87,,0,
10,11,1,4,Free move,11.999999999999998,41.67,1,41.67,87,,90991.877,87,,0,
11,12,1,4,Free move,13.199999999999998,41.67,1,41.67,87,,91004.477,87,,0,
12,13,1,4,Free move,14.399999999999997,41.67,1,41.67,87,,91018.277,87,,0,
13,14,1,4,Free move,15.49791020752746,41.67,1,41.67,87,,91033.22595510377,87,,0,
14,15,1,4,Free move,16.51559329047237,41.67,1,41.67,87,,91049.23270685277,87,,0,
15,16,1,4,Free move,17.468367724361293,41.67,1,41.67,87,,91066.22468736018,87,,0,
16,17,1,4,Free move,18.367168956323358,41.67,1,41.67,87,,91084.14245570052,87,,0,
17,18,1,4,Free move,19.22013590357386,41.67,1,41.67,87,,91102.93610813047,87,,0,
18,19,1,4,Free move,20.03352514122796,41.67,1,41.67,87,,91122.56293865287,87,,0,
19,20,1,4,Free move,20.81227212828117,41.67,1,41.67,87,,91142.98583728763,87,,0,
20,21,1,4,Free move,21.560353366629617,41.67,1,41.67,87,,91164.17215003508,87,,0,
21,22,1,4,Free move,22.281029730772826,41.67,1,41.67,87,,91186.09284158378,87,,0,
22,23,1,4,Free move,22.97701551066481,41.67,1,41.67,87,,91208.7218642045,87,,0,
23,24,1,4,Free move,23.65059919596874,41.67,1,41.67,87,,91232.03567155782,87,,0,
24,25,1,4,Free move,24.303731876310422,41.67,1,41.67,87,,91256.01283709396,87,,0,
25,26,1,4,Free move,24.9380932973432,41.67,1,41.67,87,,91280.6337496808,87,,0,
26,27,1,4,Free move,25.55514212354738,41.67,1,41.67,87,,91305.88036739125,87,,0,
27,28,1,4,Free move,26.156154799792834,41.67,1,41.67,87,,91331.73601585292,87,,0,
28,29,1,4,Free move,26.742256027280355,41.67,1,41.67,87,,91358.18522126645,87,,0,
29,30,1,4,Free move,27.31444296856346,41.67,1,41.67,87,,91385.21357076438,87,,0,
30,31,1,4,Free move,27.873604692754814,41.67,1,41.67,87,,91412.80759459504,87,,0,
31,32,1,4,Free move,28.42053795910357,41.67,1,41.67,87,,91440.95466592097,87,,0,
32,33,1,4,Free move,28.955960149310016,41.67,1,41.67,87,,91469.64291497518,87,,0,
33,34,1,4,Free move,29.480519954892944,41.67,1,41.67,87,,91498.86115502728,87,,0,
34,35,1,4,Free move,29.99480627901611,41.67,1,41.67,87,,91528.59881814424,87,,0,
35,36,1,4,Free move,30.499355704912993,41.67,1,41.67,87,,91558.8458991362,87,,0,
36,37,1,4,Free move,30.99465880371024,41.67,1,41.67,87,,91589.5929063905,87,,0,
37,38,1,4,Free move,31.481165495067607,41.67,1,41.67,87,,91620.8308185399,87,,0,
38,39,1,4,Free move,31.959289629116547,41.67,1,41.67,87,,91652.55104610199,87,,0,
39,40,1,4,Free move,32.42941292382922,41.67,1,41.67,87,,91684.74539737846,87,,0,
40,41,1,4,Free move,32.891888365442284,41.67,1,41.67,87,,91717.4060480231,87,,0,
41,42,1,4,Free move,33.34704315892411,41.67,1,41.67,87,,91750.52551378528,87,,0,
42,43,1,4,Free move,33.79518129927729,41.67,1,41.67,87,,91784.09662601438,87,,0,
43,44,1,4,Free move,34.2365858216573,41.67,1,41.67,87,,91818.11250957484,87,,0,
44,45,1,4,Free move,34.671520778082325,41.67,1,41.67,87,,91852.56656287471,87,,0,
45,46,1,4,Free move,35.10023298032318,41.67,1,41.67,87,,91887.4524397539,87,,0,
46,47,1,4,Free move,35.52295354195461,41.67,1,41.67,87,,91922.76403301505,87,,0,
47,48,1,4,Free move,35.93989924718321,41.67,1,41.67,87,,91958.49545940962,87,,0,
48,49,1,4,Free move,36.351273769684866,41.67,1,41.67,87,,91994.64104591805,87,,0,
49,50,1,4,Free move,36.75726876108601,41.67,1,41.67,87,,92031.19531718343,87,,0,
50,51,1,4,Free move,37.158064825753485,41.67,1,41.67,87,,92068.15298397685,87,,0,
51,52,1,4,Free move,37.553832396094634,41.67,1,41.67,87,,92105.50893258778,87,,0,
52,53,1,4,Move and stop at station,37.08157398806457,41.67,1,41.67,87,,92142.82663577986,87,,0,
53,54,1,4,Move and stop at station,36.60414199675908,41.67,1,41.67,87,,92179.66949377226,87,,0,
54,55,1,4,Move and stop at station,36.121333197727964,41.67,1,41.67,87,,92216.0322313695,87,,0,
55,56,1,4,Move and stop at station,35.632931347004245,41.67,1,41.67,87,,92251.90936364187,87,,0,
56,57,1,4,Move and stop at station,35.13870598415214,41.67,1,41.67,87,,92287.29518230745,87,,0,
57,58,1,4,Move and stop at station,34.63841109031945,41.67,1,41.67,87,,92322.18374084469,87,,0,
58,59,1,4,Move and stop at station,34.131783579266035,41.67,1,41.67,87,,92356.56883817948,87,,0,
59,60,1,4,Move and stop at station,33.61854159527728,41.67,1,41.67,87,,92390.44400076674,87,,0,
60,61,1,4,Move and stop at station,33.098382586920415,41.67,1,41.67,87,,92423.80246285784,87,,0,
61,62,1,4,Move and stop at station,32.57098111953475,41.67,1,41.67,87,,92456.63714471107,87,,0,
62,63,1,4,Move and stop at station,32.035986381871226,41.67,1,41.67,87,,92488.94062846177,87,,0,
63,64,1,4,Move and stop at station,31.493019333030084,41.67,1,41.67,87,,92520.70513131922,87,,0,
64,65,1,4,Move and stop at station,30.941669424285614,41.67,1,41.67,87,,92551.92247569788,87,,0,
65,66,1,4,Move and stop at station,30.381490815870038,41.67,1,41.67,87,,92582.58405581796,87,,0,
66,67,1,4,Move and stop at station,29.811997990427624,41.67,1,41.67,87,,92612.68080022112,87,,0,
67,68,1,4,Move and stop at station,29.232660641450952,41.67,1,41.67,87,,92642.20312953705,87,,0,
68,69,1,4,Move and stop at station,28.642897684949222,41.67,1,41.67,87,,92671.14090870025,87,,0,
69,70,1,4,Move and stop at station,28.042070203641906,41.67,1,41.67,87,,92699.48339264454,87,,0,
70,71,1,4,Move and stop at station,27.429473082018152,41.67,1,41.67,87,,92727.21916428737,87,,0,
71,72,1,4,Move and stop at station,26.804325023294037,41.67,1,41.67,87,,92754.33606334002,87,,0,
72,73,1,4,Move and stop at station,26.165756549428252,41.67,1,41.67,87,,92780.82110412637,87,,0,
73,74,1,4,Move and stop at station,25.512795463962636,41.67,1,41.67,87,,92806.66038013306,87,,0,
74,75,1,4,Move and stop at station,24.844349091412194,41.67,1,41.67,87,,92831.83895241075,87,,0,
75,76,1,4,Move and stop at station,24.159182376701825,41.67,1,41.67,87,,92856.3407181448,87,,0,
76,77,1,4,Move and stop at station,23.45589060413782,41.67,1,41.67,87,,92880.14825463522,87,,0,
77,78,1,4,Move and stop at station,22.732865031914137,41.67,1,41.67,87,,92903.24263245324,87,,0,
78,79,1,4,Move and stop at station,21.988249063136244,41.67,1,41.67,87,,92925.60318950076,87,,0,
