,time,id,route,state,speed,goal_speed,track,speed_limit,location_id,location_distance,track_distance,master_block,sub_block,route_direction,signal
0,19201,1,7,Dwell at station,0.0,0.0,1.0,88.0,NewHaven_1,0.0,0.0,0.0,,0,
1,19202,1,7,Free move,0.0,88.0,1.0,88.0,NewHaven_1,0.0,0.0,0.0,,0,
2,19203,1,7,Free move,0.65,88.0,1.0,88.0,0.0,,0.325,0.0,,0,
3,19204,1,7,Free move,1.3,88.0,1.0,88.0,0.0,,1.3,0.0,,0,
4,19205,1,7,Free move,1.9500000000000002,88.0,1.0,88.0,0.0,,2.925,1.0,,0,
5,19206,1,7,Free move,2.6,88.0,1.0,88.0,1.0,,5.2,1.0,,0,
6,19207,1,7,Free move,3.25,88.0,1.0,88.0,1.0,,8.125,1.0,,0,
7,19208,1,7,Free move,3.9,88.0,1.0,88.0,1.0,,11.7,1.0,,0,
8,19209,1,7,Free move,4.55,88.0,1.0,88.0,1.0,,15.924999999999999,1.0,,0,
9,19210,1,7,Free move,5.2,88.0,1.0,88.0,1.0,,20.799999999999997,1.0,,0,
10,19211,1,7,Free move,5.8500000000000005,88.0,1.0,88.0,1.0,,26.324999999999996,1.0,,0,
11,19212,1,7,Free move,6.500000000000001,88.0,1.0,88.0,1.0,,32.5,1.0,,0,
12,19213,1,7,Free move,7.150000000000001,88.0,1.0,88.0,1.0,,39.325,1.0,,0,
13,19214,1,7,Free move,7.800000000000002,88.0,1.0,88.0,1.0,,46.800000000000004,1.0,,0,
14,19215,1,7,Free move,8.450000000000001,88.0,1.0,88.0,1.0,,54.925000000000004,1.0,,0,
15,19216,1,7,Free move,9.100000000000001,88.0,1.0,88.0,1.0,,63.7,1.0,,0,
16,19217,1,7,Free move,9.750000000000002,88.0,1.0,88.0,1.0,,73.125,1.0,,0,
17,19218,1,7,Free move,10.400000000000002,88.0,1.0,88.0,1.0,,83.2,1.0,,0,
18,19219,1,7,Free move,11.050000000000002,88.0,1.0,88.0,1.0,,93.92500000000001,1.0,,0,
19,19220,1,7,Free move,11.700000000000003,88.0,1.0,88.0,1.0,,105.30000000000001,1.0,,0,
20,19221,1,7,Free move,12.350000000000003,88.0,1.0,88.0,1.0,,117.32500000000002,1.0,,0,
21,19222,1,7,Free move,13.000000000000004,88.0,1.0,88.0,1.0,,130.00000000000003,1.0,,0,
22,19223,1,7,Free move,13.650000000000004,88.0,1.0,88.0,1.0,,143.32500000000005,1.0,,0,
23,19224,1,7,Free move,14.300000000000004,88.0,1.0,88.0,1.0,,157.30000000000004,1.0,,0,
24,19225,1,7,Free move,14.950000000000005,88.0,1.0,88.0,1.0,,171.92500000000004,1.0,,0,
25,19226,1,7,Free move,15.600000000000005,88.0,1.0,88.0,1.0,,187.20000000000005,1.0,,0,
26,19227,1,7,Free move,16.250000000000004,88.0,1.0,88.0,1.0,,203.12500000000006,1.0,,0,
27,19228,1,7,Free move,16.900000000000002,88.0,1.0,88.0,1.0,,219.70000000000005,1.0,,0,
28,19229,1,7,Free move,17.55,88.0,1.0,88.0,1.0,,236.92500000000004,1.0,,0,
29,19230,1,7,Free move,18.2,88.0,1.0,88.0,1.0,,254.80000000000004,1.0,,0,
30,19231,1,7,Free move,18.849999999999998,88.0,1.0,88.0,1.0,,273.32500000000005,1.0,,0,
31,19232,1,7,Free move,19.499999999999996,88.0,1.0,88.0,1.0,,292.50000000000006,1.0,,0,
32,19233,1,7,Free move,20.149999999999995,88.0,1.0,88.0,1.0,,312.32500000000005,1.0,,0,
33,19234,1,7,Free move,20.799999999999994,88.0,1.0,88.0,1.0,,332.80000000000007,1.0,,0,
34,19235,1,7,Free move,21.449999999999992,88.0,1.0,88.0,1.0,,353.92500000000007,1.0,,0,
35,19236,1,7,Free move,22.09999999999999,88.0,1.0,88.0,1.0,,375.70000000000005,1.0,,0,
36,19237,1,7,Free move,22.74999999999999,88.0,1.0,88.0,1.0,,398.12500000000006,1.0,,0,
37,19238,1,7,Free move,23.399999999999988,88.0,1.0,88.0,1.0,,421.20000000000005,1.0,,0,
