,time,id,route,state,speed,goal_speed,track,speed_limit,location_id,location_distance,track_distance,master_block,sub_block,route_direction,signal
0,1,1,2,Free move,0.0,88.89,1,88.89,74,,91421.453,74,,0,
1,2,1,2,Free move,0.65,88.89,1,88.89,74,,91421.77799999999,74,,0,
2,3,1,2,Free move,1.3,88.89,1,88.89,74,,91422.753,74,,0,
3,4,1,2,Free move,1.9500000000000002,88.89,1,88.89,74,,91424.378,74,,0,
4,5,1,2,Free move,2.6,88.89,1,88.89,74,,91426.65299999999,74,,0,
5,6,1,2,Free move,3.25,88.89,1,88.89,74,,91429.578,74,,0,
6,7,1,2,Free move,3.9,88.89,1,88.89,74,,91433.15299999999,74,,0,
7,8,1,2,Free move,4.55,88.89,1,88.89,74,,91437.378,74,,0,
8,9,1,2,Free move,5.2,88.89,1,88.89,74,,91442.253,74,,0,
9,10,1,2,Free move,5.8500000000000005,88.89,1,88.89,74,,91447.77799999999,74,,0,
10,11,1,2,Free move,6.500000000000001,88.89,1,88.89,74,,91453.953,74,,0,
11,12,1,2,Free move,7.150000000000001,88.89,1,88.89,74,,91460.77799999999,74,,0,
12,13,1,2,Free move,7.800000000000002,88.89,1,88.89,74,,91468.253,74,,0,
13,14,1,2,Free move,8.450000000000001,88.89,1,88.89,74,,91476.378,74,,0,
14,15,1,2,Free move,9.100000000000001,88.89,1,88.89,74,,91485.15299999999,74,,0,
15,16,1,2,Free move,9.750000000000002,88.89,1,88.89,74,,91494.578,74,,0,
16,17,1,2,Free move,10.400000000000002,88.89,1,88.89,74,,91504.65299999999,74,,0,
17,18,1,2,Free move,11.050000000000002,88.89,1,88.89,74,,91515.378,74,,0,
18,19,1,2,Free move,11.700000000000003,88.89,1,88.89,74,,91526.753,74,,0,
19,20,1,2,Free move,12.350000000000003,88.89,1,88.89,74,,91538.77799999999,74,,0,
20,21,1,2,Free move,13.000000000000004,88.89,1,88.89,74,,91551.453,74,,0,
21,22,1,2,Free move,13.650000000000004,88.89,1,88.89,74,,91564.77799999999,74,,0,
22,23,1,2,Free move,14.300000000000004,88.89,1,88.89,74,,91578.753,74,,0,
23,24,1,2,Free move,14.950000000000005,88.89,1,88.89,74,,91593.378,74,,0,
24,25,1,2,Free move,15.600000000000005,88.89,1,88.89,74,,91608.65299999999,74,,0,
25,26,1,2,Free move,16.250000000000004,88.89,1,88.89,74,,91624.578,74,,0,
26,27,1,2,Free move,16.900000000000002,88.89,1,88.89,74,,91641.15299999999,74,,0,
27,28,1,2,Free move,17.55,88.89,1,88.89,74,,91658.378,74,,0,
28,29,1,2,Free move,18.2,88.89,1,88.89,74,,91676.253,74,,0,
29,30,1,2,Free move,18.849999999999998,88.89,1,88.89,74,,91694.77799999999,74,,0,
30,31,1,2,Free move,19.499999999999996,88.89,1,88.89,74,,91713.953,74,,0,
31,32,1,2,Move and stop at station,18.849999999999998,88.89,1,88.89,74,,91733.128,74,,0,
32,33,1,2,Move and stop at station,18.2,88.89,1,88.89,74,,91751.65299999999,74,,0,
33,34,1,2,Move and stop at station,17.55,88.89,1,88.89,74,,91769.52799999999,74,,0,
34,35,1,2,Move and stop at station,16.900000000000002,88.89,1,88.89,74,,91786.753,74,,0,
35,36,1,2,Move and stop at station,16.250000000000004,88.89,1,88.89,74,,91803.328,74,,0,
36,37,1,2,Move and stop at station,15.600000000000003,88.89,1,88.89,74,,91819.253,74,,0,
37,38,1,2,Move and stop at station,14.950000000000003,88.89,1,88.89,74,,91834.52799999999,74,,0,
38,39,1,2,Move and stop at station,14.300000000000002,88.89,1,88.89,74,,91849.15299999999,74,,0,
39,40,1,2,Move and stop at station,13.650000000000002,88.89,1,88.89,74,,91863.128,74,,0,
40,41,1,2,Move and stop at station,13.000000000000002,88.89,1,88.89,74,,91876.453,74,,0,
41,42,1,2,Move and stop at station,12.350000000000001,88.89,1,88.89,74,,91889.128,74,,0,
42,43,1,2,Move and stop at station,11.700000000000001,88.89,1,88.89,74,,91901.15299999999,74,,0,
43,44,1,2,Move and stop at station,11.05,88.89,1,88.89,74,,91912.52799999999,74,,0,
44,45,1,2,Move and stop at station,10.4,88.89,1,88.89,74,,91923.253,74,,0,
45,46,1,2,Move and stop at station,9.75,88.89,1,88.89,74,,91933.328,74,,0,
46,47,1,2,Move and stop at station,9.1,88.89,1,88.89,74,,91942.753,74,,0,
47,48,1,2,Move and stop at station,8.45,88.89,1,88.89,74,,91951.52799999999,74,,0,
48,49,1,2,Move and stop at station,7.799999999999999,88.89,1,88.89,74,,91959.65299999999,74,,0,
49,50,1,2,Move and stop at station,7.149999999999999,88.89,1,88.89,74,,91967.128,74,,0,
50,51,1,2,Move and stop at station,6.499999999999998,88.89,1,88.89,74,,91973.953,74,,0,
51,52,1,2,Move and stop at station,5.849999999999998,88.89,1,88.89,74,,91980.128,74,,0,
52,53,1,2,Move and stop at station,5.1999999999999975,88.89,1,88.89,74,,91985.65299999999,74,,0,
53,54,1,2,Move and stop at station,4.549999999999997,88.89,1,88.89,74,,91990.52799999999,74,,0,
54,55,1,2,Move and stop at station,3.8999999999999972,88.89,1,88.89,74,,91994.753,74,,0,
55,56,1,2,Move and stop at station,3.2499999999999973,88.89,1,88.89,74,,91998.328,74,,0,
56,57,1,2,Move and stop at station,2.5999999999999974,88.89,1,88.89,74,,92001.253,74,,0,
57,58,1,2,Move and stop at station,1.9499999999999975,88.89,1,88.89,74,,92003.52799999999,74,,0,
58,59,1,2,Move and stop at station,1.2999999999999976,88.89,1,88.89,74,,92005.15299999999,74,,0,
59,60,1,2,Move and stop at station,0.6499999999999976,88.89,1,88.89,74,,92006.128,74,,0,
60,61,1,2,Move and stop at station,0.0,88.89,1,88.89,74,,92006.453,74,,0,
61,62,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
62,63,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
63,64,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
64,65,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
65,66,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
66,67,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
67,68,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
68,69,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
69,70,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
70,71,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
71,72,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
72,73,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
73,74,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
74,75,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
75,76,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
76,77,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
77,78,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
78,79,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
79,80,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
80,81,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
81,82,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
82,83,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
83,84,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
84,85,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
85,86,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
86,87,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
87,88,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
88,89,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
89,90,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
90,91,1,2,Dwell at station,0.0,88.89,1,88.89,Trenton_1,0.0,92006.453,74,,0,
