,time,id,route,state,speed,goal_speed,track,speed_limit,location_id,location_distance,track_distance,master_block,sub_block,route_direction,signal
0,1,1,2,Free move,0.0,41.67,1,41.67,74,,82113.073,73,,0,
1,2,1,2,Free move,1.2,41.67,1,41.67,73,,82113.67300000001,74,,0,
2,3,1,2,Free move,2.4,41.67,1,41.67,74,,82115.47300000001,74,,0,
3,4,1,2,Free move,3.5999999999999996,41.67,1,41.67,74,,82118.47300000001,74,,0,
4,5,1,2,Free move,4.8,41.67,1,41.67,74,,82122.67300000001,74,,0,
5,6,1,2,Free move,6.0,41.67,1,41.67,74,,82128.073,74,,0,
6,7,1,2,Free move,7.2,41.67,1,41.67,74,,82134.67300000001,74,,0,
7,8,1,2,Free move,8.4,41.67,1,41.67,74,,82142.47300000001,74,,0,
8,9,1,2,Free move,9.6,41.67,1,41.67,74,,82151.47300000001,74,,0,
9,10,1,2,Free move,10.799999999999999,41.67,1,41.67,74,,82161.67300000001,74,,0,
10,11,1,2,Free move,11.999999999999998,41.67,1,41.67,74,,82173.073,74,,0,
11,12,1,2,Free move,13.199999999999998,41.67,1,41.67,74,,82185.67300000001,74,,0,
12,13,1,2,Free move,14.399999999999997,41.67,1,41.67,74,,82199.47300000001,74,,0,
13,14,1,2,Free move,15.49791020752746,41.67,1,41.67,74,,82214.42195510378,74,,0,
14,15,1,2,Free move,16.51559329047237,41.67,1,41.67,74,,82230.42870685278,74,,0,
15,16,1,2,Free move,17.468367724361293,41.67,1,41.67,74,,82247.4206873602,74,,0,
16,17,1,2,Free move,18.367168956323358,41.67,1,41.67,74,,82265.33845570053,74,,0,
17,18,1,2,Free move,19.22013590357386,41.67,1,41.67,74,,82284.13210813048,74,,0,
18,19,1,2,Free move,20.03352514122796,41.67,1,41.67,74,,82303.75893865289,74,,0,
19,20,1,2,Free move,20.81227212828117,41.67,1,41.67,74,,82324.18183728764,74,,0,
20,21,1,2,Free move,21.560353366629617,41.67,1,41.67,74,,82345.3681500351,74,,0,
21,22,1,2,Free move,22.281029730772826,41.67,1,41.67,74,,82367.2888415838,74,,0,
22,23,1,2,Free move,22.97701551066481,41.67,1,41.67,74,,82389.91786420452,74,,0,
23,24,1,2,Free move,23.65059919596874,41.67,1,41.67,74,,82413.23167155783,74,,0,
24,25,1,2,Free move,24.303731876310422,41.67,1,41.67,74,,82437.20883709397,74,,0,
25,26,1,2,Free move,24.9380932973432,41.67,1,41.67,74,,82461.82974968081,74,,0,
26,27,1,2,Free move,25.55514212354738,41.67,1,41.67,74,,82487.07636739126,74,,0,
27,28,1,2,Free move,26.156154799792834,41.67,1,41.67,74,,82512.93201585293,74,,0,
28,29,1,2,Free move,26.742256027280355,41.67,1,41.67,74,,82539.38122126646,74,,0,
29,30,1,2,Free move,27.31444296856346,41.67,1,41.67,74,,82566.40957076439,74,,0,
30,31,1,2,Free move,27.873604692754814,41.67,1,41.67,74,,82594.00359459505,74,,0,
