Route_id,Route_desc,Direc,Express_track,New
1,WorcesterToSouthStation,1,0,0
2,SouthStationToWorcester,0,0,0
3,InboundNewtonSkip,1,0,0
4,OutboundNewtonSkip,0,0,0
5,FraminghamToSouthStation,1,0,0
6,SouthStationToFramingham,0,0,0
7,SkipNatickCenterThroughNewtonville,1,0,0
8,SkipNewtonvilleThroughNatickCenter,0,0,0
9,FraminghamToSouthStationNewtonSkip,1,0,0
10,SouthStationToFraminghamNewtonSkip,0,0,0
11,InboundHeartToHub_BL,1,0,1
12,OutboundHeartToHub_BL,0,0,1
13,InnerCoreInbound,1,0,1
14,InnerCoreOutbound,0,0,1
15,InboundHeartToHub_EXPTRACK,1,1,0
16,OutboundHeartToHub_EXPTRACK,0,1,0
17,InboundHeartToHub,1,0,0
18,OutboundHeartToHub,0,0,0
19,WorcesterXpressInbound,1,0,0
20,WorcesterXpressOutbound,0,0,0
21,SkipNatickCenterThroughBL,1,0,0
22,SkipBLThroughNatickCenter,0,0,0
23,SkipWellesleySquareThroughBL,1,0,0
24,SkipBLThroughWellesleySquare,0,0,0
25,LocalFromAshland,1,0,0
26,LocalToAshland,0,0,0
27,LocalFromAshlandSkipNewton,1,0,0
28,LocalToAshlandSkipNewton,0,0,0
29,SkipWestNatickThroughNewtonville,1,0,0
30,SkipNewtonvilleThroughWestNatick,0,0,0
31,WorcesterToSouthStationSkipBostonLanding,1,0,0
32,SouthStationToWorcesterSkipBostonLanding,0,0,0
33,InboundNewtonSkipBostonLanding,1,0,0
34,OutboundNewtonSkipBostonLanding,0,0,0
35,FraminghamToSouthStationSkipBostonLanding,1,0,0
36,SouthStationToFraminghamSkipBostonLanding,0,0,0
37,FraminghamToSouthStationNewtonSkipBostonLanding,1,0,0
38,SouthStationToFraminghamNewtonSkipBostonLanding,0,0,0
39,LSL_IB,1,0,0
40,LSL_OB,0,0,0
41,InnerCore_4Stops,1,0,0
42,InnerCore_4Stops,0,0,0
43,InboundHeartToHubLeapFrog,1,0,0
44,InboundHeartToHubLeapFrog,0,0,0
