id,name,app_track,ahd_track,type,ahd_loc,ahd_seg,direction
"1",CP-1,,,,,,
"3",CP-3,,,,,,
"4",CP-4,PENN_2,NJ_1,,,,
"5",CP-5,NJ_2,PENN_3,nominal,,,"1"
"6",CP-6,BOS_3,BOS_1,end,,,
"7",CP-7,PROV_3,BOS_1,end,,,
"8",CP-8,BOS_1,KIN_1,nominal,,,
"9",CP-9,KIN_2,BOS_2,nominal,,,
"10",CP-10,KIN_1,BOS_1,,,,
"11",CP-11,BOS_1,NHB_1,beg,,,
"12",CP-12,NHB_1,NH_1,end,,,
"13",CP-13,NH_1,MIL_1,beg,,,
"14",CP-14,MIL_1,NH_1,x,,,
"15",CP-15,NH_1,GC_1,nominal,,,
"16",CP-16,NH_1,MN_2,inf,,,
"17",CP-17,MN_2,HGL_1,beg,,,"1"
"18",CP-18,HGL_1,PSAR_1,nominal,,,"1"
"19",CP-19,PSAR_1,HGL_1,nominal,,,"1"
"20",CP-20,HGL_1,STA_PSNY_5,beg,,,"1"
"21",CP-21,STA_PSNY_5,NJ_2,nom,,,"1"
"22",CP-22,PENN_3,FJA_3,nominal,,,"1"
"23",CP-23,FJA_3,PENN_3,nominal,,,"1"
"24",CP-24,PENN_3,PENN_4,end,,,
"25",CP-25,STA_TH_7,SO_3,nominal,,,
"27",CP-27,BOS_2,CNBY_2,beg,,,
"28",CP-28,,,nominal,,,
"29",CP-29,,,end,,,
"30",CP-30,HGL_1,PSA_3,beg,,,
"31",CP-31,,,end,,,
"32",CP-32,,,inf,,,
"33",CP-33,,,inf,,,
"34",CP-34,,,beg,,,
"35",CP-35,PSA_3,HGL_2,beg,,,
"36",CP-36,,,end,,,
"37",CP-37,HGL_2,PSAR_2,nominal,,,
"38",CP-38,PSAR_2,,nominal,,,
"39",CP-39,,,,,,
"40",CP-40,,,,,,
"41",CP-41,,,Int,,,
"42",CP-42,,,,,,
"43",CP-43,,,,,,
"44",CP-44,,,,,,
"45",CP-45,,,,,,
"46",CP-46,,,,,,
"47",CP-47,,,,,,
"48",CP-48,,,,,,
"49",CP-49,,,,,,
"50",CP-50,,,,,,
"51",CP-51,,,,,,
"52",CP-52,,,,,,
"53",CP-53,,,,,,
"54",CP-54,,,,,,
"55",CP-55,,,,,,
"56",CP-56,,,,,,
"57",CP-57,,,,,,
"58",CP-58,,,,,,
"59",CP-59,,,,,,
"60",CP-60,,,,,,
"61",CP-61,,,,,,
"62",CP-62,,,,,,
"63",CP-63,,,,,,
"64",CP-64,,,,,,
"65",CP-65,,,,,,
"66",CP-66,,,,,,
"67",CP-67,,,,,,
"68",CP-68,,,,,,
"69",CP-69,,,,,,
"70",CP-70,,,,,,
"71",CP-71,,,,,,
"72",CP-72,,,,,,
"73",CP-73,,,,,,
"74",CP-74,,,,,,
"75",CP-75,,,,,,
"76",CP-76,,,,,,
"77",CP-77,,,,,,
"78",CP-78,STA_SS_7,BOS_1,,,,"1"
"79",CP-79,,,,,,
"80",CP-80,,,,,,
"81",CP-81,,,,,,
"82",CP-82,,,,,,
"83",CP-83,,,,,,
"84",CP-84,,,,,,
"85",CP-85,,,,,,
"86",CP-86,,,,,,
"87",CP-87,,,,,,
"88",CP-88,,,,,,
"89",CP-89,,,,,,
"90",CP-90,,,,,,
"91",CP-91,,,,,,
"92",CP-92,,,,,,
"93",CP-93,,,,,,
"94",CP-94,,,,,,
"95",CP-95,,,,,,
"96",CP-96,,,,,,
"97",CP-97,,,,,,
"98",CP-98,,,,,,
"99",CP-99,,,,,,
"100",CP-100,,,,,,
"101",CP-101,,,,,,
"102",CP-102,,,,,,
"103",CP-103,,,,,,
"104",CP-104,,,,,,
"105",CP-105,,,,,,
"106",CP-106,,,,,,
"107",CP-107,,,,,,
"108",CP-108,,,,,,
"109",CP-109,,,,,,
"110",CP-110,,,,,,
"111",CP-111,,,,,,
"112",CP-112,,,,,,
"113",CP-113,,,,,,
"114",CP-114,,,,,,
"115",CP-115,,,,,,
"116",CP-116,,,,,,
"117",CP-117,,,,,,
"118",CP-118,,,,,,
"119",CP-119,,,,,,
"120",CP-120,,,,,,
"122",CP-122,ATT_4,BOS_2,,,,
"123",CP-123,BOS_1,ATT_3,,,,
"124",CP-124,ATT_3,BOS_1,,,,
"125",CP-125,BOS_2,ATT_4,,,,
"126",CP-126,,,,,,
"127",CP-127,,,,,,
"128",CP-128,,,,,,
"129",CP-129,,,,,,
"130",CP-130,,,,,,
"131",CP-131,,,,,,
"132",CP-132,,,,,,
"133",CP-133,,,,,,
"134",CP-134,BOS_1,PROV_7,,,,
"135",CP-135,,,,,,
"136",CP-136,,,,,,
"137",CP-137,,,,,,
"138",CP-138,,,,,,
"139",CP-139,,,,,,
"140",CP-140,,,,,,
"141",CP-141,,,,,,
"142",CP-142,,,,,,
"143",CP-143,,,,,,
"144",CP-144,,,,,,
"145",CP-145,,,,,,
"146",CP-146,,,,,,
"147",CP-147,,,,,,
"148",CP-148,,,,,,
"149",CP-149,,,,,,
"150",CP-150,,,,,,
"151",CP-151,,,,,,
"152",CP-152,,,,,,
"153",CP-153,,,,,,
"154",CP-154,,,,,,
"155",CP-155,,,,,,
"156",CP-156,,,,,,
"157",CP-157,,,,,,
"158",CP-158,,,,,,
"159",CP-159,,,,,,
"160",CP-160,,,,,,
"161",CP-161,BOS_1,WCK_3,,,,
"162",CP-162,,,,,,
"163",CP-163,,,,,,
"164",CP-164,CNBY_2,BOS_2,,,,
"165",CP-165,BOS_1,CNBY_1,,,,"1"
"166",CP-166,,,,,,
"167",CP-167,,,,,,
"168",CP-168,,,,,,
"169",CP-169,,,,,,
"170",CP-170,,,,,,
"171",CP-171,,,,,,
"172",CP-172,,,,,,
"173",CP-173,,,,,,
"174",CP-174,,,,,,
"175",CP-175,,,,,,
"176",CP-176,,,,,,
"177",CP-177,,,,,,
"178",CP-178,,,,,,
"179",CP-179,,,,,,
"180",CP-180,,,,,,
"181",CP-181,,,,,,
"182",CP-182,,,,,,
"183",CP-183,,,,,,
"184",CP-184,,,,,,
"185",CP-185,,,,,,
"186",CP-186,,,,,,
"187",CP-187,,,,,,
"188",CP-188,,,,,,
"189",CP-189,,,,,,
"190",CP-190,,,,,,
"191",CP-191,,,,,,
"192",CP-192,,,,,,
"193",CP-193,,,,,,
"194",CP-194,,,,,,
"195",CP-195,,,,,,
"196",CP-196,,,,,,
"197",CP-197,,,,,,
"198",CP-198,,,,,,
"199",CP-199,,,,,,
"200",CP-200,,,,,,
"201",CP-201,,,,,,
"202",CP-202,,,,,,
"203",CP-203,,,,,,
"204",CP-204,,,,,,
"205",CP-205,,,,,,
"206",CP-206,,,,,,
"207",CP-207,,,,,,
"208",CP-208,NHB_2,BOS_2,,,,
"209",CP-209,,,,,,
"210",CP-210,,,,,,
"211",CP-211,,,,,,
"212",CP-212,,,,,,
"213",CP-213,,,,,,
"214",CP-214,,,,,,
"215",CP-215,,,,,,
"216",CP-216,,,,,,
"217",CP-217,,,,,,
"218",CP-218,,,,,,
"219",CP-219,,,,,,
"220",CP-220,BOS_1,BOS_2,,,,
"221",CP-221,NH_2,BOS_1,,,,
"222",CP-222,,,,,,
"223",CP-223,,,,,,
"224",CP-224,,,,,,
"225",CP-225,,,,,,
"226",CP-226,,,,,,
"227",CP-227,,,,,,
"228",CP-228,,,,,,
"229",CP-229,,,,,,
"230",CP-230,,,,,,
"231",CP-231,,,,,,
"232",CP-232,,,,,,
"233",CP-233,,,,,,
"234",CP-234,,,,,,
"235",CP-235,,,,,,
"236",CP-236,,,,,,
"237",CP-237,MID_4,STA_NH_4,,,,
"238",CP-238,,,,,,
"239",CP-239,,,,,,
"240",CP-240,,,,,,
"241",CP-241,,,,,,
"242",CP-242,,,,,,
"243",CP-243,STA_NH_4,STA_NH_5,,,,
"244",CP-244,,,,,,
"245",CP-245,,,,,,
"246",CP-246,,,,,,
"247",CP-247,MN_2,NHB_2,,,,
"248",CP-248,,,,,,
"249",CP-249,,NH_2,,,,
"250",CP-250,,,,,,
"251",CP-251,,,,,,
"252",CP-252,,,,,,
"253",CP-253,,,,,,
"254",CP-254,,,,,,
"255",CP-255,,,,,,
"256",CP-256,,,,,,
"257",CP-257,,,,,,
"258",CP-258,,,,,,
"259",CP-259,,,,,,
"260",CP-260,,,,,,
"261",CP-261,MN_2,MID_4,,,,
"262",CP-262,,,,,,
"263",CP-263,,,,,,
"264",CP-264,,,,,,
"265",CP-265,,,,,,
"266",CP-266,,,,,,
"267",CP-267,,,,,,
"268",CP-268,,,,,,
"269",CP-269,,,,,,
"270",CP-270,,,,,,
"271",CP-271,,,,,,
"272",CP-272,,,,,,
"273",CP-273,,,,,,
"274",CP-274,,,,,,
"275",CP-275,,,,,,
"276",CP-276,,,,,,
"277",CP-277,,,,,,
"278",CP-278,,,,,,
"279",CP-279,,,,,,
"280",CP-280,MN_3,NH_1,,,,
"281",CP-281,,,,,,
"282",CP-282,,,,,,
"283",CP-283,NH_1,MN_2,,,,"1"
"284",CP-284,,,,,,
"285",CP-285,,,,,,
"286",CP-286,,,,,,
"287",CP-287,,,,,,
"288",CP-288,,,,,,
"289",CP-289,,,,,,
"290",CP-290,NH_1,MIR_1,,,,
"291",CP-291,MIR_2,MN_2,,,,
"292",CP-292,,,,,,
"293",CP-293,,,,,,
"294",CP-294,MIR_2,MN_2,,,,"1"
"295",CP-295,MIR_1,NH_1,,,,
"296",CP-296,,,,,,
"297",CP-297,,,,,,
"298",CP-298,,,,,,
"299",CP-299,MN_2,NH_1,,,,"1"
"300",CP-300,,,,,,
"301",CP-301,,,,,,
"302",CP-302,,,,,,
"303",CP-303,,,,,,
"304",CP-304,,,,,,
"305",CP-305,,,,,,
"306",CP-306,,,,,,
"307",CP-307,,,,,,
"308",CP-308,,,,,,
"309",CP-309,,,,,,
"310",CP-310,,,,,,
"311",CP-311,,,,,,
"312",CP-312,,,,,,
"313",CP-313,,,,,,
"314",CP-314,,,,,,
"315",CP-315,,,,,,
"316",CP-316,,,,,,
"317",CP-317,,,,,,
"318",CP-318,,,,,,
"319",CP-319,,,,,,
"320",CP-320,,,,,,
"321",CP-321,,,,,,
"322",CP-322,,,,,,
"323",CP-323,,,,,,
"324",CP-324,,,,,,
"325",CP-325,,,,,,
"326",CP-326,,,,,,
"327",CP-327,,,,,,
