Stop_name,Stop_id,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Turn_time,Length,Stop_location,Track_1,Track_2,plat_out_join_id,plat_out_join_length,plat_out_join_Section,plat_out_join_dist_bost
CantonJunction_2,1,,,,,,30,167,,BOS_2,,3889,3017.274,BOS,0.202
CantonJunction_4,2,,,,,,30,200,,CAN_4,,675,481.33,CAN,0.212
CantonJunction_3,3,,,,,,30,242,,CAN_3,,674,415.546,CAN,0.212
CantonJunction_1,4,,,,,,30,260,,BOS_1,,3888,673.739,BOS,0.216
Route128_2,5,,,,,,30,400,,BOS_2,,3885,4662.487,BOS,0.162
Route128_1,6,,,,,,30,321,,BOS_1,,4623,4662.54,BOS,0.162
BackBay_1_3,8,,,,,,30,316,,BOS_1,BOS_3,3814,429.547,BOS,0.018
BackBay_2,9,,,,,,30,316,,BOS_2,,3821,180.071,BOS,0.021
Ruggles_2,10,,,,,,30,242,,BOS_2,,3824,1979.097,BOS,0.032
SouthStation_6_7,11,,,,,,30,298,,STA_SS_6,STA_SS_7,658,342.701,STA_SS,0.002
SouthStation_8_9,12,,,,,,30,323,,STA_SS_8,STA_SS_9,664,387.654,STA_SS,0.002
SouthStation_10_11,13,,,,,,30,320,,STA_SS_10,STA_SS_11,662,343.87,STA_SS,0.002
SouthStation_12_13,14,,,,,,30,207,,STA_SS_12,STA_SS_13,660,267.916,STA_SS,0.001
SouthStation_1,16,,,,,,30,216,,STA_SS_1,,393,233.099,STA_SS,0.001
SouthStation_2_3,17,,,,,,30,216,,STA_SS_2,STA_SS_3,655,399.797,STA_SS,0.001
SouthStation_4_5,18,,,,,,30,274,,STA_SS_4,STA_SS_5,656,301.478,STA_SS,0.002
NewarkLiberty_1_A,19,,,,,,30,320,,PENN_1,ELI_A,3771,3005.17,PENN,3.545
NewarkLiberty_4_5,20,,,,,,30,320,,PENN_4,ELI_5,2412,3000.964,PENN,3.545
NewHavenCR_2_4,21,,,,,,30,84,,NH_2,NH_4,4474,577.484,NH,2.139
WashUnion_1_2,22,,,,,,30,223,,STA_DCU_2,STA_DCU_1,2594,308.83,STA_DCU,6.878
WashUnion_13_14,23,,,,,,30,262,,STA_DCU_14,STA_DCU_13,2652,94.772,STA_DCU,6.879
WashUnion_12_13,24,,,,,,30,218,,STA_DCU_12,STA_DCU_13,2560,399.339,STA_DCU,6.878
WashUnion_21_22,25,,,,,,30,226,,STA_DCU_22,STA_DCU_21,2640,100.022,STA_DCU,6.88
WashUnion_11_12,26,,,,,,30,248,,STA_DCU_12,STA_DCU_11,2560,399.339,STA_DCU,6.878
WashUnion_17_18,27,,,,,,30,263,,STA_DCU_18,STA_DCU_17,2656,157.939,STA_DCU,6.88
WashUnion_15_16,28,,,,,,30,263,,STA_DCU_16,STA_DCU_15,2654,158.713,STA_DCU,6.88
WashUnion_9_10,29,,,,,,30,258,,STA_DCU_9,STA_DCU_10,2553,350.729,STA_DCU,6.878
WashUnion_19_20,30,,,,,,30,250,,STA_DCU_20,STA_DCU_19,2658,157.932,STA_DCU,6.88
NewCarrollton,31,,,,,,30,245,,SO_2,SO_3,2694,577.789,SO,6.741
Seabrook_3,32,,,,,,30,76,,SO_3,,2716,5141.563,SO,6.683
BowieState_3,33,,,,,,30,76,,SO_3,,2731,900.011,SO,6.61
BowieState_1,34,,,,,,30,76,,SO_1,,2726,902.444,SO,6.61
Seabrook,35,,,,,,30,76,,SO_1,,2711,5141.547,SO,6.683
Odenton_1,36,,,,,,30,243,,SO_1,,2765,607.638,SO,6.526
Odenton_3,37,,,,,,30,213,,SO_3,,2770,599.866,SO,6.526
BWI_3,38,,,,,,30,319,,SO_3,,2803,731.829,SO,6.464
BWI_1,39,,,,,,30,319,,SO_1,,2799,731.372,SO,6.464
WestBaltimore_A,40,,,,,,30,32,,SO_A,,2866,653.163,SO,6.377
WestBaltimore_3,41,,,,,,30,32,,SO_3,,2871,689.652,SO,6.377
Aberdeen_4,45,,,,,,30,77,,ABE_4,,3021,1385.016,ABE,5.85
