Track_num,Section_id,Symmetry_id,radius,Curve_direction,Curve_degree,Cant,length,Track_segment,length,Track_id,Start_location,End_location
1,1,,,,0,,161.183,4,161.183,MET_1,4079.794,4240.977
1,2,,,,0,,1825.336,1,1825.336,MET_1,1049.979,2875.315
1,3,,,,0,,1049.979,0,1049.979,MET_1,0,1049.979
2,4,,,,0,,161.183,4,161.183,MET_2,4079.792,4240.975
3,5,,,,0,,161.183,1,161.183,MET_3,746.671,907.854
4,6,,,,0,,161.182,4,161.182,MET_4,4079.79,4240.972
2,7,,3118,1,0.56,7,662.275,3,662.275,MET_2,3417.517,4079.792
3,8,,3118,1,0.56,7,662.275,2,662.275,MET_3,907.854,1570.129
4,9,,3118,1,0.56,7,662.275,3,662.275,MET_4,3417.515,4079.79
2,10,,1532,1,1.14,7,1049.979,0,1049.979,MET_2,0,1049.979
3,11,,1532,1,1.14,7,746.671,0,746.671,MET_3,0,746.671
4,14,,1532,1,1.14,7,1049.979,0,1049.979,MET_4,0,1049.979
2,15,,1559,1,1.12,7,1825.335,1,1825.335,MET_2,1049.979,2875.314
3,16,,1559,1,1.12,7,1825.335,4,1825.335,MET_3,2112.332,3937.667
4,17,,1559,1,1.12,7,1825.334,1,1825.334,MET_4,1049.979,2875.313
2,18,,,,0,,542.203,2,542.203,MET_2,2875.314,3417.517
3,19,,,,0,,542.203,3,542.203,MET_3,1570.129,2112.332
4,20,,,,0,,542.202,2,542.202,MET_4,2875.313,3417.515
1,21,,,,0,,542.203,2,542.203,MET_1,2875.315,3417.518
1,22,,,,0,,662.276,3,662.276,MET_1,3417.518,4079.794
7,37,,,,0,,36.687,5,36.687,WA_7,1627.798,1664.485
7,38,,,,0,,419.677,10,419.677,WA_7,2375.265,2794.942
7,43,,,,0,,114.204,0,114.204,PROV_7,0,114.204
4,47,,,,0,,983.984,0,983.984,DAR_4,0,983.984
7,50,,,,0,,44.395,8,44.395,WA_7,1854.375,1898.77
7,61,,,,0,,126.803,7,126.803,WA_7,1727.572,1854.375
7,62,,,,0,,63.087,6,63.087,WA_7,1664.485,1727.572
5,64,,,,0,,816.11,0,816.11,SCH_5,0,816.11
3,161,,,,0,,55.424,0,55.424,LON_3,0,55.424
5,199,,,,0,,162.798,2,162.798,SCH_5,1464.093,1626.891
7,201,,,,0,,439.087,4,439.087,WA_7,1188.711,1627.798
7,202,,,,0,,476.495,9,476.495,WA_7,1898.77,2375.265
4,203,,,,0,,386.366,4,386.366,DAR_4,1896.693,2283.059
4,204,,,,0,,132.329,3,132.329,DAR_4,1764.364,1896.693
4,205,,,,0,,30.871,2,30.871,DAR_4,1733.493,1764.364
1,221,,,,0,,403.286,8,403.286,WIL_1,5094.407,5497.693
4,240,,,,0,,749.509,1,749.509,DAR_4,983.984,1733.493
5,241,,,,0,,647.983,1,647.983,SCH_5,816.11,1464.093
1,242,,,,0,,62.098,7,62.098,WIL_1,5032.309,5094.407
2,243,,400,1,4.37,7,417.272,8,417.272,NHB_2,4649.86,5067.132
2,244,,1078,1,1.62,7,752.261,6,752.261,NHB_2,3427.795,4180.056
1,245,,400,1,4.37,7,417.272,9,417.272,NHB_1,4652.15,5069.422
1,246,,1078,1,1.62,7,752.261,7,752.261,NHB_1,3429.009,4181.27
1,247,,,,0,,470.88,8,470.88,NHB_1,4181.27,4652.15
2,248,,,,0,,469.804,7,469.804,NHB_2,4180.056,4649.86
1,249,,,,0,,392.258,6,392.258,NHB_1,3036.751,3429.009
2,250,,,,0,,390.421,5,390.421,NHB_2,3037.374,3427.795
2,251,,,,0,,366.617,4,366.617,NHB_2,2670.757,3037.374
1,252,,,,0,,367.529,5,367.529,NHB_1,2669.222,3036.751
2,253,,1078,1,1.62,7,395.324,3,395.324,NHB_2,2275.433,2670.757
1,254,,1078,1,1.62,7,395.324,4,395.324,NHB_1,2273.898,2669.222
2,255,,,,0,,1489.771,2,1489.771,NHB_2,785.662,2275.433
1,256,,,,0,,1470.417,3,1470.417,NHB_1,803.481,2273.898
2,257,,2007,1,0.87,7,420.813,1,420.813,NHB_2,364.849,785.662
1,258,,2007,1,0.87,7,420.813,1,420.813,NHB_1,363.179,783.992
1,259,,,,0,,19.489,2,19.489,NHB_1,783.992,803.481
1,260,,,,0,,363.179,0,363.179,NHB_1,0,363.179
2,261,,,,0,,364.849,0,364.849,NHB_2,0,364.849
2,264,,,,0,,354.746,62,354.746,CNBY_2,112692.991,113047.737
1,265,,,,0,,358.318,62,358.318,CNBY_1,112695.682,113054
1,266,,4851,1,0.36,7,990.698,61,990.698,CNBY_1,111704.984,112695.682
2,267,,4851,1,0.36,7,990.699,61,990.699,CNBY_2,111702.292,112692.991
2,268,,4259,1,0.41,7,1357.223,59,1357.223,CNBY_2,110269.649,111626.872
2,269,,,,0,,75.42,60,75.42,CNBY_2,111626.872,111702.292
1,270,,4259,1,0.41,7,1357.222,59,1357.222,CNBY_1,110274.453,111631.675
1,271,,,,0,,73.309,60,73.309,CNBY_1,111631.675,111704.984
1,272,,,,0,,1271.725,58,1271.725,CNBY_1,109002.728,110274.453
1,273,,4851,1,0.36,7,1327.404,57,1327.404,CNBY_1,107675.324,109002.728
1,274,,,,0,,491.011,56,491.011,CNBY_1,107184.313,107675.324
2,275,,,,0,,488.014,56,488.014,CNBY_2,107179.346,107667.36
1,276,,,,0,,833.283,54,833.283,CNBY_1,105543.649,106376.932
2,277,,,,0,,833.773,54,833.773,CNBY_2,105538.192,106371.965
2,278,,4158,1,0.42,7,807.381,55,807.381,CNBY_2,106371.965,107179.346
1,279,,4158,1,0.42,7,807.381,55,807.381,CNBY_1,106376.932,107184.313
1,280,,3638,1,0.48,7,753.728,53,753.728,CNBY_1,104789.921,105543.649
2,281,,3638,1,0.48,7,753.729,53,753.729,CNBY_2,104784.463,105538.192
1,282,,,,0,,2809.469,52,2809.469,CNBY_1,101980.452,104789.921
2,283,,,,0,,2809.67,52,2809.67,CNBY_2,101974.793,104784.463
1,284,,,,0,,2862.261,50,2862.261,CNBY_1,98650.147,101512.408
2,285,,,,0,,2863.752,50,2863.752,CNBY_2,98642.997,101506.749
1,286,,3796,1,0.46,7,468.044,51,468.044,CNBY_1,101512.408,101980.452
2,287,,3796,1,0.46,7,468.044,51,468.044,CNBY_2,101506.749,101974.793
1,288,,3969,1,0.44,7,1370.314,47,1370.314,CNBY_1,96466.352,97836.666
2,289,,3969,1,0.44,7,1367.347,47,1367.347,CNBY_2,96463.933,97831.28
1,290,,,,0,,25.404,48,25.404,CNBY_1,97836.666,97862.07
2,291,,,,0,,23.639,48,23.639,CNBY_2,97831.28,97854.919
2,292,,3011,1,0.58,7,788.078,49,788.078,CNBY_2,97854.919,98642.997
1,293,,3011,1,0.58,7,788.077,49,788.077,CNBY_1,97862.07,98650.147
1,294,,,,0,,3804.546,46,3804.546,CNBY_1,92661.806,96466.352
