From_station_id,From_station_name,To_station_id,To_station_name,Block_id_list
1,SouthStation_7,2,BackBay_7,"1,2,3"
2,BackBay_7,3,Lansdowne_7,"5,6"
3,Lansdowne_7,4,BostonLanding_7,"8,9,10,11"
4,BostonLanding_7,6,WestNewton_7,"13,14,15,16,17,18,19,20,21,22,23"
6,WestNewton_7,8,WellesleyFarms_7,"25,26,27,28,29"
8,WellesleyFarms_7,9,WellesleyHills_7,"31,32"
9,WellesleyHills_7,10,WellesleySquare_7,"34,35,36"
10,WellesleySquare_7,11,NatickCenter_7,"38,39"
11,NatickCenter_7,12,WestNatick_7,"41,42"
12,WestNatick_7,13,Framingham_7,"44,45,46"
13,Framingham_7,14,Ashland_7,"48,49,50,51"
14,Ashland_7,15,Southborough_7,53
15,Southborough_7,16,Westborough_7,"55,56,57,58,59,60"
16,Westborough_7,17,Grafton_7,"62,63"
17,Grafton_7,18,Worcester_7,"65,66,67,68,69,70,71"
35,Grafton_5,34,Westborough_5,"84,85"
34,Westborough_5,33,Southbourough_5,"87,88,89,90,91,92"
33,Southbourough_5,32,Ashland_5,94
32,Ashland_5,31,Framingham_5,"96,97,98,99"
31,Framingham_5,30,WestNatick_5,"101,102,103"
30,WestNatick_5,29,NatickCenter_5,"105,106"
29,NatickCenter_5,28,WellesleySquare_5,"108,109"
28,WellesleySquare_5,27,WellesleyHills_5,"111,112,113"
27,WellesleyHills_5,26,WellesleyFarms_5,"115,116"
26,WellesleyFarms_5,24,WestNewton_5,"118,119,120,121,122,123"
24,WestNewton_5,22,BostonLanding_5,"125,126,127,128,129,130,131,132,133,134,135,136"
22,BostonLanding_5,21,Lansdowne_5,"137,138,139,140"
21,Lansdowne_5,20,BackBay_5,"142,143"
20,BackBay_5,19,SouthStation_5,"145,146,147"
18,Worcester_7,35,Grafton_5,"71,70,69,68,67,81,82"
25,Auburndale_5,8,WellesleyFarms_7,"120,29"
4,BostonLanding_7,23,Newtonville_5,"13,14,15,132,131,130,129"
36,Worcester_5,35,Grafton_5,"76,77,78,79,80,81,82"
