Route_id,Stop_id_list,Skip_id_list,Route_desc,Direc,Pair_id,Triple_track,Express_service
1,"36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19",,WorcesterToSouthStation,1,2,0,0
2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",,SouthStationToWorcester,0,1,0,0
3,"36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","25,24,23",InboundNewtonSkip,1,4,0,0
4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","5,6,7",OutboundNewtonSkip,0,3,0,0
5,"31,30,29,28,27,26,25,24,23,22,21,20,19",,FraminghamToSouthStation,1,6,0,0
6,"1,2,3,4,5,6,7,8,9,10,11,12,13",,SouthStationToFramingham,0,5,0,0
7,"36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","29,28,27,26,25,24,23",SkipNatickCenterThroughNewtonville,1,8,0,0
8,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","5,6,7,8,9,10,11",SkipNewtonvilleThroughNatickCenter,0,7,0,0
9,"31,30,29,28,27,26,25,24,23,22,21,20,19","25,24,23",FraminghamToSouthStationNewtonSkip,1,10,0,0
10,"1,2,3,4,5,6,7,8,9,10,11,12,13","5,6,7",SouthStationToFraminghamNewtonSkip,0,9,0,0
11,"36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","35,34,33,32,30,29,28,27,26,25,24,23,22",InboundHeartToHub,1,12,0,1
12,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","4,5,6,7,8,9,10,11,12,14,15,16,17",OutboundHeartToHub,0,11,0,1
13,"25,24,23,22,21,20,19",,InnerCoreInbound,1,14,0,0
14,"1,2,3,4,5,6,7",,InnerCoreOutbound,0,13,0,0
15,"36,35,34,33,32,31,25,24,23,22,21,20,19","35,34,33,32,25,24,23,22",InboundHeartToHub_EXPTRACK,1,16,1,1
16,"1,2,3,4,5,6,7,13,14,15,16,17,18","4,5,6,7,14,15,16,17",OutboundHeartToHub_EXPTRACK,0,15,1,1
