Name,id,Type,Block_name,Block_id,Ahead_block_id,Two_ahead_block_id,Direction
Tower1_7_WB,1,Control Point,Block-2-0,1,2,6,WB
BlockA_7_WB,2,Block,Block-4-0,2,6,9,WB
CP-3_7_WB,3,Control Point,"Block-5-0, Block-49-2","6,142",9,16,WB
BlockB_7_WB,4,Block,Block-6-0,9,16,19,WB
BlockC_7_WB,5,Block,Block-7-0,16,19,22,WB
BlockD_7_WB,6,Block,Block-8-0,19,22,26,WB
BlockE_7_WB,7,Block,Block-9-0,22,26,29,WB
CP-11_7_WB,8,Control Point,"Block-10-0, Block-43-0","26,122",29,36,WB
BlockF_7_WB,9,Block,Block-11-0,29,36,39,WB
BlockH_7_WB,11,Block,Block-13-0,39,42,46,WB
CP-21_7_WB,12,Control Point,"Block-14-0, Block-39-2",42,46,48,WB
CP-22_7_WB,13,Control Point,Block-15-0,46,48,50,WB
CP-23_7_WB,14,Control Point,Block-16-0,48,50,51,WB
CP-24_7_WB,15,Control Point,Block-17-0,50,51,56,WB
CP-28_7_WB,16,Control Point,Block-18-0,51,56,57,WB
CP-29_7_WB,17,Control Point,Block-19-0,56,57,58,WB
CP-30_7_WB,18,Control Point,Block-20-0,57,58,60,WB
CP-33_7_WB,19,Control Point,Block-21-0,58,60,67,WB
CP-39_7_WB,20,Control Point,Block-22-0,"60,87",67,70,WB
CP-43_7_WB,21,Control Point,Block-24-0,67,70,71,WB
CP-44_7_WB,22,Control Point,Block-25-0,70,71,72,WB
CP-45_7_WB,23,Control Point,Worcester_7,71,72,73,WB
CP-44_7_EB,24,Control Point,Worcester_7,71,70,67,EB
CP-43_7_EB,25,Control Point,Block-24-0,70,67,60,EB
CP-39_7_EB,26,Control Point,Block-22-0,"67,81",60,58,EB
CP-33_7_EB,27,Control Point,Block-21-6,66,59,57,EB
CP-30_7_EB,28,Control Point,Block-20-1,59,57,56,EB
CP-29_7_EB,29,Control Point,Block-19-0,57,56,55,EB
CP-28_7_EB,30,Control Point,Block-18-0,56,55,50,EB
