,Vehicle_ID,Pullin_time,Pullout_time,If_turnaround,Vehicle_type,Route_sequence
18,1,17100,95000,0,2,1
19,2,31800,95000,0,2,1
20,3,38100,95000,0,2,1
21,4,43500,95000,0,2,1
22,5,84000,95000,0,2,1
23,6,87600,95000,0,2,1
42,7,16800,95000,0,2,2
43,8,36900,95000,0,2,2
44,9,42900,95000,0,2,2
45,10,50100,95000,0,2,2
46,11,55800,95000,0,2,2
47,12,67500,95000,0,2,2
48,13,71100,95000,0,2,2
49,14,74100,95000,0,2,2
50,15,77700,95000,0,2,2
51,16,81000,95000,0,2,2
52,17,84600,95000,0,2,2
54,19,21300,95000,0,2,8
58,23,22200,95000,0,2,4
59,24,30900,95000,0,2,4
60,25,65700,95000,0,2,4
62,27,26640,95000,0,2,3
63,28,50100,95000,0,2,3
64,29,57000,95000,0,2,3
65,30,69600,95000,0,2,3
66,31,73800,95000,0,2,3
67,32,75600,95000,0,2,3
68,33,77700,95000,0,2,3
72,37,62400,95000,0,2,7
73,38,65100,95000,0,2,7
78,43,21840,95000,0,2,5
79,44,23940,95000,0,2,5
80,45,26100,95000,0,2,5
81,46,28140,95000,0,2,5
82,47,68700,95000,0,2,5
83,48,59400,95000,0,2,6
84,49,61800,95000,0,2,6
85,50,64200,95000,0,2,6
86,51,63600,95000,0,2,9
87,52,66120,95000,0,2,9
