Route_id,Stop_id_list,Skip_id_list,Route_desc,Direc,Pair_id,Express_service
1,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19",,WorcesterToSouthStation,1,2,0
2,"1,2,3,4,23,24,25,8,9,10,11,12,13,14,15,16,17,18",,SouthStationToWorcester,0,1,0
3,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","25,24,23",InboundNewtonSkip,1,4,0
4,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18",,OutboundNewtonSkip,0,3,0
5,"31,30,29,28,27,26,25,24,23,22,21,20,19",,FraminghamToSouthStation,1,6,0
6,"1,2,3,4,23,24,25,8,9,10,11,12,13",,SouthStationToFramingham,0,5,0
7,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","29,28,27,26,25,24,23",SkipNatickCenterThroughNewtonville,1,8,0
8,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","8,9,10,11",SkipNewtonvilleThroughNatickCenter,0,7,0
9,"31,30,29,28,27,26,25,24,23,22,21,20,19","25,24,23",FraminghamToSouthStationNewtonSkip,1,10,0
10,"1,2,3,4,8,9,10,11,12,13",,SouthStationToFraminghamNewtonSkip,0,9,0
11,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","35,34,33,32,30,29,28,27,26,25,24,23",InboundHeartToHub_BL,1,12,0
12,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","8,9,10,11,12,14,15,16,17",OutboundHeartToHub_BL,0,11,0
13,"25,24,23,22,21,20,19",,InnerCoreInbound,1,14,0
14,"1,2,3,4,23,24,25",,InnerCoreOutbound,0,13,0
17,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","35,34,33,32,30,29,28,27,26,25,24,23,22",InboundHeartToHub,1,18,1
18,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","4,8,9,10,11,12,14,15,16,17",OutboundHeartToHub,0,17,1
19,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","35,34,33,32,31,30,29,28,27,26,25,24,23,22",WorcesterXpressInbound,1,20,1
20,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","4,8,9,10,11,12,13,14,15,16,17",WorcesterXpressOutbound,0,19,1
21,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","29,28,27,26,25,24,23,22",SkipNatickCenterThroughBL,1,22,0
22,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","4,8,9,10,11",SkipBLThroughNatickCenter,0,21,0
23,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","28,27,26,25,24,23,22",SkipWellesleySquareThroughBL,1,24,0
24,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","4,8,9,10",SkipBLThroughWellesleySquare,0,23,0
25,"32,31,30,29,28,27,26,25,24,23,22,21,20,19",,LocalFromAshland,1,26,0
26,"1,2,3,4,23,24,25,8,9,10,11,12,13,14",,LocalToAshland,0,25,0
27,"32,31,30,29,28,27,26,25,24,23,22,21,20,19","25,24,23",LocalFromAshlandSkipNewton,1,28,0
28,"1,2,3,4,8,9,10,11,12,13,14",,LocalToAshlandSkipNewton,0,27,0
29,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","30,29,28,27,26,25,24,23",SkipWestNatickThroughNewtonville,1,30,0
30,"1,2,3,4,8,9,10,11,12,13,14,15,16,17,18","8,9,10,11,12",SkipNewtonvilleThroughWestNatick,0,29,0
