Vehicle_id,Pullin_time,Pullout_time,If_turnaround,Vehicle_type,Route_sequence
1,18000,95000,0,1,12
2,21600,95000,0,1,3
3,23400,95000,0,1,9
4,24300,95000,0,1,11
5,25200,95000,0,1,11
6,26100,95000,0,1,1
7,26100,95000,0,1,10
8,27000,95000,0,1,11
9,27900,95000,0,1,11
11,28800,95000,0,1,11
12,28800,95000,0,1,12
13,29700,95000,0,1,9
14,29700,95000,0,1,12
15,30600,95000,0,1,10
16,30600,95000,0,1,11
17,31500,95000,0,1,10
18,32400,95000,0,1,12
19,33300,95000,0,1,10
21,34200,95000,0,1,10
23,35100,95000,0,1,10
24,35100,95000,0,1,11
25,36000,95000,0,1,1
27,36000,95000,0,1,12
29,36900,95000,0,1,10
30,37800,95000,0,1,11
31,37800,95000,0,1,12
33,38700,95000,0,1,10
35,39600,95000,0,1,12
36,40500,95000,0,1,10
37,41400,95000,0,1,1
39,41400,95000,0,1,12
40,42300,95000,0,1,10
41,43200,95000,0,1,3
42,43200,95000,0,1,12
44,44100,95000,0,1,10
45,45000,95000,0,1,3
46,45000,95000,0,1,12
48,45900,95000,0,1,10
49,46800,95000,0,1,3
50,46800,95000,0,1,12
52,47700,95000,0,1,12
53,48600,95000,0,1,1
54,48600,95000,0,1,12
56,49500,95000,0,1,10
57,50400,95000,0,1,3
59,51300,95000,0,1,12
60,52200,95000,0,1,12
61,53100,95000,0,1,10
64,54000,95000,0,1,10
68,57600,95000,0,1,11
71,58500,95000,0,1,11
73,59400,95000,0,1,11
74,60300,95000,0,1,10
76,61200,95000,0,1,1
78,62100,95000,0,1,10
81,63900,95000,0,1,10
82,63900,95000,0,1,11
85,64800,95000,0,1,12
87,66600,95000,0,1,3
90,67500,95000,0,1,12
92,68400,95000,0,1,12
93,69300,95000,0,1,12
95,71100,95000,0,1,10
97,72900,95000,0,1,10
