,StopName,mean
5,GRAFTON,142.70948012232415
16,WESTBOROUGH,154.13569321533924
10,SOUTHBOROUGH,160.34730538922156
0,ASHLAND,150.4211956521739
4,FRAMINGHAM,281.3779761904762
14,WEST NATICK,146.99756097560976
7,NATICK CENTER,165.24598930481284
13,WELLESLEY SQUARE,160.29752066115702
12,WELLESLEY HILLS,135.67021276595744
11,WELLESLEY FARMS,142.28974358974358
1,AUBURNDALE,138.12844036697248
15,WEST NEWTON,116.82062780269058
8,NEWTONVILLE,134.5868544600939
3,BOSTON LANDING,137.2722891566265
6,Lansdowne,168.80985915492957
2,BACK BAY,131.29123711340208
9,SOUTH STATION,356.5
