Name,Type,Block_name,Block_id,Ahead_block_id,Direction
Tower1_7,Interlocking,Block-2-0,,,WB
BlockA_7,Block,Block-4-0,,,WB
CP-3_7,Interlocking,Block-5-0,,,WB
BlockB_7,Block,Block-6-0,,,WB
BlockC_7,Block,Block-7-0,,,WB
BlockD_7,Block,Block-8-0,,,WB
BlockE_7,Block,Block-9-0,,,WB
CP-11_7,Interlocking,Block-10-0,,,WB
BlockF_7,Block,Block-11-0,,,WB
BlockG_7,Block,Block-12-0,,,WB
BlockH_7,Block,Block-13-0,,,WB
CP-21_7,Interlocking,Block-14-0,,,WB
CP-22_7,Interlocking,Block-15-0,,,WB
CP-23_7,Interlocking,Block-16-0,,,WB
CP-24_7,Interlocking,Block-17-0,,,WB
CP-28_7,Interlocking,Block-18-0,,,WB
CP-29_7,Interlocking,Block-19-0,,,WB
CP-30_7,Interlocking,Block-20-0,,,WB
CP-33_7,Interlocking,Block-21-0,,,WB
CP-39_7,Interlocking,Block-22-0,,,WB
CP-43_7,Interlocking,Block-24-0,,,WB
CP-44_7,Interlocking,Block-25-0,,,WB
CP-45_7,Interlocking,Block-26-0,,,WB
,,,,,
CP-45_7,Interlocking,Block-25-1,,,EB
CP-44_7,Interlocking,Block-24-0,,,EB
CP-43_7,Interlocking,Block-23-0,,,EB
CP-39_7,Interlocking,Block-21-6,,,EB
CP-33_7,Interlocking,Block-20-1,,,EB
CP-30_7,Interlocking,Block-19-0,,,EB
CP-29_7,Interlocking,Block-18-0,,,EB
CP-28_7,Interlocking,Block-17-4,,,EB
CP-24_7,Interlocking,Block-16-0,,,EB
CP-23_7,Interlocking,Block-15-1,,,EB
CP-22_7,Interlocking,Block-14-1,,,EB
CP-21_7,Interlocking,Block-13-3,,,EB
BlockH_7,Block,Block-12-2,,,EB
BlockG_7,Block,Block-11-2,,,EB
BlockF_7,Block,Block-10-6,,,EB
CP-11_7,Interlocking,Block-9-2,,,EB
BlockE_7,Block,Block-8-3,,,EB
BlockD_7,Block,Block-7-2,,,EB
BlockC_7,Block,Block-6-2,,,EB
BlockB_7,Block,Block-5-6,,,EB
CP-3_7,Interlocking,Block-4-2,,,EB
BlockA_7,Block,Block-3-2,,,EB
Cove_7,Interlocking,Block-2-0,,,EB
Tower1_7,Interlocking,Block-1-0,,,EB
,,,,,
CP-45_5,Interlocking,Block-28-0,,,EB
CP-44_5,Interlocking,Block-29-0,,,EB
CP-43_5,Interlocking,Block-30-0,,,EB
CP-42_5,Interlocking,Block-31-0,,,EB
CP-39_5,Interlocking,Block-32-0,,,EB
CP-33_5,Interlocking,Block-33-0,,,EB
CP-28_5,Interlocking,Block-36-0,,,EB
CP-24_5,Interlocking,Block-37-0,,,EB
CP-23_5,Interlocking,Block-38-0,,,EB
CP-22_5,Interlocking,Block-39-0,,,EB
CP-21_5,Interlocking,Block-40-0,,,EB
BlockH_5,Block,Block-41-0,,,EB
BlockG_5,Block,Block-42-0,,,EB
BlockF_5,Block,Block-43-0,,,EB
CP-11_5,Interlocking,Block-44-0,,,EB
BlockE_5,Block,Block-45-0,,,EB
BlockD_5,Block,Block-46-0,,,EB
BlockC_5,Block,Block-47-0,,,EB
BlockB_5,Block,Block-48-0,,,EB
CP-3_5,Interlocking,Block-49-0,,,EB
BlockA_5,Block,Block-50-1,,,EB
Cove_5,Interlocking,Block-51-0,,,EB
Tower1_5,Interlocking,Block-52-0,,,EB
,,,,,
Tower1_5,Interlocking,Block-51-0,,,WB
BlockA_5,Block,Block-49-2,,,WB
CP-3_5,Interlocking,Block-48-6,,,WB
BlockB_5,Block,Block-47-2,,,WB
BlockC_5,Block,Block-46-2,,,WB
BlockD_5,Block,Block-45-3,,,WB
BlockE_5,Block,Block-44-2,,,WB
CP-11_5,Interlocking,Block-43-7,,,WB
BlockF_5,Block,Block-42-2,,,WB
BlockG_5,Block,Block-41-2,,,WB
BlockH_5,Block,Block-40-3,,,WB
CP-21_5,Interlocking,Block-39-1,,,WB
CP-22_5,Interlocking,Block-38-1,,,WB
CP-23_5,Interlocking,Block-37-0,,,WB
CP-24_5,Interlocking,Block-36-4,,,WB
CP-28_5,Interlocking,Block-35-0,,,WB
CP-33_5,Interlocking,Block-32-6,,,WB
CP-39_5,Interlocking,Block-31-1,,,WB
CP-42_5,Interlocking,Block-30-0,,,WB
CP-43_5,Interlocking,Block-29-0,,,WB
CP-44_5,Interlocking,Block-28-1,,,WB
CP-45_5,Interlocking,Block-27-0,,,WB
