Route_id,Stop_id_list,Skip_id_list,Route_desc,Dir,Novel
1,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",,WorcesterToSouthStation,1,0
2,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",,SouthStationToWorcester,0,0
3,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1","7,6,5",InboundNewtonSkip,1,0
4,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36","23,24,25",OutboundNewtonSkip,0,0
5,"13,12,11,10,9,8,7,6,5,4,3,2,1",,FraminghamToSouthStation,1,0
6,"19,20,21,22,23,24,25,26,27,28,29,30,31",,SouthStationToFramingham,0,0
7,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1","11,10,9,8,7,6,5",SkipNatickCenterThroughNewtonville,1,0
8,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36","23,24,25,26,27,28,29",SkipNewtonvilleThroughNatickCenter,0,0
9,"7,6,5,4,3,2,1",,InnerCoreInbound,1,0
10,"19,20,21,22,23,24,25",,InnerCoreOutbound,0,0
,,,FraminghamToSouthStationNewtonSkip,,
,,,,,
500,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",,WorcesterToSouthStation_full,1,
PX6583,,,,,
584,"13,12,11,10,9,8,7,6,5,4,3,2,1",,FraminghamToSouthStation,1,
RV,,,,,
621,,,NEEDHAM,0,
624,,,NEEDHAM,1,
527,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36","23,24,25,26,27,28,29",SkipNewtonvilleThroughNatickCenter,0,
502,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1","11,10,9,8,7,6,5",SkipNatickCenterThroughNewtonville,1,
505,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36","23,24,25",OutboundNewtonSkip,0,
510,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",,WorcesterToSouthStation_full,1,
SH,,,,,
715,,,,,
720,,,,,
593,"19,20,21,22,23,24,25,26,27,28,29,30,31",,SouthStationToFramingham,0,
PX6593,,,,,
PX6582,,,,,
582,"13,12,11,10,9,8,7,6,5,4,3,2,1",,FraminghamToSouthStation,1,
PX6585,,,,,
586,"13,12,11,10,9,8,7,6,5,4,3,2,1",,FraminghamToSouthStation,1,
609,,,,,
612,,,,,
713,,,,,
718,,,,,
881,,,,,
882,,,,,
SH,,,,,
727,,,,,
728,,,,,
537,,,Full outbound,,
504,,,inbound skip natick thru newton,,
513,,,outbound newton skips,,
518,,,inbound newton skips,,
521,,,full outbound,,
526,,,inbound newton skips,,
725,,,,,
726,,,,,
535,,,outbound full,,
