Route_id,Stop_id_list,Skip_id_list,Route_desc,Direc
1,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","24,23",WorcesterToSouthStation,1
2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","5,6",SouthStationToWorcester,0
3,"31,30,29,28,27,26,25,24,23,22,21,20,19","24,23",FraminghamToSouthStation,1
4,"1,2,3,4,5,6,7,8,9,10,11,12,13","5,6",SouthStationToFramingham,0
5,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","29,28,27,26,25,24,23",SkipNatickCenterThroughNewtonville,1
6,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","5,6,7,8,9,10,11",SkipNewtonvilleThroughNatickCenter,0
7,"18,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19","35,34,33,32,30,29,28,27,26,25,24,23,22",InboundHeartToHub,1
8,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","4,5,6,7,8,9,10,11,12,14,15,16,17",OutboundHeartToHub,0
9,"25,24,23,22,21,20,19","24,23",InnerCoreInbound,1
10,"1,2,3,4,5,6,7","5,6",InnerCoreOutbound,0
