Route_id,Stop_id_list,Skip_id_list,Route_desc,Direc
11,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",,WorcesterToSouthStation_full,1
21,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",,SouthStationToWorcester,0
12,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1","7,6,5",InboundNewtonSkip,1
22,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36","23,24,25",OutboundNewtonSkip,0
31,"13,12,11,10,9,8,7,6,5,4,3,2,1",,FraminghamToSouthStation,1
41,"19,20,21,22,23,24,25,26,27,28,29,30,31",,SouthStationToFramingham,0
13,"18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1","11,10,9,8,7,6,5",SkipNatickCenterThroughNewtonville,1
23,"19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36","23,24,25,26,27,28,29",SkipNewtonvilleThroughNatickCenter,0
16,"19,20,21,22,23,24,25",,InnerCoreOutbound,0
61,"7,6,5,4,3,2,1",,InnerCoreInbound,1
