Vehicle_id,Pullin_time,Pullout_time,If_turnaround,Vehicle_type,Route_sequence
1,300,95000,0,2,3
2,300,95000,,,4
3,1200,95000,,,3
4,1200,95000,,,4
5,2100,95000,,,3
6,2100,95000,,,4
7,3000,95000,,,3
8,3000,95000,,,4
9,3900,95000,,,3
10,3900,95000,,,4
11,4800,95000,,,3
12,4800,95000,,,4
13,5700,95000,,,3
14,5700,95000,,,4
15,6600,95000,,,3
16,6600,95000,,,4
17,7500,95000,,,3
18,7500,95000,,,4
19,8400,95000,,,3
20,8400,95000,,,4
21,9300,95000,,,3
22,9300,95000,,,4
23,10200,95000,,,3
24,10200,95000,,,4
25,11100,95000,,,3
26,11100,95000,,,4
27,12000,95000,,,3
28,12000,95000,,,4
29,12900,95000,,,3
30,12900,95000,,,4
31,13800,95000,,,3
32,13800,95000,,,4
33,14700,95000,,,3
34,14700,95000,,,4
35,15600,95000,,,3
36,15600,95000,,,4
37,16500,95000,,,3
38,16500,95000,,,4
39,17400,95000,,,3
40,17400,95000,,,4
41,18300,95000,,,3
42,18300,95000,,,4
43,19200,95000,,,3
44,19200,95000,,,4
45,20100,95000,,,3
46,20100,95000,,,4
47,21000,95000,,,3
48,21000,95000,,,4
49,21900,95000,,,3
50,21900,95000,,,4
51,22800,95000,,,3
52,22800,95000,,,4
53,23700,95000,,,3
54,23700,95000,,,4
55,24600,95000,,,3
56,24600,95000,,,4
57,25500,95000,,,3
58,25500,95000,,,4
59,26400,95000,,,3
60,26400,95000,,,4
61,27300,95000,,,3
62,27300,95000,,,4
63,28200,95000,,,3
64,28200,95000,,,4
65,29100,95000,,,3
66,29100,95000,,,4
67,30000,95000,,,3
68,30000,95000,,,4
69,30900,95000,,,3
70,30900,95000,,,4
71,31800,95000,,,3
72,31800,95000,,,4
73,32700,95000,,,3
74,32700,95000,,,4
75,33600,95000,,,3
76,33600,95000,,,4
77,34500,95000,,,3
78,34500,95000,,,4
79,35400,95000,,,3
80,35400,95000,,,4
81,36900,95000,,,3
82,36900,95000,,,4
83,37800,95000,,,3
84,37800,95000,,,4
85,38700,95000,,,3
86,38700,95000,,,4
87,39600,95000,,,3
88,39600,95000,,,4
89,40500,95000,,,3
90,40500,95000,,,4
91,41400,95000,,,3
92,41400,95000,,,4
93,42300,95000,,,3
94,42300,95000,,,4
95,43200,95000,,,3
96,43200,95000,,,4
97,44100,95000,,,3
98,44100,95000,,,4
99,45000,95000,,,3
100,45000,95000,,,4
101,45900,95000,,,3
102,45900,95000,,,4
103,46800,95000,,,3
104,46800,95000,,,4
105,47700,95000,,,3
106,47700,95000,,,4
107,48600,95000,,,3
108,48600,95000,,,4
109,49500,95000,,,3
110,49500,95000,,,4
111,50400,95000,,,3
112,50400,95000,,,4
113,51300,95000,,,3
114,51300,95000,,,4
115,52200,95000,,,3
116,52200,95000,,,4
117,53100,95000,,,3
118,53100,95000,,,4
119,54000,95000,,,3
120,54000,95000,,,4
121,54900,95000,,,3
122,54900,95000,,,4
123,55800,95000,,,3
124,55800,95000,,,4
125,56700,95000,,,3
126,56700,95000,,,4
127,57600,95000,,,3
128,57600,95000,,,4
129,58500,95000,,,3
130,58500,95000,,,4
131,59400,95000,,,3
132,59400,95000,,,4
133,60300,95000,,,3
134,60300,95000,,,4
135,61200,95000,,,3
136,61200,95000,,,4
137,62100,95000,,,3
138,62100,95000,,,4
139,63000,95000,,,3
140,63000,95000,,,4
141,63900,95000,,,3
142,63900,95000,,,4
143,64800,95000,,,3
144,64800,95000,,,4
145,65700,95000,,,3
146,65700,95000,,,4
147,66600,95000,,,3
148,66600,95000,,,4
149,67500,95000,,,3
150,67500,95000,,,4
151,68400,95000,,,3
152,68400,95000,,,4
153,69300,95000,,,3
154,69300,95000,,,4
155,70200,95000,,,3
156,70200,95000,,,4
157,71100,95000,,,3
158,71100,95000,,,4
159,72000,95000,,,3
160,72000,95000,,,4
