Vehicle_id,Pullin_time,Pullout_time,If_turnaround,Vehicle_type,Route_sequence
1,300,95000,0,2,3
3,1200,95000,0,2,3
5,2100,95000,0,2,3
7,3000,95000,0,2,3
9,3900,95000,0,2,3
11,4800,95000,0,2,3
13,5700,95000,0,2,3
15,6600,95000,0,2,3
17,7500,95000,0,2,3
19,8400,95000,0,2,3
21,9300,95000,0,2,3
23,10200,95000,0,2,3
25,11100,95000,0,2,3
27,12000,95000,0,2,3
29,12900,95000,0,2,3
31,13800,95000,0,2,3
33,14700,95000,0,2,3
35,15600,95000,0,2,3
37,16500,95000,0,2,3
39,17400,95000,0,2,3
41,18300,95000,0,2,3
43,19200,95000,0,2,3
45,20100,95000,0,2,3
47,21000,95000,0,2,3
49,21900,95000,0,2,3
51,22800,95000,0,2,3
53,23700,95000,0,2,3
55,24600,95000,0,2,3
57,25500,95000,0,2,3
59,26400,95000,0,2,3
61,27300,95000,0,2,3
63,28200,95000,0,2,3
65,29100,95000,0,2,3
67,30000,95000,0,2,3
69,30900,95000,0,2,3
71,31800,95000,0,2,3
73,32700,95000,0,2,3
75,33600,95000,0,2,3
77,34500,95000,0,2,3
79,35400,95000,0,2,3
81,36900,95000,0,2,3
83,37800,95000,0,2,3
85,38700,95000,0,2,3
87,39600,95000,0,2,3
89,40500,95000,0,2,3
91,41400,95000,0,2,3
93,42300,95000,0,2,3
95,43200,95000,0,2,3
97,44100,95000,0,2,3
99,45000,95000,0,2,3
101,45900,95000,0,2,3
103,46800,95000,0,2,3
105,47700,95000,0,2,3
107,48600,95000,0,2,3
109,49500,95000,0,2,3
111,50400,95000,0,2,3
113,51300,95000,0,2,3
115,52200,95000,0,2,3
117,53100,95000,0,2,3
119,54000,95000,0,2,3
121,54900,95000,0,2,3
123,55800,95000,0,2,3
125,56700,95000,0,2,3
127,57600,95000,0,2,3
129,58500,95000,0,2,3
131,59400,95000,0,2,3
133,60300,95000,0,2,3
135,61200,95000,0,2,3
137,62100,95000,0,2,3
139,63000,95000,0,2,3
141,63900,95000,0,2,3
143,64800,95000,0,2,3
145,65700,95000,0,2,3
147,66600,95000,0,2,3
149,67500,95000,0,2,3
151,68400,95000,0,2,3
153,69300,95000,0,2,3
155,70200,95000,0,2,3
157,71100,95000,0,2,3
159,72000,95000,0,2,3
