Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,Max_speed,Platform_Tracks,After Block Location
1,SouthStation_inbound,19,100,10,30,2,500,"300,400",5,"5,7",0
2,BackBay_inbound,20,100,10,30,1,500,250,5,"5,7",
3,Lansdowne_inbound,21,100,10,30,1,500,250,5,"5,7",
4,BostonLanding_inbound,22,100,10,30,1,500,250,5,"5,7",
5,Newtonville_inbound,23,100,10,30,1,500,250,5,5,
6,WestNewton_inbound,24,100,10,30,1,500,250,5,5,
7,Auburndale_inbound,25,100,10,30,1,500,250,5,5,
8,WellesleyFarms_inbound,26,100,10,30,1,500,250,5,"5,7",
9,WellesleyHills_inbound,27,100,10,30,1,500,250,5,"5,7",
10,WellesleySquare_inbound,28,100,10,30,1,500,250,5,"5,7",
11,NatickCenter_inbound,29,100,10,30,1,500,250,5,"5,7",
12,WestNatick_inbound,30,100,10,30,1,500,250,5,"5,7",
13,Framingham_inbound,31,100,10,30,1,800,250,5,"5,7",
14,Ashland_inbound,32,100,10,30,1,500,250,5,"5,7",
15,Southborough_inbound,33,100,10,30,1,500,250,5,"5,7",
16,Westborough_inbound,34,100,10,30,1,500,250,5,"5,7",
17,Grafton_inbound,35,100,10,30,1,500,250,5,"5,7",
18,Worcester_inbound,36,100,10,30,1,500,250,5,7,
19,SouthStation_outbound,1,100,10,30,1,500,250,5,"5,7",
20,BackBay_outbound,2,100,10,30,1,500,250,5,"5,7",
21,Lansdowne_outbound,3,100,10,30,1,500,250,5,"5,7",
22,BostonLanding_outbound,4,100,10,30,1,500,250,5,"5,7",
23,Newtonville_outbound,5,100,10,30,1,500,250,5,5,
24,WestNewton_outbound,6,100,10,30,1,500,250,5,5,
25,Auburndale_outbound,7,100,10,30,1,500,250,5,5,
26,WellesleyFarms_outbound,8,100,10,30,1,500,250,5,"5,7",
27,WellesleyHills_outbound,9,100,10,30,1,500,250,5,"5,7",
28,WellesleySquare_outbound,10,100,10,30,1,500,250,5,"5,7",
29,NatickCenter_outbound,11,100,10,30,1,500,250,5,"5,7",
30,WestNatick_outbound,12,100,10,30,1,500,250,5,"5,7",
31,Framingham_outbound,13,100,10,30,1,500,250,5,"5,7",
32,Ashland_outbound,14,100,10,30,1,500,250,5,"5,7",
33,Southbourough_outbound,15,100,10,30,1,500,250,5,"5,7",
34,Westborough_outbound,16,100,10,30,1,500,250,5,"5,7",
35,Grafton_outbound,17,100,10,30,1,500,250,5,"5,7",
36,Worcester_outbound,18,100,10,30,2,500,"300,400",5,7,
