Name,Type,Block_name,Block_id,Ahead_block_id,Two_ahead_block_id,Direction
Tower1_7_WB,Control Point,Block-2-0,2,6,9,WB
BlockA_7_WB,Block,Block-4-0,6,9,16,WB
CP-3_7_WB,Control Point,Block-5-0,9,16,19,WB
BlockB_7_WB,Block,Block-6-0,16,19,22,WB
BlockC_7_WB,Block,Block-7-0,19,22,26,WB
BlockD_7_WB,Block,Block-8-0,22,26,29,WB
BlockE_7_WB,Block,Block-9-0,26,29,36,WB
CP-11_7_WB,Control Point,Block-10-0,29,36,39,WB
BlockF_7_WB,Block,Block-11-0,36,39,42,WB
BlockG_7_WB,Block,Block-12-0,39,42,46,WB
BlockH_7_WB,Block,Block-13-0,42,46,48,WB
CP-21_7_WB,Control Point,Block-14-0,46,48,50,WB
CP-22_7_WB,Control Point,Block-15-0,48,50,51,WB
CP-23_7_WB,Control Point,Block-16-0,50,51,56,WB
CP-24_7_WB,Control Point,Block-17-0,51,56,57,WB
CP-28_7_WB,Control Point,Block-18-0,56,57,58,WB
CP-29_7_WB,Control Point,Block-19-0,57,58,60,WB
CP-30_7_WB,Control Point,Block-20-0,58,60,67,WB
CP-33_7_WB,Control Point,Block-21-0,60,67,70,WB
CP-39_7_WB,Control Point,Block-22-0,67,70,71,WB
CP-43_7_WB,Control Point,Block-24-0,70,71,73,WB
CP-44_7_WB,Control Point,Block-25-0,71,73,200,WB
CP-45_7_WB,Control Point,Block-26-0,73,200,201,WB
CP-44_7_EB,Terminal Control Point,Worcester_7,18,70,69,EB
CP-43_7_EB,Control Point,Block-24-0,70,69,68,EB
CP-39_7_EB,Control Point,Block-22-0,69,66,59,EB
CP-33_7_EB,Control Point,Block-21-6,66,59,57,EB
CP-30_7_EB,Control Point,Block-20-1,59,57,56,EB
CP-29_7_EB,Control Point,Block-19-0,57,56,55,EB
CP-28_7_EB,Control Point,Block-18-0,56,55,50,EB
CP-24_7_EB,Control Point,Block-17-4,55,50,49,EB
CP-23_7_EB,Control Point,Block-16-0,50,49,47,EB
CP-22_7_EB,Control Point,Block-15-1,49,47,45,EB
CP-21_7_EB,Control Point,Block-14-1,47,45,41,EB
BlockH_7_EB,Block,Block-13-3,45,41,38,EB
BlockG_7_EB,Block,Block-12-2,41,38,35,EB
BlockF_7_EB,Block,Block-11-2,38,35,28,EB
CP-11_7_EB,Control Point,Block-10-6,35,28,25,EB
BlockE_7_EB,Block,Block-9-2,28,25,21,EB
BlockD_7_EB,Block,Block-8-3,25,21,18,EB
BlockC_7_EB,Block,Block-7-2,21,18,15,EB
BlockB_7_EB,Block,Block-6-2,18,15,8,EB
CP-3_7_EB,Control Point,Block-5-6,15,8,5,EB
BlockA_7_EB,Block,Block-4-2,8,5,2,EB
Cove_7_EB,Control Point,Block-3-2,5,2,1,EB
Tower1_7_EB,Control Point,Block-2-0,2,1,300,EB
CP-45_5_EB,Control Point,Block-28-0,75,77,78,EB
CP-44_5_EB,Control Point,Block-29-0,77,78,79,EB
CP-43_5_EB,Control Point,Block-30-0,78,79,81,EB
CP-42_5_EB,Control Point,Block-31-0,79,81,88,EB
CP-39_5_EB,Control Point,Block-32-0,81,88,92,EB
CP-33_5_EB,Control Point,Block-33-0,88,92,97,EB
CP-28_5_EB,Control Point,Block-36-0,92,97,98,EB
CP-24_5_EB,Control Point,Block-37-0,97,98,100,EB
CP-23_5_EB,Control Point,Block-38-0,98,100,102,EB
CP-22_5_EB,Control Point,Block-39-0,100,102,106,EB
CP-21_5_EB,Control Point,Block-40-0,102,106,109,EB
BlockH_5_EB,Block,Block-41-0,106,109,112,EB
BlockG_5_EB,Block,Block-42-0,109,112,120,EB
BlockF_5_EB,Block,Block-43-0,112,120,123,EB
CP-11_5_EB,Control Point,Block-44-0,120,123,127,EB
BlockE_5_EB,Block,Block-45-0,123,127,130,EB
BlockD_5_EB,Block,Block-46-0,127,130,133,EB
BlockC_5_EB,Block,Block-47-0,130,133,140,EB
BlockB_5_EB,Block,Block-48-0,133,140,143,EB
CP-3_5_EB,Control Point,Block-49-0,140,143,146,EB
BlockA_5_EB,Block,Block-50-0,143,146,147,EB
Cove_5_EB,Control Point,Block-51-0,146,147,400,EB
Tower1_5_EB,Control Point,Block-52-0,147,400,401,EB
Tower1_5_WB,Control Point,Block-51-0,146,401,139,WB
BlockA_5_WB,Block,Block-49-2,142,139,132,WB
CP-3_5_WB,Control Point,Block-48-6,139,132,129,WB
BlockB_5_WB,Block,Block-47-2,132,129,126,WB
BlockC_5_WB,Block,Block-46-2,129,126,122,WB
BlockD_5_WB,Block,Block-45-3,126,122,119,WB
BlockE_5_WB,Block,Block-44-2,122,119,111,WB
CP-11_5_WB,Control Point,Block-43-7,119,111,108,WB
BlockF_5_WB,Block,Block-42-2,111,108,105,WB
BlockG_5_WB,Block,Block-41-2,108,105,101,WB
BlockH_5_WB,Block,Block-40-3,105,101,99,WB
CP-21_5_WB,Control Point,Block-39-1,101,99,97,WB
CP-22_5_WB,Control Point,Block-38-1,99,97,96,WB
CP-23_5_WB,Control Point,Block-37-0,97,96,91,WB
CP-24_5_WB,Control Point,Block-36-4,96,91,87,WB
CP-28_5_WB,Control Point,Block-35-0,91,87,80,WB
CP-33_5_WB,Control Point,Block-32-6,87,80,78,WB
CP-39_5_WB,Control Point,Block-31-1,80,78,77,WB
CP-42_5_WB,Control Point,Block-30-0,78,77,76,WB
CP-43_5_WB,Control Point,Block-29-0,77,76,74,WB
CP-44_5_WB,Control Point,Block-28-1,76,74,500,WB
CP-45_5_WB,Control Point,Block-27-0,74,500,501,WB
,,,,,,WB
