From_station_id,From_station_name,To_station_id,To_station_name,Block_id_list,Express_track
1,SouthStation_7,2,BackBay_7,"1,2,3",0
2,BackBay_7,3,Lansdowne_7,"5,6",0
3,Lansdowne_7,4,BostonLanding_7,"8,9,10,11",0
4,BostonLanding_7,8,WellesleyFarms_7,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0
8,WellesleyFarms_7,9,WellesleyHills_7,"31,32",0
9,WellesleyHills_7,10,WellesleySquare_7,"34,35,36",0
10,WellesleySquare_7,11,NatickCenter_7,"38,39",0
11,NatickCenter_7,12,WestNatick_7,"41,42",0
12,WestNatick_7,13,Framingham_7,"44,45,46",0
13,Framingham_7,14,Ashland_7,"48,49,50,51",0
14,Ashland_7,15,Southborough_7,53,0
15,Southborough_7,16,Westborough_7,"55,56,57,58,59,60",0
16,Westborough_7,17,Grafton_7,"62,63",0
17,Grafton_7,18,Worcester_7,"65,66,67,68,69,70,71",0
35,Grafton_5,34,Westborough_5,"84,85",0
34,Westborough_5,33,Southbourough_5,"87,88,89,90,91,92",0
33,Southbourough_5,32,Ashland_5,94,0
32,Ashland_5,31,Framingham_5,"96,97,98,99",0
31,Framingham_5,30,WestNatick_5,"101,102,103",0
30,WestNatick_5,29,NatickCenter_5,"105,106",0
29,NatickCenter_5,28,WellesleySquare_5,"108,109",0
28,WellesleySquare_5,27,WellesleyHills_5,"111,112,113",0
27,WellesleyHills_5,26,WellesleyFarms_5,"115,116",0
26,WellesleyFarms_5,25,Auburndale_5,"118,119,120",0
25,Auburndale_5,24,WestNewton_5,"122,123",0
24,WestNewton_5,23,Newtonville_5,"125,126,127",0
23,Newtonville_5,22,BostonLanding_5,"129,130,131,132,133,134,135",0
22,BostonLanding_5,21,Lansdowne_5,"137,138,139,140",0
21,Lansdowne_5,20,BackBay_5,"142,143",0
20,BackBay_5,19,SouthStation_5,"145,146,147",0
18,Worcester_7,35,Grafton_5,"71,70,69,68,67,81,82",0
25,Auburndale_5,8,WellesleyFarms_7,"120,29",0
4,BostonLanding_7,23,Newtonville_5,"13,14,15,132,131,130,129",0
4,BostonLanding_7,5,Newtonville_7,"13,14,15,16,17,18,19",0
5,Newtonville_7,6,WestNewton_7,"21,22,23",0
6,WestNewton_7,7,Auburndale_7,"25,26",0
7,Auburndale_7,8,WellesleyFarms_7,"28,29",0
7,Auburndale_7,13,Framingham_7,"28,160,161,46",1
7,Auburndale_7,29,NatickCenter_7,160,1
31,Framingham_5,25,Auburndale_5,"101,161,160,120"
10,WellesleySquare_7,13,Framingham_7,161,1
36,Worcester_5,35,Grafton_5,"76,77,78,79,80,81,82"
