Block_id,Block_name,Length,Location,Max_speed,Track,Notes
1,Block1-0,3000,239880,10,IB,
2,Block1-1,2280,237600,30,IB,
3,Block2-0-0,1000,236600,30,IB,
4,Block2-0,1280,235320,30,IB,
5,Block2-1,750,234570,30,IB,
6,Block2-2,2250,232320,30,IB,
7,Block3-0,1000,231320,30,IB,
8,Block3-1-0,1000,230320,40,IB,
9,Block3-1,3280,227040,40,IB,
10,Block4-0,1000,226040,40,IB,
11,Block4-1,2780,223260,50,IB,
12,Block4-2,1500,221760,79,IB,
13,Block5-0,750,221010,79,IB,
14,Block5-1-0,2280,218730,79,IB,
15,Block5-1,1000,217730,79,IB,
16,Block5-2,1250,216480,60,IB,guessed speed
17,Block6-0,1780,214700,60,IB,
18,Block6-1,3500,211200,79,IB,
19,Block7-0,750,210450,79,IB,
20,Block7-1,3250,207200,60,IB,
21,Block7-2,1280,205920,79,IB,
22,Block8-0-0,280,205640,79,IB,
23,Block8-0,5000,200640,79,IB,
24,Block9-0,5000,195640,79,IB,
25,Block9-1,280,195360,70,IB,
26,Block10-0-0,1000,194360,70,IB,
27,Block10-0,750,193610,70,IB,
28,Block10-1,3530,190080,79,IB,
29,Block11-0-0,1400,188680,79,IB,
30,Block11-0,750,187930,79,IB,
31,Block11-1,1630,186300,60,IB,
32,Block11-2,1500,184800,60,IB,
33,Block12-0,2480,182320,60,IB,
34,Block12-1,2800,179520,55,IB,
35,Block13-0,650,178870,55,IB,
36,Block13-1,2000,176870,60,IB,
37,Block13-2,2630,174240,60,IB,
38,Block14-0-0,2640,171600,60,IB,
39,Block14-0,2640,168960,60,IB,
40,Block15-0-0,1760,167200,60,IB,
41,Block15-0,3520,163680,60,IB,
42,Block16-0,5280,158400,60,IB,
43,Block17-0,5280,153120,60,IB,
44,Block18-0-0,2640,150480,60,IB,
45,Block18-0,2640,147840,60,IB,
46,Block19-0,5280,142560,60,IB,
47,Block20-0-0,4280,138280,60,IB,
48,Block20-0,1000,137280,60,IB,
49,Block21-0,4780,132500,60,IB,
50,Block21-1,500,132000,30,IB,
51,Block22-0,2500,129500,30,IB,
52,Block22-1,1780,127720,15,IB,
53,Block22-2,1000,126720,55,IB,
54,Block23-0,4280,122440,55,IB,
55,Block23-1,1000,121440,60,IB,
56,Block24-0,5280,116160,60,IB,
57,Block25-0,5280,110880,60,IB,
58,Block26-0-0,500,110380,60,IB,
59,Block26-0,4780,105600,60,IB,
60,Block27-0,5280,100320,60,IB,
61,Block28-0-0,2280,98040,60,IB,
62,Block28-0,3000,95040,60,IB,
63,Block29-0,5280,89760,60,IB,
64,Block30-0,1880,87880,60,IB,
65,Block30-1,3400,84480,70,IB,
66,Block31-0,5280,79200,70,IB,
67,Block32-0,3280,75920,70,IB,
68,Block32-1,2000,73920,60,IB,
69,Block33-0,5280,68640,60,IB,
70,Block34-0-0,4280,64360,60,IB,
71,Block34-0,1000,63360,60,IB,
72,Block35-0,5280,58080,60,IB,
73,Block36-0,5280,52800,60,IB,
74,Block37-0,1000,51800,60,IB,
75,Block37-1-0,2000,49800,55,IB,
76,Block37-1,1500,48300,55,IB,
77,Block37-2,780,47520,70,IB,
78,Block38-0,5280,42240,70,IB,
79,Block39-0,5280,36960,70,IB,
80,Block40-0,2000,34960,70,IB,
81,Block40-1,3280,31680,55,IB,
82,Block41-0,5280,26400,55,IB,
83,Block42-0,5280,21120,55,IB,
84,Block43-0,1000,20120,55,IB,
85,Block43-1,4280,15840,40,IB,
86,Block44-0,4280,11560,40,IB,
87,Block44-1,1000,10560,25,IB,
88,Block45-0-0,2000,8560,25,IB,
89,Block45-0,2000,6560,25,IB,
90,Block45-1,1280,5280,60,IB,
91,Block46-0,5280,0,60,IB,
92,Block47-0,5280,237600,70,OB,
93,Block48-1,1280,236320,70,OB,
94,Block48-0-0,2000,234320,25,OB,
95,Block48-0,2000,232320,25,OB,
96,Block49-1,1000,231320,25,OB,
97,Block49-0,4280,227040,40,OB,
98,Block50-1,4280,222760,40,OB,
99,Block50-0,1000,221760,55,OB,
100,Block51-0,5280,216480,55,OB,
101,Block52-0,5280,211200,55,OB,
102,Block53-1,3280,207920,55,OB,
103,Block53-0,2000,205920,70,OB,
104,Block54-0,5280,200640,70,OB,
105,Block55-0,5280,195360,70,OB,
106,Block56-2,780,194580,70,OB,
107,Block56-1,1500,193080,55,OB,
108,Block56-1-0,2000,191080,55,OB,
109,Block56-0,1000,190080,60,OB,
110,Block57-0,5280,184800,60,OB,
111,Block58-0,5280,179520,60,OB,
112,Block59-0,1000,178520,60,OB,
113,Block59-0-0,4280,174240,60,OB,
114,Block60-0,5280,168960,60,OB,
115,Block61-1,2000,166960,60,OB,
116,Block61-0,3280,163680,70,OB,
117,Block62-0,5280,158400,70,OB,
118,Block63-1,3400,155000,70,OB,
119,Block63-0,1880,153120,60,OB,
120,Block64-0,5280,147840,60,OB,
121,Block65-0,3000,144840,60,OB,
122,Block65-0-0,2280,142560,60,OB,
123,Block66-0,5280,137280,60,OB,
124,Block67-0,4780,132500,60,OB,
125,Block67-0-0,500,132000,60,OB,
126,Block68-0,5280,126720,60,OB,
127,Block69-0,5280,121440,60,OB,
128,Block70-1,1000,120440,60,OB,
129,Block70-0,4280,116160,60,OB,
130,Block71-2,1000,115160,55,OB,
131,Block71-1,1780,113380,15,OB,
