Route_sequence,Pullout_time,Vehicle_id,Vehicle_type,If_turnaround,Pullin_time
15,95000,1,2,0,16200
11,95000,2,2,0,17100
9,95000,3,2,0,18000
15,95000,5,2,0,18000
11,95000,6,2,0,18900
9,95000,8,2,0,19800
3,95000,10,2,0,20100
9,95000,13,2,0,21600
7,95000,14,2,0,21900
13,95000,15,2,0,22200
9,95000,17,2,0,23400
15,95000,18,2,0,23400
3,95000,20,2,0,24600
9,95000,22,2,0,25200
3,95000,23,2,0,25800
9,95000,24,2,0,26100
3,95000,26,2,0,27600
3,95000,28,2,0,28800
13,95000,30,2,0,28800
9,95000,31,2,0,29100
3,95000,33,2,0,30000
3,95000,35,2,0,31200
13,95000,37,2,0,31800
3,95000,38,2,0,32400
13,95000,40,2,0,33000
3,95000,42,2,0,33600
13,95000,44,2,0,34200
3,95000,45,2,0,34800
13,95000,47,2,0,35400
3,95000,48,2,0,36000
13,95000,50,2,0,36600
3,95000,52,2,0,37200
13,95000,54,2,0,37800
3,95000,55,2,0,38400
13,95000,57,2,0,39000
3,95000,58,2,0,39600
13,95000,60,2,0,40200
3,95000,61,2,0,40800
13,95000,63,2,0,41400
3,95000,64,2,0,42000
13,95000,66,2,0,42600
3,95000,67,2,0,43200
13,95000,69,2,0,43800
3,95000,71,2,0,44400
13,95000,73,2,0,45000
3,95000,74,2,0,45600
13,95000,76,2,0,46200
3,95000,77,2,0,46800
13,95000,79,2,0,47400
3,95000,80,2,0,48000
13,95000,82,2,0,48600
3,95000,83,2,0,49200
13,95000,85,2,0,49800
3,95000,86,2,0,50400
13,95000,88,2,0,51000
13,95000,91,2,0,52200
15,95000,92,2,0,52200
3,95000,94,2,0,53400
13,95000,95,2,0,53400
9,95000,97,2,0,54000
9,95000,99,2,0,54900
3,95000,100,2,0,55200
5,95000,102,2,0,56700
3,95000,103,2,0,57000
13,95000,105,2,0,57600
3,95000,106,2,0,58200
5,95000,107,2,0,58500
3,95000,109,2,0,59400
13,95000,110,2,0,59400
3,95000,112,2,0,60600
13,95000,114,2,0,61200
3,95000,115,2,0,61800
13,95000,117,2,0,62400
3,95000,118,2,0,63000
13,95000,120,2,0,63600
3,95000,121,2,0,64800
13,95000,123,2,0,64800
3,95000,125,2,0,66000
13,95000,126,2,0,66000
5,95000,127,2,0,66300
3,95000,129,2,0,67200
13,95000,130,2,0,67200
3,95000,132,2,0,68400
13,95000,134,2,0,69000
3,95000,136,2,0,69600
13,95000,138,2,0,70200
11,95000,140,2,0,71400
13,95000,141,2,0,71400
13,95000,143,2,0,72600
