Route_sequence,Pullout_time,Vehicle_id,Vehicle_type,If_turnaround,Pullin_time
12,95000,4,2,0,18000
12,95000,7,2,0,18900
12,95000,9,2,0,19800
12,95000,11,2,0,20700
4,95000,12,2,0,21600
4,95000,16,2,0,22800
4,95000,19,2,0,24000
4,95000,25,2,0,26400
4,95000,27,2,0,27600
4,95000,29,2,0,28800
10,95000,32,2,0,29700
4,95000,34,2,0,30600
10,95000,36,2,0,31500
4,95000,39,2,0,32400
10,95000,41,2,0,33300
4,95000,43,2,0,34200
10,95000,46,2,0,35100
4,95000,49,2,0,36000
10,95000,51,2,0,36900
4,95000,53,2,0,37800
10,95000,56,2,0,38700
4,95000,59,2,0,39600
4,95000,62,2,0,40800
4,95000,65,2,0,42000
4,95000,68,2,0,43200
10,95000,70,2,0,44100
4,95000,72,2,0,45000
10,95000,75,2,0,45900
4,95000,78,2,0,46800
4,95000,81,2,0,48000
4,95000,84,2,0,49200
4,95000,87,2,0,50400
2,95000,89,2,0,51300
6,95000,90,2,0,52200
2,95000,93,2,0,53100
6,95000,96,2,0,54000
2,95000,98,2,0,54900
2,95000,101,2,0,56100
4,95000,104,2,0,57600
4,95000,108,2,0,58800
4,95000,111,2,0,60000
4,95000,113,2,0,61200
4,95000,116,2,0,62400
4,95000,119,2,0,63600
4,95000,122,2,0,64800
10,95000,124,2,0,65700
4,95000,128,2,0,66600
10,95000,131,2,0,67500
4,95000,133,2,0,68400
10,95000,135,2,0,69300
4,95000,137,2,0,70200
10,95000,139,2,0,71100
10,95000,142,2,0,72000
14,95000,145,2,0,73800
