Route_sequence,Pullin_time,Pullout_time,Vehicle_id,Vehicle_type,If_turnaround
15,270,95000,1,2,0
11,285,95000,2,2,0
9,300,95000,3,2,0
12,300,95000,4,2,0
15,300,95000,5,2,0
11,315,95000,6,2,0
12,315,95000,7,2,0
9,330,95000,8,2,0
12,330,95000,9,2,0
3,335,95000,10,2,0
12,345,95000,11,2,0
4,360,95000,12,2,0
9,360,95000,13,2,0
7,365,95000,14,2,0
13,370,95000,15,2,0
4,380,95000,16,2,0
9,390,95000,17,2,0
15,390,95000,18,2,0
4,400,95000,19,2,0
3,410,95000,20,2,0
4,420,95000,21,2,0
9,420,95000,22,2,0
3,430,95000,23,2,0
9,435,95000,24,2,0
4,440,95000,25,2,0
3,460,95000,26,2,0
4,460,95000,27,2,0
3,480,95000,28,2,0
4,480,95000,29,2,0
13,480,95000,30,2,0
9,485,95000,31,2,0
10,495,95000,32,2,0
3,500,95000,33,2,0
4,510,95000,34,2,0
3,520,95000,35,2,0
10,525,95000,36,2,0
13,530,95000,37,2,0
3,540,95000,38,2,0
4,540,95000,39,2,0
13,550,95000,40,2,0
10,555,95000,41,2,0
3,560,95000,42,2,0
4,570,95000,43,2,0
13,570,95000,44,2,0
3,580,95000,45,2,0
10,585,95000,46,2,0
13,590,95000,47,2,0
3,600,95000,48,2,0
4,600,95000,49,2,0
13,610,95000,50,2,0
10,615,95000,51,2,0
3,620,95000,52,2,0
4,630,95000,53,2,0
13,630,95000,54,2,0
3,640,95000,55,2,0
10,645,95000,56,2,0
13,650,95000,57,2,0
3,660,95000,58,2,0
4,660,95000,59,2,0
13,670,95000,60,2,0
3,680,95000,61,2,0
4,680,95000,62,2,0
13,690,95000,63,2,0
3,700,95000,64,2,0
4,700,95000,65,2,0
13,710,95000,66,2,0
3,720,95000,67,2,0
4,720,95000,68,2,0
13,730,95000,69,2,0
10,735,95000,70,2,0
3,740,95000,71,2,0
4,750,95000,72,2,0
13,750,95000,73,2,0
3,760,95000,74,2,0
10,765,95000,75,2,0
13,770,95000,76,2,0
3,780,95000,77,2,0
4,780,95000,78,2,0
13,790,95000,79,2,0
3,800,95000,80,2,0
4,800,95000,81,2,0
13,810,95000,82,2,0
3,820,95000,83,2,0
4,820,95000,84,2,0
13,830,95000,85,2,0
3,840,95000,86,2,0
4,840,95000,87,2,0
13,850,95000,88,2,0
2,855,95000,89,2,0
6,870,95000,90,2,0
13,870,95000,91,2,0
15,870,95000,92,2,0
2,885,95000,93,2,0
3,890,95000,94,2,0
13,890,95000,95,2,0
6,900,95000,96,2,0
9,900,95000,97,2,0
2,915,95000,98,2,0
9,915,95000,99,2,0
3,920,95000,100,2,0
2,935,95000,101,2,0
5,945,95000,102,2,0
3,950,95000,103,2,0
4,960,95000,104,2,0
13,960,95000,105,2,0
3,970,95000,106,2,0
5,975,95000,107,2,0
4,980,95000,108,2,0
3,990,95000,109,2,0
13,990,95000,110,2,0
4,1000,95000,111,2,0
3,1010,95000,112,2,0
4,1020,95000,113,2,0
13,1020,95000,114,2,0
3,1030,95000,115,2,0
4,1040,95000,116,2,0
13,1040,95000,117,2,0
3,1050,95000,118,2,0
4,1060,95000,119,2,0
13,1060,95000,120,2,0
3,1080,95000,121,2,0
4,1080,95000,122,2,0
13,1080,95000,123,2,0
10,1095,95000,124,2,0
3,1100,95000,125,2,0
13,1100,95000,126,2,0
5,1105,95000,127,2,0
4,1110,95000,128,2,0
3,1120,95000,129,2,0
13,1120,95000,130,2,0
10,1125,95000,131,2,0
3,1140,95000,132,2,0
4,1140,95000,133,2,0
13,1150,95000,134,2,0
10,1155,95000,135,2,0
3,1160,95000,136,2,0
4,1170,95000,137,2,0
13,1170,95000,138,2,0
10,1185,95000,139,2,0
11,1190,95000,140,2,0
13,1190,95000,141,2,0
10,1200,95000,142,2,0
13,1210,95000,143,2,0
14,1215,95000,144,2,0
14,1230,95000,145,2,0
