Vehicle_id,Pullin_time,Pullout_time,If_turnaround,Vehicle_type,Route_sequence,,
26,17100,95000,0,2,4,4.75,
27,21300,95000,0,2,4,5.916666667,
28,24900,95000,0,2,4,6.916666667,
29,28200,95000,0,2,4,7.833333333,
30,31800,95000,0,2,4,8.833333333,
31,35400,95000,0,2,4,9.833333333,
32,39000,95000,0,2,4,10.83333333,
33,42300,95000,0,2,2,11.75,
34,46500,95000,0,2,4,12.91666667,
35,49500,95000,0,2,2,13.75,
36,53400,95000,0,2,2,14.83333333,
37,56100,95000,0,2,6,15.58333333,
38,57900,95000,0,2,8,16.08333333,
39,59100,95000,0,2,6,16.41666667,
40,60900,95000,0,2,12,16.91666667,Heart to hub
41,61500,95000,0,2,8,17.08333333,Skip Newtonville through Natick Center
42,63300,95000,0,2,6,17.58333333,
43,65100,95000,0,2,8,18.08333333,
44,66900,95000,0,2,2,18.58333333,
45,70500,95000,0,2,2,19.58333333,
46,74100,95000,0,2,2,20.58333333,
47,79500,95000,0,2,2,22.08333333,
48,83100,95000,0,2,2,23.08333333,
