Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
0,0,0,0,423.945,,,423.945,1,0,,,,,,,,,
1,1,1,423.945,561.729,,,137.784,1,5.73,1,,7,,,,999.8254799,,
2,2,2,561.729,842.482,,,280.753,1,0,,,,,,,,,
3,3,3,842.482,1356.242,,,513.76,1,3.8,1,,7,,,,1507.631579,,
4,4,4,1356.242,2163.575,,,807.333,1,0,,,,,,,,,
5,5,5,2163.575,3805.678,,,1642.103,1,1.43,1,,7,,,,4006.293706,,
6,6,6,3805.678,5275.977,,,1470.299,1,0.6,1,,7,,,,9548.333333,,
7,7,7,5275.977,6558.428,,,1282.451,1,0,,,,,,,,,
8,8,8,6558.428,6835.821,,,277.393,1,1.6,1,,7,,,,3580.625,,
9,9,9,6835.821,7194.774,,,358.953,1,2,1,,7,,,,2864.5,,
10,10,10,7194.774,7390.225,,,195.451,1,0,,,,,,,,,
11,11,11,7390.225,7573.343,,,183.118,1,1.1,1,,7,,,,5208.181818,,
12,12,12,7573.343,7978.636,,,405.293,1,0,,,,,,,,,
13,13,13,7978.636,8045.429,,,66.793,1,0.2,1,,7,,,,28645,,
14,14,14,8045.429,9811.686,,,1766.257,1,0,,,,,,,,,
15,15,15,9811.686,10940.206,,,1128.52,1,1,1,,7,,,,5729,,
16,16,16,10940.206,12115.754,,,1175.548,1,0,,,,,,,,,
17,17,17,12115.754,12374.548,,,258.794,1,0.2,1,,7,,,,28645,,
18,18,18,12374.548,13161.343,,,786.795,1,0,,,,,,,,,
19,19,19,13161.343,13474.825,,,313.482,1,1.15,1,,7,,,,4981.73913,,
20,20,20,13474.825,13789.661,,,314.836,1,0,,,,,,,,,
21,21,21,13789.661,14285.505,,,495.844,1,1,1,,7,,,,5729,,
22,22,22,14285.505,14685.69,,,400.185,1,0,,,,,,,,,
23,23,23,14685.69,15248.701,,,563.011,1,0.5,1,,7,,,,11458,,
24,24,24,15248.701,16269.316,,,1020.615,1,0,,,,,,,,,
25,25,25,16269.316,17210.451,,,941.135,1,1,1,,7,,,,5729,,
26,26,26,17210.451,17942.054,,,731.603,1,0,,,,,,,,,
27,27,27,17942.054,18665.125,,,723.071,1,1.5,1,,7,,,,3819.333333,,
28,28,28,18665.125,20567.253,,,1902.128,1,0,,,,,,,,,
29,29,29,20567.253,21238.313,,,671.06,1,0.55,1,,7,,,,10416.36364,,
30,30,30,21238.313,23857.252,,,2618.939,1,0,,,,,,,,,
31,31,31,23857.252,24354.088,,,496.836,1,0.9,1,,7,,,,6365.555556,,
32,32,32,24354.088,24789.521,,,435.433,1,0,,,,,,,,,
33,33,33,24789.521,25629.252,,,839.731,1,0.85,1,,7,,,,6740,,
34,34,34,25629.252,28734.656,,,3105.404,1,0,,,,,,,,,
35,35,35,28734.656,29215.007,,,480.351,1,0.9,1,,7,,,,6365.555556,,
36,36,36,29215.007,29814.959,,,599.952,1,0,,,,,,,,,
37,37,37,29814.959,30719.253,,,904.294,1,0.85,1,,7,,,,6740,,
38,38,38,30719.253,31982.214,,,1262.961,1,0,,,,,,,,,
39,39,39,31982.214,32662.095,,,679.881,1,0.95,1,,7,,,,6030.526316,,
40,40,40,32662.095,33660.958,,,998.863,1,0,,,,,,,,,
41,41,41,33660.958,34119.361,,,458.403,1,0.9,1,,7,,,,6365.555556,,
42,42,42,34119.361,34186.472,,,67.111,1,0,,,,,,,,,
43,43,43,34186.472,35564.856,,,1378.384,1,0.9,1,,7,,,,6365.555556,,
44,44,44,35564.856,35848.313,,,283.457,1,0,,,,,,,,,
45,45,45,35848.313,36065.05,,,216.737,1,0.65,1,,7,,,,8813.846154,,
46,46,46,36065.05,36566.719,,,501.669,1,0,,,,,,,,,
47,47,47,36566.719,37057.532,,,490.813,1,0.95,1,,7,,,,6030.526316,,
48,48,48,37057.532,38246.254,,,1188.722,1,0,,,,,,,,,
49,49,49,38246.254,39147.47,,,901.216,1,0.45,1,,7,,,,12731.11111,,
50,50,50,39147.47,39693.52,,,546.05,1,0,,,,,,,,,
51,51,51,39693.52,40057.642,,,364.122,1,0.85,1,,7,,,,6740,,
52,52,52,40057.642,42779.769,,,2722.127,1,0,,,,,,,,,
53,53,53,42779.769,42954.037,,,174.268,1,0.35,1,,7,,,,16368.57143,,
54,54,54,42954.037,48095.588,,,5141.551,1,0,,,,,,,,,
55,55,55,48095.588,48625.771,,,530.183,1,1,1,,7,,,,5729,,
56,56,56,48625.771,49261.409,,,635.638,1,0,,,,,,,,,
57,57,57,49261.409,49750.424,,,489.015,1,1,1,,7,,,,5729,,
58,58,58,49750.424,50442.937,,,692.513,1,0,,,,,,,,,
59,59,59,50442.937,50940.617,,,497.68,1,1.1,1,,7,,,,5208.181818,,
60,60,60,50940.617,51518.406,,,577.789,1,0,,,,,,,,,
61,61,61,51518.406,52158.724,,,640.318,1,0.4,1,,7,,,,14322.5,,
62,62,62,52158.724,53508.033,,,1349.309,1,0,,,,,,,,,
63,63,63,53508.033,53874.919,,,366.886,1,1,1,,7,,,,5729,,
64,64,64,53874.919,54206.253,,,331.334,1,0.3,1,,7,,,,19096.66667,,
65,65,65,54206.253,54672.917,,,466.664,1,0,,,,,,,,,
66,66,66,54672.917,56141.138,,,1468.221,1,0.8,1,,7,,,,7161.25,,
67,67,67,56141.138,57165.379,,,1024.241,1,0.6,1,,7,,,,9548.333333,,
68,68,68,57165.379,61215.195,,,4049.816,1,0,,,,,,,,,
69,69,69,61215.195,62049.945,,,834.75,1,1,1,,7,,,,5729,,
70,70,70,62049.945,63567.369,,,1517.424,1,0,,,,,,,,,
71,71,71,63567.369,64175.162,,,607.793,1,2.8,1,,7,,,,2046.071429,,
72,72,72,64175.162,64600.021,,,424.859,1,0,,,,,,,,,
73,73,73,64600.021,65213.834,,,613.813,1,0,1,,7,,,,,,
