Stop_id,,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
1,,NewHaven_1,,100,0,30,1,100,50,254244.55,254487,254244.55,254487,1,2,1
2,,WestHaven_1,,100,30,30,1,100,50,4300,4400,258544.55,258887,1,2,1
3,,Milford_1,,100,30,30,1,100,50,14000,14100,268244.55,268587,1,2,1
4,,Stratford_1,,100,30,30,1,100,50,21000,21100,275244.55,275587,1,2,1
5,,Bridgeport_1,,100,30,30,1,100,50,27000,27100,281244.55,281587,1,2,1
6,,FairfieldMetro_1,,100,30,30,1,100,50,32000,32100,286244.55,286587,1,2,1
7,,Fairfield_1,,100,30,30,1,100,50,34600,34700,288844.55,289187,1,2,1
8,,Southport_1,,100,30,30,1,100,50,38100,38200,292344.55,292687,1,2,1
9,,GreensFarms_1,,100,30,30,1,100,50,40000,40100,294244.55,294587,1,2,1
10,,Westport_1,,100,30,30,1,100,50,45000,45100,299244.55,299587,1,2,1
11,,EastNorwalk_1,,100,30,30,1,100,50,48400,48500,302644.55,302987,1,2,1
12,,WestNorwalk_1,,100,30,30,1,100,50,50400,50500,304644.55,304987,1,2,1
13,,Rowayton_1,,100,30,30,1,100,50,53000,53100,307244.55,307587,1,2,1
14,,Darien_1,,100,30,30,1,100,50,55300,55400,309544.55,309887,1,2,1
15,,NorotonHeights_1,,100,30,30,1,100,50,58000,58100,312244.55,312587,1,2,1
16,,Stamford_1,,100,30,30,1,100,50,62800,62900,317044.55,317387,1,2,1
17,,OldGreenwich_1,,100,30,30,1,100,50,65400,65500,319644.55,319987,1,2,1
18,,Riverside_1,,100,30,30,1,100,50,67200,67300,321444.55,321787,1,2,1
19,,CosCob_1,,100,30,30,1,100,50,68200,68300,322444.55,322787,1,2,1
20,,Greenwich_1,,100,30,30,1,100,50,70700,70800,324944.55,325287,1,2,1
21,,PortChester_1,,100,30,30,1,100,50,74800,74900,329044.55,329387,1,2,1
22,,Rye_1,,100,30,30,1,100,50,77300,77400,331544.55,331887,1,2,1
