,trip_id,arrival_time,stop_id,stop_sequence,stop_name,vehicle_type
445493,CR-500842-510,0,WML-0442-CS,0,Worcester_inbound,2
445494,CR-500842-510,780,WML-0364,10,Grafton_inbound,2
445495,CR-500842-510,1020,WML-0340,20,Westborough_inbound,2
445496,CR-500842-510,1560,WML-0274,30,Southborough_inbound,2
445497,CR-500842-510,1800,WML-0252,40,Ashland_inbound,2
445498,CR-500842-510,2400,WML-0214,50,Framingham_inbound,2
445499,CR-500842-510,2700,WML-0199,60,WestNatick_inbound,2
445500,CR-500842-510,3000,WML-0177,70,NatickCenter_inbound,2
445501,CR-500842-510,3240,WML-0147,80,WellesleySquare_inbound,2
445502,CR-500842-510,3420,WML-0135,90,WellesleyHills_inbound,2
445503,CR-500842-510,3600,WML-0125,100,WellesleyFarms_inbound,2
445504,CR-500842-510,3900,WML-0102-02,110,Auburndale_inbound,2
445505,CR-500842-510,4080,WML-0091-02,120,WestNewton_inbound,2
445506,CR-500842-510,4260,WML-0081-02,130,Newtonville_inbound,2
445507,CR-500842-510,4620,WML-0035,140,BostonLanding_inbound,2
445508,CR-500842-510,4920,WML-0025,150,Lansdowne_inbound,2
445509,CR-500842-510,5220,NEC-2276,160,BackBay_inbound,2
445510,CR-500842-510,5580,NEC-2287,170,SouthStation_inbound,2
