Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
1,SouthStation_2,,100,1,30,1,1000,500,0,"1,000.00",,,1,2,1
2,BackBay_2,,100,60,30,1,386.2416,193.12,2059.9552,2446.1968,227.72,227.48,1,2,0
3,Ruggles_2,,100,30,30,1,128.7472,64.37,3958.9764,4087.7236,226.54,226.46,1,2,0
19,ForestHills_2,,100,30,30,1,160.934,80.47,8449.035,8609.969,223.75,223.65,1,2,0
4,HydePark_2,,100,30,30,1,160.934,80.47,13309.2418,13470.1758,220.73,220.63,1,2,0
5,Readville_2,,100,30,30,1,160.934,80.47,15192.1696,15353.1036,219.56,219.46,1,2,0
6,Route128_2,,100,30,30,1,160.934,80.47,18539.5968,18700.5308,217.48,217.38,1,2,0
7,CantonJunction_2,,100,30,30,1,160.934,80.47,23786.0452,23946.9792,214.22,214.12,1,2,0
8,Sharon_2,,100,30,30,1,160.934,80.47,28968.12,29129.054,211,210.9,1,2,0
9,Mansfield_2,,100,30,30,1,160.934,80.47,39782.8848,39943.8188,204.28,204.18,1,2,0
10,Attleboro_2,,100,30,30,1,160.934,80.47,51321.8526,51482.7866,197.11,197.01,1,2,0
11,SouthAttleboro_2,,100,30,30,1,160.934,80.47,59465.113,59626.047,192.05,191.95,1,2,0
12,Pawtucket_2,,100,30,30,1,144.8406,72.42,61975.6834,62120.524,190.49,190.4,1,2,0
13,Providence_2,,100,60,30,1,160.934,80.47,70215.5042,70376.4382,185.37,185.27,1,2,1
14,TFGreenAirport_2,,100,30,30,1,160.934,80.47,84329.416,84490.35,176.6,176.5,1,2,0
15,WickfordJunction_2,,100,30,30,1,160.934,80.47,101549.354,101710.288,165.9,165.8,1,2,1
16,CantonJunction_4,,100,30,30,1,160,80,0,160,,,1,4,0
17,CantonCenter_4,,100,30,30,1,96.5604,48.28,25009.1436,25105.704,15.54,15.6,1,4,0
18,Stoughton_4,,100,30,30,1,96.5604,48.28,30239.4986,30336.059,18.79,18.85,1,4,1
22,Westerly_2,,100,30,30,1,165,82.5,141994.55,142159.55,,,1,2,0
23,Mystic_2,,100,30,30,1,210.13,105.065,156666,156876.13,,,1,2,0
24,NewLondon_2,,100,30,30,1,130.11,65.055,172484.43,172614.54,,,1,2,0
25,OldSaybrook_2,,100,30,30,1,73.24,36.62,201198.76,201272,,,1,2,0
26,UnionNewHaven_2,,100,30,30,1,242.45,121.225,236700,236800,,,1,2,1
27,NewLondon_5,,100,30,30,1,130.11,65.055,48765,48895.11,,,1,5,0
28,UnionNewHaven_6,,100,30,30,1,242.45,121.225,5104.55,5347,,,1,6,1
