Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
0,,0,0,1696.977,,,1696.977,1,0,,,,,,,,,
1,,1,1696.977,2600.195,,,903.218,1,1,1,,4,,,,5729,,
2,,2,2600.195,4211.794,,,1611.599,1,0,,,,,,,,,
3,,3,4211.794,4735.358,,,523.564,1,1.74,1,,4,,,,3292.528736,,
4,,4,4735.358,5275.986,,,540.628,1,0,,,,,,,,,
5,,5,5275.986,5673.09,,,397.104,1,1.28,1,,4,,,,4475.78125,,
6,,6,5673.09,6980.059,,,1306.969,1,0,,,,,,,,,
7,,7,6980.059,7153.475,,,173.416,1,3.33,1,,4,,,,1720.42042,,
8,,8,7153.475,7275.053,,,121.578,1,5.5,1,,4,,,,1041.636364,,
9,,9,7275.053,7361.49,,,86.437,1,3.33,1,,4,,,,1720.42042,,
10,,10,7361.49,7668.815,,,307.325,1,0,,,,,,,,,
11,,11,7668.815,8486.624,,,817.809,1,0.5,1,,4,,,,11458,,
12,,12,8486.624,11035.159,,,2548.535,1,0,,,,,,,,,
13,,13,11035.159,11275.845,,,240.686,1,0,,,,,,,,,
14,,14,11275.845,11915.065,,,639.22,1,1,1,,4,,,,5729,,
15,,15,11915.065,13094.087,,,1179.022,1,0,,,,,,,,,
16,,16,13094.087,13502.321,,,408.234,1,9.548333333,1,,4,,,,600,,
17,,17,13502.321,13795.082,,,292.761,1,3.182777778,1,,4,,,,1800,,
18,,18,13795.082,14160.059,,,364.977,1,0,,,,,,,,,
19,,19,14160.059,14484.325,,,324.266,1,0.698658537,1,,4,,,,8200,,
20,,20,14484.325,15490.63,,,1006.305,1,0,,,,,,,,,
21,,21,15490.63,16120.891,,,630.261,1,1,1,,4,,,,5729,,
22,,22,16120.891,17104.586,,,983.695,1,0,,,,,,,,,
23,,23,17104.586,17526.73,,,422.144,1,2.728095238,1,,4,,,,2100,,
24,,24,17526.73,17824.187,,,297.457,1,0,,,,,,,,,
25,,25,17824.187,18155.508,,,331.321,1,2.2916,1,,4,,,,2500,,
26,,26,18155.508,18501.969,,,346.461,1,0,,,,,,,,,
27,,27,18501.969,18767.051,,,265.082,1,1.507631579,1,,4,,,,3800,,
28,,28,18767.051,19654.344,,,887.293,1,0,,,,,,,,,
29,,29,19654.344,20221.93,,,567.586,1,0.585,1,,4,,,,9800,,
30,,30,20221.93,22216.662,,,1994.732,1,0,,,,,,,,,
31,,31,22216.662,22969.307,,,752.645,1,1.636857143,1,,4,,,,3500,,
32,,32,22969.307,25088.058,,,2118.751,1,0,,,,,,,,,
33,,33,25088.058,26068.332,,,980.274,1,0.636555556,1,,4,,,,9000,,
34,,34,26068.332,26503.61,,,435.278,1,0,,,,,,,,,
35,,35,26503.61,26885.301,,,381.691,1,6.510227273,1,,4,,,,880,,
36,,36,26885.301,27120.038,,,234.737,1,0,,,,,,,,,
