id,Name,Control_track,Ahead_track,type,Direction,Control_track_location,Control_track_segment,Ahead_track_location,Ahead_track_segment,Speed
4,CP-4,PENN_2,NJ_1,,1,0,0,12378.466,16,89
5,CP-5,NJ_2,PENN_3,nominal,0,12373.671,15,0,0,89
6,CP-6,BOS_3,BOS_1,end,0,15298.325,50,14137.248,41,89
7,CP-7,PROV_3,BOS_1,end,0,16619.093,38,80304.028,158,89
8,CP-8,BOS_1,KIN_1,nominal,0,108904.835,172,0,0,89
9,CP-9,KIN_2,BOS_2,nominal,1,0,0,109058.169,185,89
10,CP-10,KIN_1,BOS_1,,0,1474.965,2,110093.071,175,89
11,CP-11,BOS_1,NHB_1,beg,0,241503.539,6097,0,0,89
12,CP-12,NHB_1,NH_1,end,0,5185.172,10,258.837,1,89
13,CP-13,NH_1,MIL_1,beg,0,10869.47,22,0,0,89
14,CP-14,MIL_1,NH_1,x,0,8396.34,7,17606.424,40,89
15,CP-15,NH_1,GC_1,nominal,0,90404.146,220,0,0,89
16,CP-16,NH_1,MN_2,inf,0,89081.887,212,89110.746,212,89
17,CP-17,MN_2,HGL_1,beg,0,90499.394,222,0,0,89
18,CP-18,HGL_1,PSAR_1,nominal,0,75.237,0,0,0,89
19,CP-19,PSAR_1,HGL_1,nominal,0,369.19,1,409.458,3,89
20,CP-20,HGL_1,STA_PSNY_5,beg,0,30653.716,67,0,0,89
21,CP-21,STA_PSNY_5,NJ_2,nom,0,892.625,22,0,0,89
22,CP-22,PENN_3,FJA_3,nominal,0,118522.803,161,0,0,89
23,CP-23,FJA_3,PENN_3,nominal,0,1480.278,4,120000.643,166,89
24,CP-24,PENN_3,PENN_4,end,0,128848.077,190,126457.643,184,89
25,CP-25,STA_TH_7,SO_3,nominal,0,727.46,3,0,0,89
27,CP-27,BOS_2,CNBY_2,beg,1,239961.413,369,113644.951,63,89
30,CP-30,HGL_1,PSA_3,beg,0,6222.534,13,0,0,89
35,CP-35,PSA_3,HGL_2,beg,0,7872.67,21,13924.753,32,89
37,CP-37,HGL_2,PSAR_2,nominal,1,413.434,3,398.174,1,89
38,CP-38,PSAR_2,HGL_2,nominal,1,0,0,135.033,1,89
65,CP-65,STA_SS_7,BOS_3,beg,0,469.978,5,0,0,89
78,CP-78,STA_SS_7,BOS_1,,0,611.239,7,0,0,89
122,CP-122,ATT_4,BOS_2,,1,0,0,48921.687,78,89
123,CP-123,BOS_1,ATT_3,,0,48948.013,70,0,0,89
124,CP-124,ATT_3,BOS_1,,0,2884.072,2,48948.013,71,89
