id,Name,Control_track,Ahead_track,type,Direction,Ahead_track_location,Ahead_track_segment,Control_track_location,Speed
4,CP-4,PENN_2,NJ_1,,,12092.595,16,0,88
5,CP-5,NJ_2,PENN_3,nominal,1,0,0,12094.865,88
6,CP-6,BOS_3,BOS_1,end,,14137.248,41,14288.572,88
7,CP-7,PROV_3,BOS_1,end,,80304.028,158,14216.95,88
8,CP-8,BOS_1,KIN_1,nominal,,0,0,99372.054,88
9,CP-9,KIN_2,BOS_2,nominal,,108889.58,184,0,88
10,CP-10,KIN_1,BOS_1,,,110093.071,174,1418.184,88
11,CP-11,BOS_1,NHB_1,beg,,0,0,241501.45,88
12,CP-12,NHB_1,NH_1,end,,258.837,1,5069.422,88
13,CP-13,NH_1,MIL_1,beg,,0,0,10148.217,88
14,CP-14,MIL_1,NH_1,x,,17606.424,40,8328.84,88
15,CP-15,NH_1,GC_1,nominal,,0,0,90260.325,88
16,CP-16,NH_1,MN_2,inf,,89141.977,213,89050.785,88
17,CP-17,MN_2,HGL_1,beg,1,0,0,90426.684,88
18,CP-18,HGL_1,PSAR_1,nominal,1,0,0,0,88
19,CP-19,PSAR_1,HGL_1,nominal,1,409.458,3,253.487,88
20,CP-20,HGL_1,STA_PSNY_5,beg,1,0,0,30653.041,88
21,CP-21,STA_PSNY_5,NJ_2,nom,1,0,0,843.065,88
22,CP-22,PENN_3,FJA_3,nominal,1,0,0,118509.522,88
23,CP-23,FJA_3,PENN_3,nominal,1,120000.643,166,1478.077,88
24,CP-24,PENN_3,PENN_4,end,,126457.643,184,128600.91,88
25,CP-25,STA_TH_7,SO_3,nominal,,0,0,672.383,88
27,CP-27,BOS_2,CNBY_2,beg,,113564.191,64,239747.163,88
30,CP-30,HGL_1,PSA_3,beg,,0,0,6030.611,88
35,CP-35,PSA_3,HGL_2,beg,,13924.753,32,7801.527,88
37,CP-37,HGL_2,PSAR_2,nominal,,233.028,1,413.434,88
65,CP-65,STA_SS_7,BOS_3,beg,,0,0,469.97,88
78,CP-78,STA_SS_7,BOS_1,,1,0,0,512.197,88
122,CP-122,ATT_4,BOS_2,,,48340.252,77,0,88
123,CP-123,BOS_1,ATT_3,,,0,0,48366.644,88
124,CP-124,ATT_3,BOS_1,,,48948.013,71,2691.244,88
125,CP-125,BOS_2,ATT_4,,,7256.868,6,55760.366,88
134,CP-134,BOS_1,PROV_7,,,0,0,68433.063,88
161,CP-161,BOS_1,WCK_3,,,0,0,97177.362,88
164,CP-164,CNBY_2,BOS_2,,,112108.263,189,0,88
165,CP-165,BOS_1,CNBY_1,,1,0,0,111866.043,88
208,CP-208,NHB_2,BOS_2,,,241235.779,371,0,88
220,CP-220,BOS_1,BOS_2,,,248530.417,382,248585.626,88
221,CP-221,NH_2,BOS_1,,,248706.898,377,0,88
247,CP-247,MN_2,NHB_2,,,5067.132,9,360.067,88
261,CP-261,MN_2,MID_4,,,238.085,3,1119.259,88
280,CP-280,MN_3,NH_1,,,9369.201,19,11790.642,88
283,CP-283,NH_1,MN_2,,1,9928.189,23,9839.118,88
290,CP-290,NH_1,MIR_1,,,0,0,14123.359,88
291,CP-291,MIR_2,MN_2,,,14201.915,31,0,88
294,CP-294,MIR_2,MN_2,,1,17675.97,41,2911.971,88
295,CP-295,MIR_1,NH_1,,,17595.921,39,3439.333,88
299,CP-299,MN_2,NH_1,,1,18544.671,43,18603.681,88
396,CP-396,NH_1,CCT_3,,1,44341.992,106,63087.406,88
404,CP-404,CCT_3,NH_1,,1,63095.36,155,45063.471,88
415,CP-415,MID_5,CCB_5,,,0,0,7062.328,88
416,CP-416,NH_1,CCB_1,,1,0,0,68138.771,88
417,CP-417,CCB_2,MN_2,,,68213.844,172,0,88
420,CP-420,CCB_1,NH_1,,1,69095.346,173,0,88
