Stop_name,Min_dwell,Max_dwell,Stop_id,Turn_time,Capacity,Stop_loc,East_bound_1,West_bound_1,Is_turn,Length,Track_1,Max_speed
30thSt_10,60,60,187,30,1,190.5,451.073,789.525,1,381,STA_TH_10,1
30thSt_11,60,60,313,30,1,190.5,,,1,381,STA_TH_11,1
30thSt_2,60,60,185,30,1,190.5,,,1,381,STA_TH_2,1
30thSt_3,60,60,311,30,1,190.5,,,1,381,STA_TH_3,1
30thSt_4,60,60,186,30,1,190.5,,,1,381,STA_TH_4,1
30thSt_5,60,60,312,30,1,190.5,,,1,381,STA_TH_5,1
30thSt_6,60,60,179,30,1,190.5,,,1,381,STA_TH_6,1
30thSt_7,60,60,308,30,1,190.5,193.89,613.546,1,381,STA_TH_7,1
30thSt_8,60,60,178,30,1,190.5,1088.783,1426.431,1,381,STA_TH_8,1
30thSt_9,60,60,307,30,1,190.5,,,1,381,STA_TH_9,1
30thSt_A,60,60,302,30,1,94.5,,,1,189,STA_TH_A,1
30thSt_B,60,60,167,30,1,94.5,2818.929,2916.953,1,189,STA_TH_B,1
30thSt_C,60,60,301,30,1,94.5,654.932,801.968,1,189,STA_TH_C,1
30thSt_D,60,60,166,30,1,94.5,,,1,189,ST_TH_D,1
30thSt_E,60,60,184,30,1,94.5,,,1,189,STA_TH_E,1
30thSt_F,60,60,310,30,1,94.5,,,1,189,STA_TH_F,1
Aberdeen_2,60,60,48,30,1,38.5,102415.792,103593.21,1,77,SO_2,1
Aberdeen_4,60,60,45,30,1,38.5,6530.136,7708.043,1,77,ABE_4,1
Attleboro_3,60,60,57,30,1,111,1866.095,2691.244,1,222,ATT_3,1
Attleboro_4,60,60,56,30,1,142.5,2012.98,4744.093,1,285,ATT_4,1
BackBay_1,60,60,338,30,1,158,1098.727,1414.727,1,316,BOS_1,1
BackBay_1,60,60,273,30,1,158,1340.952,1414.727,1,316,BOS_1,1
BackBay_2,60,60,9,30,1,158,1400.594,1580.665,1,316,BOS_2,1
BackBay_3,60,60,8,30,1,158,1478.112,1550.875,1,316,BOS_3,1
BackBay_W,60,60,15,30,1,50,,,1,100,,1
BaltimorePenn_1,60,60,43,30,1,141.5,108815,109098,1,283,MID_1,1
BaltimorePenn_2,60,60,333,30,1,141.5,150808,151232,1,283,SO_2,1
BaltimorePenn_3,60,60,44,30,1,162,,,1,324,SO_3,1
BaltimorePenn_4,60,60,42,30,1,128,,,1,256,,1
BaltimorePenn_5,60,60,332,30,1,128,,,1,256,STA_BAL_5,1
BaltimorePenn_6,60,60,334,30,1,162,,,1,324,STA_BAL_6,1
BotanicalGarden_3,60,60,223,30,1,102,10901.133,11090.906,1,204,GC_3,1
BotanicalGarden_4,60,60,222,30,1,102,10924.678,11115.447,1,204,GC_4,1
BowieState_1,60,60,34,30,1,38,34307.191,34598.596,1,76,SO_1,1
BowieState_3,60,60,33,30,1,38,189027.789,189344.738,1,76,SO_3,1
Branford_1,60,60,91,30,1,35.5,236718.361,237307.781,1,71,BOS_1,1
Branford_2,60,60,90,30,1,31,236711.383,237309.859,1,62,BOS_2,1
Bridesburg_1,60,60,250,30,1,12.5,114138.398,115228.693,1,25,PENN_1,1
Bridesburg_4,60,60,249,30,1,12.5,115242.593,116323.651,1,25,PENN_4,1
Bridgeport_3,60,60,202,30,1,104,8996.561,9130.389,1,208,CCT_3,1
Bridgeport_4,60,60,201,30,1,103,26571.853,26691.803,1,206,MID_4,1
Bristol_1,60,60,122,30,1,33.5,92574.287,92698.347,1,67,PENN_1,1
Bristol_4,60,60,121,30,1,33.5,93689.521,93789.346,1,67,PENN_4,1
BWI_1,60,60,39,30,1,159.5,13171.706,13368.354,1,319,SO_1,1
BWI_3,60,60,38,30,1,159.5,167940.469,168143.727,1,319,SO_3,1
CantonJunction_1,60,60,4,30,1,130,23594.76,24268.499,1,260,BOS_1,1
CantonJunction_2,60,60,1,30,1,83.5,23481.212,23574.806,1,167,BOS_2,1
CantonJunction_3,60,60,3,30,1,121,,,1,242,CAN_3,1
CantonJunction_4,60,60,2,30,1,100,,,1,200,CAN_4,1
Chester_1,60,60,151,30,1,45,,,1,90,CYN_1,1
Chester_4,60,60,150,30,1,48.5,17818.692,18228.151,1,97,DAR_4,1
