Track_num,Section_id,Curve_degree,Curve_direction,Cant,length,Section,Track_id,Max_speed,Start_loc,End_loc,Track_segment
1,1,0,,,161.183,MET,MET_1,,4079.794,4240.977,6
1,2,0,,,1690.19,MET,MET_1,,1049.979,2740.169,1
1,3,0,,,134.64,MET,MET_1,,2740.169,2874.809,2
1,4,0,,,0.506,MET,MET_1,,2874.809,2875.315,3
1,5,0,,,1049.979,MET,MET_1,,0,1049.979,0
2,6,0,,,161.183,MET,MET_2,,4079.791,4240.974,9
3,7,0,,,161.183,MET,MET_3,,4079.791,4240.974,7
4,8,0,,,161.182,MET,MET_4,,4079.791,4240.973,7
2,9,0.56,1,7,662.275,MET,MET_2,,3417.516,4079.791,8
3,10,0.56,1,7,662.275,MET,MET_3,,3417.516,4079.791,6
4,11,0.56,1,7,662.275,MET,MET_4,,3417.516,4079.791,6
2,12,1.14,1,7,891.469,MET,MET_2,,158.51,1049.979,1
2,13,1.14,1,7,158.51,MET,MET_2,,0,158.51,0
3,14,1.14,1,7,746.671,MET,MET_3,,4240.974,4987.645,8
3,15,1.14,1,7,891.469,MET,MET_3,,158.51,1049.979,1
3,16,1.14,1,7,158.51,MET,MET_3,,0,158.51,0
4,17,1.14,1,7,745.923,MET,MET_4,,4240.973,4986.896,8
4,18,1.14,1,7,891.469,MET,MET_4,,158.51,1049.979,1
4,19,1.14,1,7,158.51,MET,MET_4,,0,158.51,0
2,20,1.12,1,7,1719.409,MET,MET_2,,1049.979,2769.388,2
2,21,1.12,1,7,105.926,MET,MET_2,,2769.388,2875.314,3
3,22,1.12,1,7,1825.335,MET,MET_3,,1049.979,2875.314,2
4,23,1.12,1,7,1825.334,MET,MET_4,,1049.979,2875.313,2
2,24,0,,,3.625,MET,MET_2,,2875.314,2878.939,4
2,25,0,,,106.097,MET,MET_2,,2878.939,2985.036,5
2,26,0,,,194.474,MET,MET_2,,2985.036,3179.51,6
2,27,0,,,238.006,MET,MET_2,,3179.51,3417.516,7
3,28,0,,,215.48,MET,MET_3,,2875.314,3090.794,3
3,29,0,,,90.885,MET,MET_3,,3090.794,3181.679,4
3,30,0,,,235.837,MET,MET_3,,3181.679,3417.516,5
4,31,0,,,49.602,MET,MET_4,,2875.313,2924.915,3
4,32,0,,,359.074,MET,MET_4,,2924.915,3283.989,4
4,33,0,,,133.527,MET,MET_4,,3283.989,3417.516,5
1,34,0,,,542.203,MET,MET_1,,2875.315,3417.518,4
1,35,0,,,662.276,MET,MET_1,,3417.518,4079.794,5
2,36,1.14,1,7,60.463,MET,MET_2,,4927.264,4987.727,11
2,37,1.14,1,7,686.29,MET,MET_2,,4240.974,4927.264,10
1,38,0,,,58.891,MET,MET_1,,4927.267,4986.158,8
1,39,0,,,686.29,MET,MET_1,,4240.977,4927.267,7
,40,0,,,503.754,CYN,CYN_,,,,
,41,0,,,53.864,STA_TH,STA_TH_,27.77777778,,,
X,42,0,,,87.784,STA_TH,STA_TH_X,27.77777778,,,
X,43,0,,,57.793,STA_TH,STA_TH_X,27.77777778,,,
X,44,0,,,115.182,STA_CH,STA_CH_X,27.77777778,,,
X,45,0,,,5.538,STA_TH,STA_TH_X,27.77777778,,,
X,46,0,,,64.157,STA_TH,STA_TH_X,27.77777778,,,
X,47,0,,,41,STA_CH,STA_CH_X,27.77777778,,,
1,48,0,,,1871.69,CYN,CYN_1,,,,
X,49,0,,,88.729,X,X_X,,,,
X,50,0,,,101.15,X,X_X,,,,
X,51,0,,,101.568,X,X_X,,,,
,52,0,,,39.487,CYN,CYN_,,,,
7,53,0,,,36.687,WA,WA_7,,1627.799,1664.486,6
7,54,0,,,419.677,WA,WA_7,,2375.266,2794.943,12
,55,0,,,103.766,X,X_,,,,
X,56,0,,,114.942,X,X_X,,,,
X,57,0,,,27.062,X,X_X,,,,
X,58,0,,,27.259,X,X_X,,,,
X,59,0,,,0.648,X,X_X,,,,
7,60,0,,,114.204,PROV,PROV_7,,0,114.204,0
X,61,0,,,108.982,X,X_X,,,,
X,62,0,,,111.252,X,X_X,,,,
X,63,0,,,85.106,X,X_X,,,,
4,64,0,,,983.984,DAR,DAR_4,,0,983.984,0
,65,0,,,92.872,STA_TH,STA_TH_,27.77777778,,,
X,66,0,,,88.521,STA_CH,STA_CH_X,27.77777778,,,
7,67,0,,,44.395,WA,WA_7,,1854.376,1898.771,9
X,68,0,,,88.028,X,X_X,,,,
X,69,0,,,77.749,X,X_X,,,,
X,70,0,,,58.422,X,X_X,,,,
A,71,0,,,255.375,STA_TH,STA_TH_A,27.77777778,,,
X,72,0,,,59.521,STA_TH,STA_TH_X,27.77777778,,,
X,73,0,,,46.548,X,X_X,,,,
X,74,0,,,54.414,STA_TH,STA_TH_X,27.77777778,,,
X,75,0,,,104.411,X,X_X,,,,
1,76,0,,,218.601,CYN,CYN_1,,,,
X,77,0,,,104.611,X,X_X,,,,
7,78,0,,,126.803,WA,WA_7,,1727.573,1854.376,8
7,79,0,,,63.087,WA,WA_7,,1664.486,1727.573,7
X,80,0,,,106.707,X,X_X,,,,
5,81,0,,,64.692,SCH,SCH_5,,0,64.692,0
5,82,0,,,751.418,SCH,SCH_5,,64.692,816.11,1
,83,0,,,30.151,CYN,CYN_,,,,
,84,0,,,9.113,CYN,CYN_,,,,
X,85,0,,,16.866,X,X_X,,,,
X,86,0,,,21.93,X,X_X,,,,
X,87,0,,,17.637,X,X_X,,,,
X,88,0,,,15.714,X,X_X,,,,
X,89,0,,,77.359,X,X_X,,,,
X,90,0,,,111.308,X,X_X,,,,
X,91,0,,,196.748,STA_TH,STA_TH_X,27.77777778,,,
X,92,0,,,199.917,X,X_X,,,,
X,93,0,,,85.142,X,X_X,,,,
