Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
1,1,0,,,,161.183,MET,MET_1,4079.794,4240.977,6
1,2,0,,,,1690.19,MET,MET_1,1049.979,2740.169,1
1,3,0,,,,134.64,MET,MET_1,2740.169,2874.809,2
1,4,0,,,,0.506,MET,MET_1,2874.809,2875.315,3
1,5,0,,,,1049.979,MET,MET_1,0,1049.979,0
2,6,0,,,,161.183,MET,MET_2,4079.791,4240.974,9
3,7,0,,,,161.183,MET,MET_3,4079.791,4240.974,7
4,8,0,,,,161.182,MET,MET_4,4079.791,4240.973,7
2,9,0.56,1,7,,662.275,MET,MET_2,3417.516,4079.791,8
3,10,0.56,1,7,,662.275,MET,MET_3,3417.516,4079.791,6
4,11,0.56,1,7,,662.275,MET,MET_4,3417.516,4079.791,6
2,12,1.14,1,7,,891.469,MET,MET_2,158.51,1049.979,1
2,13,1.14,1,7,,158.51,MET,MET_2,0,158.51,0
3,14,1.14,1,7,,746.671,MET,MET_3,4240.974,4987.645,8
3,15,1.14,1,7,,891.469,MET,MET_3,158.51,1049.979,1
3,16,1.14,1,7,,158.51,MET,MET_3,0,158.51,0
4,17,1.14,1,7,,745.923,MET,MET_4,4240.973,4986.896,8
4,18,1.14,1,7,,891.469,MET,MET_4,158.51,1049.979,1
4,19,1.14,1,7,,158.51,MET,MET_4,0,158.51,0
2,20,1.12,1,7,,1719.409,MET,MET_2,1049.979,2769.388,2
2,21,1.12,1,7,,105.926,MET,MET_2,2769.388,2875.314,3
3,22,1.12,1,7,,1825.335,MET,MET_3,1049.979,2875.314,2
4,23,1.12,1,7,,1825.334,MET,MET_4,1049.979,2875.313,2
2,24,0,,,,3.625,MET,MET_2,2875.314,2878.939,4
2,25,0,,,,106.097,MET,MET_2,2878.939,2985.036,5
2,26,0,,,,194.474,MET,MET_2,2985.036,3179.51,6
2,27,0,,,,238.006,MET,MET_2,3179.51,3417.516,7
3,28,0,,,,215.48,MET,MET_3,2875.314,3090.794,3
3,29,0,,,,90.885,MET,MET_3,3090.794,3181.679,4
3,30,0,,,,235.837,MET,MET_3,3181.679,3417.516,5
4,31,0,,,,49.602,MET,MET_4,2875.313,2924.915,3
4,32,0,,,,359.074,MET,MET_4,2924.915,3283.989,4
4,33,0,,,,133.527,MET,MET_4,3283.989,3417.516,5
1,34,0,,,,542.203,MET,MET_1,2875.315,3417.518,4
1,35,0,,,,662.276,MET,MET_1,3417.518,4079.794,5
2,36,1.14,1,7,,60.463,MET,MET_2,4927.264,4987.727,11
2,37,1.14,1,7,,686.29,MET,MET_2,4240.974,4927.264,10
1,38,0,,,,58.891,MET,MET_1,4927.267,4986.158,8
1,39,0,,,,686.29,MET,MET_1,4240.977,4927.267,7
7,53,0,,,,36.687,WA,WA_7,1627.799,1664.486,6
7,54,0,,,,419.677,WA,WA_7,2375.266,2794.943,12
7,60,0,,,,114.204,PROV,PROV_7,0,114.204,0
4,64,0,,,,983.984,DAR,DAR_4,0,983.984,0
7,67,0,,,,44.395,WA,WA_7,1854.376,1898.771,9
7,78,0,,,,126.803,WA,WA_7,1727.573,1854.376,8
7,79,0,,,,63.087,WA,WA_7,1664.486,1727.573,7
5,81,0,,,,64.692,SCH,SCH_5,0,64.692,0
5,82,0,,,,751.418,SCH,SCH_5,64.692,816.11,1
7,133,0,,,,701.394,WA,WA_7,2794.943,3496.337,13
1,134,0,,,,110.87,BEL,BEL_1,4770.519,4881.389,8
3,187,0,,,,55.424,LON,LON_3,0,55.424,0
5,198,0,,,,576.434,SCH,SCH_5,1626.891,2203.325,4
5,226,0,,,,162.798,SCH,SCH_5,1464.093,1626.891,3
7,228,0,,,,439.087,WA,WA_7,1188.712,1627.799,5
7,229,0,,,,415.497,WA,WA_7,1959.769,2375.266,11
7,230,0,,,,60.998,WA,WA_7,1898.771,1959.769,10
4,231,0,,,,386.366,DAR,DAR_4,1896.693,2283.059,4
4,232,0,,,,132.329,DAR,DAR_4,1764.364,1896.693,3
4,233,0,,,,30.871,DAR,DAR_4,1733.493,1764.364,2
1,251,0,,,,403.286,WIL,WIL_1,5094.407,5497.693,10
4,270,0,,,,749.509,DAR,DAR_4,983.984,1733.493,1
5,271,0,,,,647.983,SCH,SCH_5,816.11,1464.093,2
1,272,0,,,,62.098,WIL,WIL_1,5032.309,5094.407,9
2,273,4.37,1,7,,417.272,NHB,NHB_2,4649.86,5067.132,8
2,274,1.62,1,7,,752.261,NHB,NHB_2,3427.795,4180.056,6
1,275,4.37,1,7,,417.272,NHB,NHB_1,4652.15,5069.422,9
1,276,1.62,1,7,,752.261,NHB,NHB_1,3429.009,4181.27,7
1,277,0,,,,470.88,NHB,NHB_1,4181.27,4652.15,8
2,278,0,,,,469.804,NHB,NHB_2,4180.056,4649.86,7
1,279,0,,,,392.258,NHB,NHB_1,3036.751,3429.009,6
2,280,0,,,,390.421,NHB,NHB_2,3037.374,3427.795,5
2,281,0,,,,366.617,NHB,NHB_2,2670.757,3037.374,4
1,282,0,,,,367.529,NHB,NHB_1,2669.222,3036.751,5
2,283,1.62,1,7,,395.324,NHB,NHB_2,2275.433,2670.757,3
1,284,1.62,1,7,,395.324,NHB,NHB_1,2273.898,2669.222,4
2,285,0,,,,1489.771,NHB,NHB_2,785.662,2275.433,2
1,286,0,,,,1470.417,NHB,NHB_1,803.481,2273.898,3
2,287,0.87,1,7,,420.813,NHB,NHB_2,364.849,785.662,1
1,288,0.87,1,7,,420.813,NHB,NHB_1,363.179,783.992,1
1,289,0,,,,19.489,NHB,NHB_1,783.992,803.481,2
1,290,0,,,,363.179,NHB,NHB_1,0,363.179,0
