Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
0,,0,0,4.141,,,4.141,1,0,,,,,,,,,
1,,1,4.141,1707.479,,,1703.338,1,0,,,,,,,,,
2,,2,1707.479,1988.636,,,281.157,1,1.25,1,,7,,,,4583.2,,
3,,3,1988.636,3411.466,,,1422.83,1,0,,,,,,,,,
4,,4,3411.466,3744.212,,,332.746,1,2,1,,7,,,,2864.5,,
5,,5,3744.212,4338.763,,,594.551,1,0,,,,,,,,,
6,,6,4338.763,5190.346,,,851.583,1,1,1,,7,,,,5729,,
7,,7,5190.346,8274.066,,,3083.72,1,0,,,,,,,0,,
8,,8,8274.066,8543.398,,,269.332,1,0.5,1,,7,,,,11458,,
9,,9,8543.398,10043.669,,,1500.271,1,0,,,,,,,,,
10,,10,10043.669,10102.61,,,58.941,1,0,,,,,,,,,
11,,11,10102.61,11869.44,,,1766.83,1,1.212486772,1,,7,,,,4725,,
12,,12,11869.44,12861.19,,,991.75,1,0,,,,,,,,,
13,,13,12861.19,15407.585,,,2546.395,1,1.212486772,1,,7,,,,4725,,
14,,14,15407.585,16066.822,,,659.237,1,0,,,,,,,,,
15,,15,16066.822,17946.885,,,1880.063,1,1.212486772,1,,7,,,,4725,,
16,,16,17946.885,18146.897,,,200.012,1,0,,,,,,,,,
17,,17,18146.897,18440.009,,,293.112,1,0,,,,,,,,,
18,,18,18440.009,18575.896,,,135.887,1,0.5,1,,7,,,,11458,,
19,,19,18575.896,18681.251,,,105.355,1,0,,,,,,,,,
20,,20,18681.251,18762.928,,,81.677,1,0.5,1,,7,,,,11458,,
21,,21,18762.928,19000.026,,,237.098,1,0,,,,,,,,,
22,,22,19000.026,19106.618,,,106.592,1,0.75,1,,7,,,,7638.666667,,
23,,23,19106.618,19134.768,,,28.15,1,0,,,,,,,,,
24,,24,19134.768,19255.739,,,120.971,1,0.86,1,,7,,,,6661.627907,,
25,,25,19255.739,20073.507,,,817.768,1,0,,,,,,,,,
26,,26,20073.507,20495.725,,,422.218,1,2.05,1,,7,,,,2794.634146,,
27,,27,20495.725,21230.22,,,734.495,1,0,,,,,,,,,
28,,28,21230.22,21453.229,,,223.009,1,0.37,1,,7,,,,15483.78378,,
29,,29,21453.229,22711.186,,,1257.957,1,0,,,,,,,,,
30,,30,22711.186,22905.594,,,194.408,1,1.75,1,,7,,,,3273.714286,,
31,,31,22905.594,23217.443,,,311.849,1,0.727492063,1,,7,,,,7875,,
32,,32,23217.443,24445.635,,,1228.192,1,0,,,,,,,,,
33,,33,24445.635,24758.743,,,313.108,1,0,,,,,,,,,
34,,34,24758.743,26438.28,,,1679.537,1,0,,,,,,,,,
35,,35,26438.28,26817.289,,,379.009,1,0.727492063,1,,7,,,,7875,,
36,,36,26817.289,27281.561,,,464.272,1,0,,,,,,,,,
37,,37,27281.561,27454.748,,,173.187,1,4.483,1,,7,,,,1277.93888,,
38,,38,27454.748,29743.012,,,2288.264,1,0,,,,,,,,,
39,,39,29743.012,31177.201,,,1434.189,1,0.727492063,1,,7,,,,7875,,
40,,40,31177.201,32732.694,,,1555.493,1,0,,,,,,,,,
41,,41,32732.694,32997.55,,,264.856,1,0,,,,,,,,,
42,,42,32997.55,33784.119,,,786.569,1,0.727492063,1,,7,,,,7875,,
43,,43,33784.119,36145.14,,,2361.021,1,0,,,,,,,,,
44,,44,36145.14,36587.487,,,442.347,1,0.727492063,1,,7,,,,7875,,
45,,45,36587.487,38352.712,,,1765.225,1,0,,,,,,,,,
46,,46,38352.712,38838.192,,,485.48,1,1,1,,7,,,,5729,,
47,,47,38838.192,40174.524,,,1336.332,1,0,,,,,,,,,
48,,48,40174.524,40978.558,,,804.034,1,1.45,1,,7,,,,3951.034483,,
49,,49,40978.558,41753.888,,,775.33,1,0,,,,,,,,,
50,,50,41753.888,42291.042,,,537.154,1,1.38,1,,7,,,,4151.449275,,
51,,51,42291.042,43260.035,,,968.993,1,0,,,,,,,,,
52,,52,43260.035,43480.21,,,220.175,1,0.93,1,,7,,,,6160.215054,,
53,,53,43480.21,44817.038,,,1336.828,1,0,,,,,,,,,
54,,54,44817.038,45048.732,,,231.694,1,1.07,1,,7,,,,5354.205607,,
55,,55,45048.732,45699.401,,,650.669,1,0,,,,,,,,,
56,,56,45699.401,46180.158,,,480.757,1,0.727492063,1,,7,,,,7875,,
57,,57,46180.158,47576.866,,,1396.708,1,0,,,,,,,,,
