Vehicle_id,Pullin_time,,Pullout_time,If_turnaround,Vehicle_type,Route_sequence,,,,
1,480,540,36000,0,3,15,,10,,
2,1080,1140,36000,0,3,15,,,,
3,1680,1740,36000,0,3,15,IC,,,
4,2280,2340,36000,0,3,15,,,,
5,2880,2940,36000,0,3,15,,,,
6,3480,3540,36000,0,3,15,,,,
7,4080,4140,36000,0,3,15,,,,
8,4680,4740,36000,0,3,15,,,,
9,1100,,36000,0,1,13,,,,
10,1700,,36000,0,1,13,NHL GC,,,
11,2300,,36000,0,1,13,,,,
12,2900,,36000,0,1,13,,,,
13,3500,,36000,0,1,13,,,,
14,4100,,36000,0,1,13,,,,
15,3220,3400,36000,0,1,3,,,,
16,3820,4000,36000,0,1,3,NHL GC,600,,
17,4420,4600,36000,0,1,3,,,,
18,5020,5200,36000,0,1,3,,,,
19,5620,5800,36000,0,1,3,,,,PSA_local
21,550,520,36000,0,1,6,,,,GC_local
22,1150,1120,36000,0,1,6,,,,Nhexpress
23,1750,1720,36000,0,1,6,,,,
24,2350,2320,36000,0,1,6,,,,
25,2950,2920,36000,0,1,6,,,,
26,3550,3520,36000,0,1,6,NHL PS,,,
27,4150,4120,36000,0,1,6,,,,
28,4750,4720,36000,0,1,6,,,,
29,5350,5320,36000,0,1,6,,,,
45,120,,36000,0,1,21,NJCL 10 min freq,,,
46,540,,36000,0,1,21,,,,
47,1140,,36000,0,1,21,,,,
48,1740,,36000,0,1,21,,,,
49,2340,,36000,0,1,21,,,,
50,2940,,36000,0,1,21,,,,
51,3540,,36000,0,1,21,,,,
52,4140,,36000,0,1,21,,,,
53,4740,,36000,0,1,21,,,,
54,5340,,36000,0,1,21,,,,
55,5940,,36000,0,1,21,,,,
65,240,360,36000,0,1,18,,,,
66,840,960,36000,0,1,18,,,,
67,1440,1560,36000,0,1,18,,,,
68,2040,2160,36000,0,1,18,,,,
69,2640,2760,36000,0,1,18,,,,
70,3240,3360,36000,0,1,18,,,,
71,3840,3960,36000,0,1,18,,,,
72,4440,4560,36000,0,1,18,,,,
73,5040,5160,36000,0,1,18,,,,
74,420,540,36000,0,1,20,,,,
75,1020,1140,36000,0,1,20,,,,
76,1620,1740,36000,0,1,20,,,,
77,2220,2340,36000,0,1,20,,,,
78,2820,2940,36000,0,1,20,,,,
79,3420,3540,36000,0,1,20,,,,
80,4020,4140,36000,0,1,20,,,,
81,4620,4740,36000,0,1,20,,,,
82,5220,5340,36000,0,1,20,,,,
83,5820,5940,36000,0,1,20,,,,
84,1400,1700,36000,0,1,13,,,,
85,2000,2300,36000,0,1,13,,,,
86,2600,2900,36000,0,1,13,,,,
87,3200,3500,36000,0,1,13,,,,
88,3800,4100,36000,0,1,13,,,,
89,4400,4700,36000,0,1,13,,,,
