Route_id,Event_list,Route_desc,Direc,Pair_id,Express_service,Vehicle_type,Route_type
1,"BS-1,SS-1,SS-36",Run_Express,0,,0,1,CR
2,"BS-1,SS-1,SS-2,SS-3,SS-4,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13,SS-14,SS-15,SS-16,SS-26,SS-35,SS-36",LocalFar_GC,0,,0,1,CR
3,"BS-1-87,SS-16,SS-17,SS-18,SS-19,SS-20,SS-21,SS-22,SS-23,SS-24,SS-25,SS-26,SS-27,SS-28,CP-8,CP-5,SS-32,CP-6,SS-35,SS-36",LocalClose_GC,0,,0,1,CR
4,"BS-1,SS-1,SS-5,SS-16,SS-36",Express_GC,0,,0,1,CR
5,"BS-1,SS-1,SS-5,SS-16,CP-1,SS-41",Express_PS,0,,0,1,CR
6,"BS-1-87,SS-16,SS-17,SS-18,SS-19,SS-20,SS-21,SS-22,SS-23,SS-24,SS-25,SS-26,CP-1,SS-37,SS-38,SS-39,SS-40,SS-41",Local_PS,0,,0,1,CR
7,"BS-3,SS-42,SS-43,CP-2,SS-41",Acela_PS,0,,0,3,IC
8,"BS-1-153,SS-35,SS-36",Hudson_GC,0,,0,1,CR
9,"BS-1-138,SS-29,SS-30,SS-31,SS-32,SS-33,SS-34,SS-35,SS-36",Harlem_GC,0,,0,1,CR
10,"BS-1-138,SS-35,SS-36",Harlem_X,0,,0,1,CR
11,"BS-1,SS-1,SS-26",Direct_CR,0,,0,1,CR
12,"BS-1,SS-1,SS-2,SS-3,SS-4,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13,SS-14,SS-15,SS-16,CP-4,CP-3,SS-26,SS-35,SS-36",LocalFar_GC,0,,0,1,CR
13,"BS-1,SS-1,SS-2,SS-3,SS-4,SS-5,SS-6,SS-7,SS-8,SS-9,SS-10,SS-11,SS-12,SS-13,SS-14,SS-15,SS-16,CP-4,SS-47,SS-44,SS-45",LocalFar_GC,0,,0,1,CR
14,"BS-3-616,SS-46,CP-4,SS-47,SS-44,SS-45",Xpress_CR_GC,0,,0,1,CR
15,"BS-3,SS-42,SS-43,CP-2,SS-41,SS-50,SS-56,SS-74,SS-78,SS-94,SS-97",Acela_full,0,,0,3,IC
16,"BS-2-556,SS-48,SS-50,SS-74",Intercity,0,,0,3,IC
17,"BS-2-314,SS-63,SS-64,SS-65,SS-66,SS-67,SS-68,SS-69,SS-70,SS-71,SS-72,SS-73,SS-74",SEPTA_Trenton,0,,0,1,CR
18,"BS-2-556,SS-48,SS-49,SS-50,SS-51,SS-52,SS-53,SS-54,SS-55,SS-56,SS-57,SS-58,SS-59",Local_NJ,0,,0,1,CR
19,"BS-2-556,SS-48,SS-50,SS-74",Intercity,0,,0,3,IC
20,"BS-2-556,SS-48,SS-49,SS-50,SS-56,SS-59,SS-60,SS-61,SS-62,SS-63",Xpress_Commuter,0,,0,1,CR
21,"BS-2-556,SS-48,SS-49,SS-50,SS-51,SS-52,SS-53,SS-54,SS-55",Overlap_NJT,0,,0,1,CR
22,"BS-2,SS-78,SS-97",Direct,0,,0,3,CR
23,"BS-2,SS-78,SS-94,SS-97",Intercity,0,,0,3,IC
24,"BS-2,SS-78,SS-79,SS-80,SS-81,SS-82,SS-83,SS-84,SS-85,SS-86,SS-87,SS-88,SS-89,SS-90,SS-91,SS-92,SS-93,SS-94,SS-95,SS-96",Local,0,,0,1,CR
