Vehicle_id,Pullin_time,,Pullout_time,If_turnaround,Vehicle_type,Route_sequence,
1,540,660,36000,0,1,15,
2,1140,1260,36000,0,1,15,
3,1740,1860,36000,0,1,15,IC
4,2340,2460,36000,0,1,15,
5,2940,3060,36000,0,1,15,
6,3540,3660,36000,0,1,15,
7,4140,4260,36000,0,1,15,
8,4740,4860,36000,0,1,15,
9,1100,,36000,0,2,13,
10,1700,,36000,0,2,13,NHL GC
11,2300,,36000,0,2,13,
12,2900,,36000,0,2,13,
13,3500,,36000,0,2,13,
14,4100,,36000,0,2,13,
15,3040,,36000,0,2,3,
16,3640,,36000,0,2,3,NHL GC
17,4240,,36000,0,2,3,
18,4840,,36000,0,2,3,
19,5440,,36000,0,2,3,
20,400,340,36000,0,2,6,
21,1000,940,36000,0,2,6,
22,1600,1540,36000,0,2,6,
23,2200,2140,36000,0,2,6,
24,2800,2740,36000,0,2,6,
25,3400,3340,36000,0,2,6,
26,4000,3940,36000,0,2,6,NHL PS
27,4600,4540,36000,0,2,6,
28,5200,5140,36000,0,2,6,
29,5800,5740,36000,0,2,6,
30,3180,,36000,0,2,14,NHL GC
31,3780,,36000,0,2,14,
32,4380,,36000,0,2,14,
33,4980,,36000,0,2,14,
34,5580,,36000,0,2,14,
35,5020,,36000,0,2,9,
36,5260,,36000,0,2,9,
37,5620,,36000,0,2,9,
38,5860,,36000,0,2,9,
39,6220,,36000,0,2,9,
40,6460,,36000,0,2,9,
41,6820,,36000,0,2,9,
42,7060,,36000,0,2,9,
43,7420,,36000,0,2,9,
44,7660,,36000,0,2,9,
45,0,,36000,0,2,21,NJCL 10 min freq
46,420,,36000,0,2,21,
47,1020,,36000,0,2,21,
48,1620,,36000,0,2,21,
49,2220,,36000,0,2,21,
50,2820,,36000,0,2,21,
51,3420,,36000,0,2,21,
52,4020,,36000,0,2,21,
53,4620,,36000,0,2,21,
54,5220,,36000,0,2,21,
55,5820,,36000,0,2,21,
56,0,,36000,0,2,17,
57,1200,,36000,0,2,17,
58,2400,,36000,0,2,17,
59,3600,,36000,0,2,17,
60,4800,,36000,0,2,17,
61,6000,,36000,0,2,17,
62,7200,,36000,0,2,17,
63,8400,,36000,0,2,17,
64,9600,,36000,0,2,17,
65,120,,36000,0,2,18,
66,720,,36000,0,2,18,
67,1320,,36000,0,2,18,
68,1920,,36000,0,2,18,
69,2520,,36000,0,2,18,
70,3120,,36000,0,2,18,
71,3720,,36000,0,2,18,
72,4320,,36000,0,2,18,
73,4920,,36000,0,2,18,
74,300,,36000,0,2,20,
75,900,,36000,0,2,20,
76,1500,,36000,0,2,20,
77,2100,,36000,0,2,20,
78,2700,,36000,0,2,20,
79,3300,,36000,0,2,20,
80,3900,,36000,0,2,20,
81,4500,,36000,0,2,20,
82,5100,,36000,0,2,20,
83,5700,,36000,0,2,20,
