Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
1,Penn_1,,100,0,30,1,100,50,0,100,,,1,1,1
18,Seacaucus_1,,100,30,30,1,100,50,8600,8700,,,1,1,1
2,Newark_1,,100,30,30,1,50,25,16700,16800,,,1,1,1
19,NewarkAirport_1,,100,30,30,1,100,50,20900,21000,,,1,1,1
20,NorthElizabeth_1,,100,30,30,1,100,50,23800,23900,,,1,1,1
21,Elizabeth_1,,100,30,30,1,100,50,25400,25600,,,1,1,1
22,Linden_1,,100,30,30,1,30,15,30500,30600,,,1,1,1
23,Rahway_1,,100,30,30,1,100,50,33900,34000,,,1,1,1
24,Metropark_1,,100,30,30,1,100,50,39500,39600,,,1,1,1
25,Metuchen_1,,100,30,30,1,100,50,43800,43900,,,1,1,1
26,Edison_1,,100,30,30,1,100,50,48800,48900,,,1,1,1
27,NewBrunswick_1,,100,30,30,1,100,50,52600,52700,,,1,1,1
28,JerseyAvenue_1,,100,30,30,1,100,50,55400,55500,,,1,1,1
29,Princeton_1,,100,30,30,1,100,50,77900,78000,,,1,1,1
30,Hamilton_1,,100,30,30,1,100,50,87500,87600,,,1,1,1
3,Trenton_1,,100,30,30,1,100,50,92000,92100,,,1,1,1
5,LevittTully_1,,100,30,30,1,100,50,103000,103100,,,1,1,1
6,Bristol_1,,100,30,30,1,100,50,108000,108100,,,1,1,1
7,Croydon_1,,100,30,30,1,100,50,113000,113100,,,1,1,1
8,Eddington_1,,100,30,30,1,100,50,116000,116100,,,1,1,1
9,CornwellsHeights_1,,100,30,30,1,100,50,117500,117600,,,1,1,1
10,Torresdale_1,,100,30,30,1,100,50,120900,121000,,,1,1,1
11,Holmesburg_1,,100,30,30,1,100,50,125000,125100,,,1,1,1
12,Tacony_1,,100,30,30,1,100,50,126700,126800,,,1,1,1
13,Bridesburg_1,,100,30,30,1,100,50,129600,129700,,,1,1,1
14,NorthPhil_1,,100,30,30,1,100,50,137550,137650,,,1,1,1
4,30thSt_1,,100,30,30,1,100,50,141000,141100,,,1,1,1
15,Suburban_1,,100,30,30,1,100,50,,,,,1,1,1
16,Jefferson_1,,100,30,30,1,100,50,,,,,1,1,1
17,Temple_1,,100,30,30,1,100,50,,,,,1,1,1
