Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
0,0,0,0,435.553,0,435.553,435.553,1,1,1,,7,,,,5729,,
1,1,1,435.553,4486.236,435.553,4486.236,4050.683,1,0,,,,,,,,,
1,1,1,4486.236,5926.16,4486.236,5926.16,1439.924,1,0,,,,,,,,,
2,2,2,5926.16,6936.923,5926.16,6936.923,1010.763,1,2,1,,7,,,,2864.5,,
3,3,3,6936.923,9690.669,6936.923,9690.669,2753.746,1,0,,,,,,,,,
4,4,4,9690.669,10736.379,9690.669,10736.379,1045.71,1,0.5,1,,7,,,,11458,,
5,5,5,10736.379,13058.211,10736.379,13058.211,2321.832,1,0,,,,,,,,,
6,6,6,13058.211,13970.341,13058.211,13970.341,912.13,1,0.55,1,,7,,,,10416.36364,,
7,7,7,13970.341,14255.965,13970.341,14255.965,285.624,1,0.55,1,,7,,,,10416.36364,,
8,8,8,14255.965,15923.254,14255.965,15923.254,1667.289,1,0,,,,,,,,,
9,9,9,15923.254,16297.444,15923.254,16297.444,374.19,1,3.35,1,,7,,,,1710.149254,,
10,10,10,16297.444,16450.445,16297.444,16450.445,153.001,1,0,,,,,,,,,
11,11,11,16450.445,16741.886,16450.445,16741.886,291.441,1,0.67,1,,7,,,,8550.746269,,
12,12,12,16741.886,16832.3,16741.886,16832.3,90.414,1,0,,,,,,,,,
13,13,13,16832.3,16986.83,16832.3,16986.83,154.53,1,0.67,1,,7,,,,8550.746269,,
14,14,14,16986.83,17091.481,16986.83,17091.481,104.651,1,0,,,,,,,,,
15,15,15,17091.481,17520.464,17091.481,17520.464,428.983,1,1.5,1,,7,,,,3819.333333,,
16,16,16,17520.464,17595.124,17520.464,17595.124,74.66,1,0,,,,,,,,,
17,17,17,17595.124,17763.002,17595.124,17763.002,167.878,1,0.67,1,,7,,,,8550.746269,,
18,18,18,17763.002,18193.026,17763.002,18193.026,430.024,1,0,,,,,,,,,
19,19,19,18193.026,18335.278,18193.026,18335.278,142.252,1,0,,,,,,,,,
20,20,20,18335.278,19749.881,18335.278,19749.881,1414.603,1,0,,,,,,,,,
21,21,21,19749.881,20261.506,19749.881,20261.506,511.625,1,1.5,1,,7,,,,3819.333333,,
22,22,22,20261.506,23262.47,20261.506,23262.47,3000.964,1,0,,,,,,,,,
23,23,23,23262.47,23633.942,23262.47,23633.942,371.472,1,0.37,1,,7,,,,15483.78378,,
24,24,24,23633.942,24190.859,23633.942,24190.859,556.917,1,0,,,,,,,,,
25,25,25,24190.859,24499.407,24190.859,24499.407,308.548,1,0.07,1,,7,,,,81842.85714,,
26,26,26,24499.407,25979.801,24499.407,25979.801,1480.394,1,0,,,,,,,,,
27,27,27,25979.801,26303.677,25979.801,26303.677,323.876,1,2,1,,7,,,,2864.5,,
28,28,28,26303.677,26383.352,26303.677,26383.352,79.675,1,0,,,,,,,,,
29,29,29,26383.352,27080.602,26383.352,27080.602,697.25,1,2.35,1,,7,,,,2437.87234,,
30,30,30,27080.602,32365.304,27080.602,32365.304,5284.702,1,0,,,,,,,,,
31,31,31,32365.304,32428.888,32365.304,32428.888,63.584,1,0.5,1,,7,,,,11458,,
