Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
0,0,0,0,4050.683,0,4050.683,4050.683,1,0,,,0,,,,,,
1,1,1,4050.683,5061.446,4050.683,5061.446,1010.763,1,2,1,,7,,,,2864.5,,
2,2,2,5061.446,7815.192,5061.446,7815.192,2753.746,1,0,,,0,,,,,,
3,3,3,7815.192,8860.902,7815.192,8860.902,1045.71,1,0.5,1,,7,,,,11458,,
4,4,4,8860.902,11182.734,8860.902,11182.734,2321.832,1,0,,,0,,,,,,
5,5,5,11182.734,12094.864,11182.734,12094.864,912.13,1,0.55,1,,7,,,,10416.36364,,
6,6,6,12094.864,12380.488,12094.864,12380.488,285.624,1,0.55,1,,7,,,,10416.36364,,
7,7,7,12380.488,14047.777,12380.488,14047.777,1667.289,1,0,,,0,,,,,,
8,8,8,14047.777,14421.967,14047.777,14421.967,374.19,1,3.35,1,,7,,,,1710.149254,,
9,9,9,14421.967,14574.968,14421.967,14574.968,153.001,1,0,,,0,,,,,,
10,10,10,14574.968,14866.409,14574.968,14866.409,291.441,1,0.67,1,,7,,,,8550.746269,,
11,11,11,14866.409,14956.823,14866.409,14956.823,90.414,1,0,,,0,,,,,,
12,12,12,14956.823,15111.353,14956.823,15111.353,154.53,1,0.67,1,,7,,,,8550.746269,,
13,13,13,15111.353,15216.004,15111.353,15216.004,104.651,1,0,,,0,,,,,,
14,14,14,15216.004,15644.987,15216.004,15644.987,428.983,1,1.5,1,,7,,,,3819.333333,,
15,15,15,15644.987,15719.647,15644.987,15719.647,74.66,1,0,,,0,,,,,,
16,16,16,15719.647,15887.525,15719.647,15887.525,167.878,1,0.67,1,,7,,,,8550.746269,,
17,17,17,15887.525,16317.549,15887.525,16317.549,430.024,1,0,,,0,,,,,,
18,18,18,16317.549,16459.801,16317.549,16459.801,142.252,1,0,,,0,,,,,,
19,19,19,16459.801,17874.404,16459.801,17874.404,1414.603,1,0,,,0,,,,,,
20,20,20,17874.404,18386.029,17874.404,18386.029,511.625,1,1.5,1,,7,,,,3819.333333,,
21,21,21,18386.029,21386.993,18386.029,21386.993,3000.964,1,0,,,0,,,,,,
22,22,22,21386.993,21758.465,21386.993,21758.465,371.472,1,0.37,1,,7,,,,15483.78378,,
23,23,23,21758.465,22315.382,21758.465,22315.382,556.917,1,0,,,0,,,,,,
24,24,24,22315.382,22623.93,22315.382,22623.93,308.548,1,0.07,1,,7,,,,81842.85714,,
25,25,25,22623.93,24104.324,22623.93,24104.324,1480.394,1,0,,,0,,,,,,
26,26,26,24104.324,24428.2,24104.324,24428.2,323.876,1,2,1,,7,,,,2864.5,,
27,27,27,24428.2,24507.875,24428.2,24507.875,79.675,1,0,,,0,,,,,,
28,28,28,24507.875,25205.125,24507.875,25205.125,697.25,1,2.35,1,,7,,,,2437.87234,,
29,29,29,25205.125,30489.827,25205.125,30489.827,5284.702,1,0,,,0,,,,,,
30,30,30,30489.827,30553.411,30489.827,30553.411,63.584,1,0.5,1,,7,,,,11458,,
31,31,31,30553.411,31142.203,30553.411,31142.203,588.792,1,0,,,0,,,,,,
32,32,32,31142.203,31685.112,31142.203,31685.112,542.909,1,0,,,0,,,,,,
33,33,33,31685.112,32103.911,31685.112,32103.911,418.799,1,0.75,1,,7,,,,7638.666667,,
34,34,34,32103.911,32269.684,32103.911,32269.684,165.773,1,0,,,0,,,,,,
