Vehicle_id,Pullin_time,Route_sequence,If_turnaround,Vehicle_type,Pullout_time
1,660.0,2.0,0.0,2.0,95000.0
2,840.0,5.0,0.0,2.0,95000.0
3,2460.0,6.0,0.0,2.0,95000.0
4,3600.0,1.0,0.0,2.0,95000.0
5,4260.0,2.0,0.0,2.0,95000.0
6,4440.0,5.0,0.0,2.0,95000.0
7,6060.0,6.0,0.0,2.0,95000.0
8,7200.0,1.0,0.0,2.0,95000.0
9,7860.0,2.0,0.0,2.0,95000.0
10,8040.0,5.0,0.0,2.0,95000.0
11,9660.0,6.0,0.0,2.0,95000.0
12,10800.0,1.0,0.0,2.0,95000.0
13,11460.0,2.0,0.0,2.0,95000.0
14,11640.0,5.0,0.0,2.0,95000.0
15,13260.0,6.0,0.0,2.0,95000.0
16,14400.0,1.0,0.0,2.0,95000.0
17,15060.0,2.0,0.0,2.0,95000.0
18,15240.0,5.0,0.0,2.0,95000.0
19,16860.0,6.0,0.0,2.0,95000.0
20,18000.0,1.0,0.0,2.0,95000.0
21,18660.0,2.0,0.0,2.0,95000.0
22,18840.0,5.0,0.0,2.0,95000.0
23,20460.0,6.0,0.0,2.0,95000.0
24,22260.0,2.0,0.0,2.0,95000.0
25,23400.0,1.0,0.0,2.0,95000.0
26,24060.0,6.0,0.0,2.0,95000.0
27,25860.0,2.0,0.0,2.0,95000.0
28,27000.0,1.0,0.0,2.0,95000.0
29,27660.0,6.0,0.0,2.0,95000.0
30,28800.0,1.0,0.0,2.0,95000.0
31,29460.0,2.0,0.0,2.0,95000.0
32,30600.0,1.0,0.0,2.0,95000.0
33,31260.0,6.0,0.0,2.0,95000.0
34,32400.0,1.0,0.0,2.0,95000.0
35,33060.0,2.0,0.0,2.0,95000.0
36,34860.0,6.0,0.0,2.0,95000.0
37,36000.0,1.0,0.0,2.0,95000.0
38,36660.0,2.0,0.0,2.0,95000.0
39,36840.0,5.0,0.0,2.0,95000.0
40,38460.0,6.0,0.0,2.0,95000.0
41,39600.0,1.0,0.0,2.0,95000.0
42,40260.0,2.0,0.0,2.0,95000.0
43,40440.0,5.0,0.0,2.0,95000.0
44,42060.0,6.0,0.0,2.0,95000.0
45,43200.0,1.0,0.0,2.0,95000.0
46,43860.0,2.0,0.0,2.0,95000.0
47,44040.0,5.0,0.0,2.0,95000.0
48,45660.0,6.0,0.0,2.0,95000.0
49,46800.0,1.0,0.0,2.0,95000.0
50,47460.0,2.0,0.0,2.0,95000.0
51,47640.0,5.0,0.0,2.0,95000.0
52,49260.0,6.0,0.0,2.0,95000.0
53,50400.0,1.0,0.0,2.0,95000.0
54,51060.0,2.0,0.0,2.0,95000.0
55,51240.0,5.0,0.0,2.0,95000.0
56,52860.0,6.0,0.0,2.0,95000.0
57,54000.0,1.0,0.0,2.0,95000.0
58,54660.0,2.0,0.0,2.0,95000.0
59,54840.0,5.0,0.0,2.0,95000.0
60,56460.0,2.0,0.0,2.0,95000.0
61,57600.0,1.0,0.0,2.0,95000.0
62,58260.0,2.0,0.0,2.0,95000.0
63,58440.0,5.0,0.0,2.0,95000.0
64,60060.0,2.0,0.0,2.0,95000.0
65,61200.0,1.0,0.0,2.0,95000.0
66,62040.0,5.0,0.0,2.0,95000.0
67,62640.0,18.0,0.0,2.0,95000.0
68,63660.0,2.0,0.0,2.0,95000.0
69,64800.0,1.0,0.0,2.0,95000.0
70,65460.0,2.0,0.0,2.0,95000.0
71,65640.0,5.0,0.0,2.0,95000.0
72,67260.0,2.0,0.0,2.0,95000.0
73,68400.0,1.0,0.0,2.0,95000.0
74,69240.0,5.0,0.0,2.0,95000.0
75,70860.0,6.0,0.0,2.0,95000.0
76,72000.0,1.0,0.0,2.0,95000.0
77,72660.0,2.0,0.0,2.0,95000.0
78,72840.0,5.0,0.0,2.0,95000.0
79,74460.0,6.0,0.0,2.0,95000.0
80,75600.0,1.0,0.0,2.0,95000.0
81,76260.0,2.0,0.0,2.0,95000.0
82,76440.0,5.0,0.0,2.0,95000.0
83,78060.0,6.0,0.0,2.0,95000.0
84,79200.0,1.0,0.0,2.0,95000.0
