Stop_id,Stop_name,Line,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
1,30thSt_1,SEPTA_Newark,,100,1,30,1,100,50,0,100,141361.615,141461.615,1,2,1
2,PennMedicine_2,SEPTA_Newark,,100,30,30,1,100,50,1400,1500,142761.615,142861.615,1,2,1
3,Darby_1,SEPTA_Newark,,100,30,30,1,100,50,8300,8400,149661.615,149761.615,1,2,1
4,CurtisPark_1,SEPTA_Newark,,100,30,30,1,100,50,9400,9500,150761.615,150861.615,1,2,1
5,SharonHill_1,SEPTA_Newark,,100,30,30,1,100,50,10000,10100,151361.615,151461.615,1,2,1
6,Folcroft_1,SEPTA_Newark,,100,30,30,1,100,50,10900,11000,152261.615,152361.615,1,2,1
7,Glenolden_1,SEPTA_Newark,,100,30,30,1,100,50,12100,12200,153461.615,153561.615,1,2,1
8,Norwood_1,SEPTA_Newark,,100,30,30,1,100,50,13100,13200,154461.615,154561.615,1,2,1
9,ProspectPark_1,SEPTA_Newark,,100,30,30,1,100,50,13700,13800,155061.615,155161.615,1,2,1
10,RidleyPark_1,SEPTA_Newark,,100,30,30,1,100,50,15300,15400,156661.615,156761.615,1,2,1
11,CrumLynne_1,SEPTA_Newark,,100,30,30,1,100,50,16300,16400,157661.615,157761.615,1,2,1
12,Eddystone_1,SEPTA_Newark,,100,30,30,1,100,50,18500,18600,159861.615,159961.615,1,2,1
13,ChesterTC_1,SEPTA_Newark,,100,30,30,1,100,50,20000,20100,161361.615,161461.615,1,2,1
14,HighlandAve_1,SEPTA_Newark,,100,30,30,1,100,50,23300,23400,164661.615,164761.615,1,2,1
15,MarcusHook_1,SEPTA_Newark,,100,30,30,1,100,50,26100,26200,167461.615,167561.615,1,2,1
16,Claymont_1,SEPTA_Newark,,100,30,30,1,100,50,29950,3050,171311.615,144411.615,1,2,1
17,Wilmington_1,SEPTA_Newark,,100,30,30,1,100,50,41400,41500,182761.615,182861.615,1,2,1
18,Churchmans_1,SEPTA_Newark,,100,30,30,1,100,50,53600,53700,194961.615,195061.615,1,2,1
19,Newark_1,SEPTA_Newark,,100,1,30,1,100,50,60500,60600,201861.615,201961.615,1,2,1
20,BaltPenn_1,Amtrak,,100,1,30,1,100,50,151500,151600,292861.615,292961.615,1,2,1
21,30thSt_4,SEPTA_Newark,,100,1,30,1,100,50,0,100,,,1,4,1
