Vehicle_id,Pullin_time,,Pullout_time,If_turnaround,Vehicle_type,Route_sequence
1,0,,36000,0,3,2
2,1200,,36000,0,3,2
3,2400,,36000,0,3,2
4,3600,,36000,0,3,2
5,4800,,36000,0,3,2
6,6000,,36000,0,3,2
7,7200,,36000,0,3,2
8,8400,,36000,0,3,2
9,0,,36000,0,1,3
10,1800,,36000,0,1,3
11,3600,,36000,0,1,3
12,5400,,36000,0,1,3
13,7200,,36000,0,1,3
14,9000,,36000,0,1,3
15,900,,36000,0,1,3
16,2700,,36000,0,1,3
17,4500,,36000,0,1,3
18,6300,,36000,0,1,3
19,8100,,36000,0,1,3
20,9900,,36000,0,1,3
22,1680,,36000,0,1,4
23,2880,,36000,0,1,4
24,4080,,36000,0,1,4
25,5280,,36000,0,1,4
26,6480,,36000,0,1,4
27,2280,,36000,0,1,4
28,3480,,36000,0,1,4
29,4680,,36000,0,1,4
30,5880,,36000,0,1,4
