Vehicle_id,Pullin_time,,Pullout_time,If_turnaround,Vehicle_type,Route_sequence
1,0,,36000,0,3,2
2,600,,36000,0,3,2
3,1200,,36000,0,3,2
4,1800,,36000,0,3,2
5,2400,,36000,0,3,2
6,3000,,36000,0,3,2
7,3600,,36000,0,3,2
8,4200,,36000,0,3,2
9,4800,,36000,0,3,2
10,5400,,36000,0,3,2
11,6000,,36000,0,3,2
12,6600,,36000,0,3,2
13,7200,,36000,0,3,2
14,7800,,36000,0,3,2
15,8400,,36000,0,3,2
16,9000,,36000,0,3,2
17,0,,36000,0,1,3
18,1200,,36000,0,1,3
19,2400,,36000,0,1,3
20,3600,,36000,0,1,3
21,4800,,36000,0,1,3
22,6000,,36000,0,1,3
23,7200,,36000,0,1,3
24,8400,,36000,0,1,3
29,1680,,36000,0,1,4
30,2880,,36000,0,1,4
31,4080,,36000,0,1,4
32,5280,,36000,0,1,4
33,6480,,36000,0,1,4
34,7680,,36000,0,1,4
35,8880,,36000,0,1,4
36,10080,,36000,0,1,4
37,11280,,36000,0,1,4
