Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
0,0,0,0,734.908,,,734.908,1,1.5,1,,7,,,,3819.333333,,
1,1,1,734.908,1093.145,,,358.237,1,4,1,,7,,,,1432.25,,
2,2,2,1093.145,1775.967,,,682.822,1,0,,,,,,,,,
3,3,3,1775.967,2224.276,,,448.309,1,2.15,1,,7,,,,2664.651163,,
4,4,4,2224.276,2654.492,,,430.216,1,2,1,,7,,,,2864.5,,
5,5,5,2654.492,3022.779,,,368.287,1,2.4,1,,7,,,,2387.083333,,
6,6,6,3022.779,3342.171,,,319.392,1,1.5,1,,7,,,,3819.333333,,
7,7,7,3342.171,3477.59,,,135.419,1,1.5,1,,7,,,,3819.333333,,
8,8,8,3477.59,7244.247,,,3766.657,1,0,,,,,,,,,
9,9,9,7244.247,8131.907,,,887.66,1,1.1,1,,7,,,,5208.181818,,
10,10,10,8131.907,9561.776,,,1429.869,1,1,1,,7,,,,5729,,
11,11,11,9561.776,10572.273,,,1010.497,1,1,1,,7,,,,5729,,
12,12,12,10572.273,13636.267,,,3063.994,1,0,,,,,,,,,
13,13,13,13636.267,14160.434,,,524.167,1,1,1,,7,,,,5729,,
14,14,14,14160.434,15492.364,,,1331.93,1,0,,,,,,,,,
15,15,15,15492.364,16186.222,,,693.858,1,1,1,,7,,,,5729,,
16,16,16,16186.222,17366.516,,,1180.294,1,0,,,,,,,,,
17,17,17,17366.516,18909.361,,,1542.845,1,0.85,1,,7,,,,6740,,
18,18,18,18909.361,20546.864,,,1637.503,1,0,,,,,,,,,
19,19,19,20546.864,20965.116,,,418.252,1,0.8,1,,7,,,,7161.25,,
20,20,20,20965.116,22112.837,,,1147.721,1,0,,,,,,,,,
21,21,21,22112.837,22773.556,,,660.719,1,0.6,1,,7,,,,9548.333333,,
22,22,22,22773.556,23744.645,,,971.089,1,0,,,,,,,,,
23,23,23,23744.645,23975.032,,,230.387,1,0.2,1,,7,,,,28645,,
24,24,24,23975.032,24820.938,,,845.906,1,0,,,,,,,,,
25,25,25,24820.938,25198.671,,,377.733,1,0.2,1,,7,,,,28645,,
26,26,26,25198.671,27432.58,,,2233.909,1,0,,,,,,,,,
27,27,27,27432.58,28334.901,,,902.321,1,1,1,,7,,,,5729,,
28,28,28,28334.901,29669.034,,,1334.133,1,0,,,,,,,,,
29,29,29,29669.034,30273.318,,,604.284,1,1,1,,7,,,,5729,,
30,30,30,30273.318,30522.448,,,249.13,1,0.3,1,,7,,,,19096.66667,,
31,31,31,30522.448,30547.472,,,25.024,1,0,,,,,,,,,
32,32,32,30547.472,31065.282,,,517.81,1,0.2,1,,7,,,,28645,,
33,33,33,31065.282,31218.611,,,153.329,1,0,,,,,,,,,
34,34,34,31218.611,33607.845,,,2389.234,1,0.8,1,,7,,,,7161.25,,
35,35,35,33607.845,34220.636,,,612.791,1,1,1,,7,,,,5729,,
36,36,36,34220.636,35305.522,,,1084.886,1,0,,,,,,,,,
37,37,37,35305.522,36036.272,,,730.75,1,1.6,1,,7,,,,3580.625,,
38,38,38,36036.272,36576.787,,,540.515,1,1,1,,7,,,,5729,,
39,39,39,36576.787,36878.255,,,301.468,1,0,,,,,,,,,
40,40,40,36878.255,38241.704,,,1363.449,1,0.5,1,,7,,,,11458,,
41,41,41,38241.704,38959.482,,,717.778,1,0.5,1,,7,,,,11458,,
42,42,42,38959.482,40448.45,,,1488.968,1,0,,,,,,,,,
43,43,43,40448.45,41015.949,,,567.499,1,1.8,1,,7,,,,3182.777778,,
44,44,44,41015.949,41542.087,,,526.138,1,3,1,,7,,,,1909.666667,,
45,45,45,41542.087,41833.924,,,291.837,1,0,,,,,,,,,
46,46,46,41833.924,41912.469,,,78.545,1,1,1,,7,,,,5729,,
47,47,47,41912.469,42785.774,,,873.305,1,3.65,1,,7,,,,1569.589041,,
48,48,48,42785.774,44337.5,,,1551.726,1,0,,,,,,,,,
49,49,49,44337.5,45500.189,,,1162.689,1,0.95,1,,7,,,,6030.526316,,
50,50,50,45500.189,46565.992,,,1065.803,1,0,,,,,,,,,
51,51,51,46565.992,47406.782,,,840.79,1,1.1,1,,7,,,,5208.181818,,
52,52,52,47406.782,48015.485,,,608.703,1,0,,,,,,,,,
53,53,53,48015.485,48803.349,,,787.864,1,0.6,1,,7,,,,9548.333333,,
54,54,54,48803.349,50819.932,,,2016.583,1,0,,,,,,,,,
55,55,55,50819.932,51542.873,,,722.941,1,1,1,,7,,,,5729,,
56,56,56,51542.873,51885.68,,,342.807,1,0,,,,,,,,,
57,57,57,51885.68,52782.158,,,896.478,1,0.6,1,,7,,,,9548.333333,,
58,58,58,52782.158,53974.74,,,1192.582,1,0,,,,,,,,,
59,59,59,53974.74,54230.015,,,255.275,1,0.5,1,,7,,,,11458,,
60,60,60,54230.015,56070.329,,,1840.314,1,0,,,,,,,,,
61,61,61,56070.329,56595.447,,,525.118,1,0.2,1,,7,,,,28645,,
62,62,62,56595.447,61320.252,,,4724.805,1,0,,,,,,,,,
63,63,63,61320.252,63890.83,,,2570.578,1,0.5,1,,7,,,,11458,,
64,64,64,63890.83,65584.311,,,1693.481,1,0,,,,,,,,,
65,65,65,65584.311,65837.995,,,253.684,1,0.6,1,,7,,,,9548.333333,,
66,66,66,65837.995,68658.978,,,2820.983,1,0,,,,,,,,,
67,67,67,68658.978,70120.85,,,1461.872,1,0.2,1,,7,,,,28645,,
68,68,68,70120.85,70924.788,,,803.938,1,0,,,,,,,,,
69,69,69,70924.788,71850.351,,,925.563,1,0.6,1,,7,,,,9548.333333,,
70,70,70,71850.351,73274.188,,,1423.837,1,0,,,,,,,,,
71,71,71,73274.188,74160.193,,,886.005,1,1,1,,7,,,,5729,,
72,72,72,74160.193,76327.956,,,2167.763,1,0,,,,,,,,,
73,73,73,76327.956,76965.717,,,637.761,1,1.1,1,,7,,,,5208.181818,,
74,74,74,76965.717,78268.523,,,1302.806,1,0,,,,,,,,,
75,75,75,78268.523,79549.71,,,1281.187,1,0.9,1,,7,,,,4092.142857,,
76,76,76,79549.71,80043.88,,,494.17,1,0,,,,,,,,,
77,77,77,80043.88,81260.014,,,1216.134,1,0.85,1,,7,,,,6740,,
78,78,78,81260.014,83388.163,,,2128.149,1,0,,,,,,,,,
79,79,79,83388.163,84921.342,,,1533.179,1,0.6,1,,7,,,,4774.166667,,
80,80,80,84921.342,87549.05,,,2627.708,1,0.2,1,,7,,,,,,
81,81,81,87549.05,88674.648,,,1125.598,1,0,,,,,,,9548.333333,,
82,82,82,88674.648,90164.25,,,1489.602,1,0.5,1,,7,,,,28645,,
83,83,83,90164.25,90885.214,,,720.964,1,0.5,1,,7,,,,,,
84,84,84,90885.214,94857.447,,,3972.233,1,0,,,,,,,4092.142857,,
85,85,85,94857.447,95081.974,,,224.527,1,0.9,1,,7,,,,,,
86,86,86,95081.974,96623.652,,,1541.678,1,0.9,1,,7,,,,11458,,
87,87,87,96623.652,97502.701,,,879.049,1,0,,,,,,,,,
88,88,88,97502.701,99140.837,,,1638.136,1,0.7,1,,7,,,,4774.166667,,
89,89,89,99140.837,101536.127,,,2395.29,1,0,,,,,,,,,
90,90,90,101536.127,102786.711,,,1250.584,1,1,1,,7,,,,8184.285714,,
91,91,91,102786.711,104170.98,,,1384.269,1,0,,,,,,,,,
