Section_id,Start_location,End_location,Track_id,Curve_degree,Curve_direction,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc
1,1802.4608,1882.9278,7,,,0,0,13.4112,13.4112,,
2,1882.9278,2027.7684,7,6,1,4.25,2,13.4112,13.4112,954.93,35.4
3,2027.7684,2092.142,7,,,0,0,13.4112,13.4112,,
4,2092.142,2301.3562,7,6,0,4.25,2,13.4112,13.4112,954.93,35.4
5,2301.3562,2365.7298,7,,,0,0,13.4112,11.176,,
6,2365.7298,2462.2902,7,3.316667,1,4.25,1.25,13.4112,11.176,1727.51,47.7
7,2462.2902,3138.213,7,,,0,0,13.4112,13.4112,,
8,3138.213,3299.147,7,2.866667,0,4.25,1,13.4112,13.4112,1998.69,51.3
9,3299.147,3540.548,7,2.716667,1,4.25,1,13.4112,13.4112,2109.05,52.7
10,3540.548,3846.3226,7,,,0,0,17.8816,17.8816,,
11,3846.3226,3910.6962,7,0.283333,1,0.5,0.5,17.8816,17.8816,20222.07,163.1
12,3910.6962,3975.0698,7,,,0,0,17.8816,17.8816,,
13,3975.0698,4216.4708,7,2.466667,0,4.25,1,17.8816,17.8816,2322.8,55.3
14,4216.4708,4602.7124,7,,,0,0,17.8816,17.8816,,
15,4602.7124,4908.487,7,2.183333,0,4.25,1.25,17.8816,17.8816,2624.24,58.8
16,4908.487,5069.421,7,,,0,0,17.8816,17.8816,,
17,5069.421,5165.9814,7,0.883333,1,1,1,20.1168,11.176,6486.32,92.4
18,5165.9814,5246.4484,7,1.3,0,1.887733606,1.25,20.1168,11.176,4407.37,76.2
19,5246.4484,5439.5692,7,,,0,0,20.1168,11.176,,
20,5439.5692,5874.091,7,2,1,4.25,1.25,20.1168,11.176,2864.79,61.4
21,5874.091,7966.233,7,,,0,0,35.31616,11.176,,
22,7966.233,8239.8208,7,2.3333333,1,4.25,3,26.8224,22.352,2455.53,56.8
23,8239.8208,8481.2218,7,,,0,0,26.8224,22.352,,
24,8481.2218,8642.1558,7,1.5,0,2.927885975,1.5,26.8224,22.352,3819.72,70.9
25,8642.1558,9913.5344,7,,,0,0,35.31616,22.352,,
26,9913.5344,10106.6552,7,1.95,0,4.25,2.25,26.8224,22.352,2938.25,62.2
27,10106.6552,10219.309,7,,,0,0,26.8224,22.352,,
28,10219.309,10879.1384,7,1.93333,1,4.25,2.25,26.8224,22.352,2963.58,62.4
29,10879.1384,11780.3688,7,,,0,0,35.31616,22.352,,
30,11780.3688,12263.1708,7,0.6,1,1,1,35.31616,22.352,9549.3,112.1
31,12263.1708,12729.8794,7,,,0,0,35.31616,22.352,,
32,12729.8794,13357.522,7,0.6,0,1,1,35.31616,22.352,9549.3,112.1
33,13357.522,13759.857,7,,,0,0,35.31616,22.352,,
34,13759.857,13888.6042,7,0.85,1,1,1,35.31616,22.352,6740.68,94.2
35,13888.6042,14403.593,7,,,0,0,35.31616,22.352,,
36,14403.593,14805.928,7,0.95,0,1,1,33.528,22.352,6031.14,89.1
37,14805.928,16656.669,7,,,0,0,35.31616,22.352,,
38,16656.669,17300.405,7,2.45,1,4.25,3.75,35.31616,22.352,2338.6,55.5
39,17300.405,17461.339,7,,,0,0,26.8224,22.352,,
40,17461.339,17622.273,7,1.1,0,1.5,1.5,26.8224,22.352,5208.71,82.8
41,17622.273,17702.74,7,,,0,0,26.8224,22.352,,
42,17702.74,17944.141,7,1.93,0,4.25,2,26.8224,22.352,2968.69,62.5
43,17944.141,18636.1572,7,,,0,0,26.8224,22.352,,
44,18636.1572,19440.8272,7,2.25,1,4.25,3.5,26.8224,22.352,2546.48,57.9
45,19440.8272,19794.882,7,,,0,0,26.8224,22.352,,
46,19794.882,20502.9916,7,1.416667,0,2.49542585,2,26.8224,17.8816,4044.41,73
47,20502.9916,21372.0352,7,,,0,0,26.8224,17.8816,,
48,21372.0352,21999.6778,7,2.416667,0,4.25,2.75,24.5872,17.8816,2370.86,55.9
49,21999.6778,23496.364,7,,,0,0,26.8224,17.8816,,
50,23496.364,24268.8472,7,1.95,0,4.25,2,26.8224,17.8816,2938.25,62.2
51,24268.8472,24864.303,7,,,0,0,26.8224,17.8816,,
52,24864.303,25749.44,7,0.766667,1,1,1,26.8224,17.8816,7473.36,99.2
53,25749.44,26006.9344,7,,,0,0,26.8224,17.8816,,
54,26006.9344,26200.0552,7,1.95,1,4.25,2,26.8224,17.8816,2938.25,62.2
55,26200.0552,26425.3628,7,,,0,0,26.8224,17.8816,,
56,26425.3628,26618.4836,7,0.766667,0,1,1,26.8224,17.8816,7473.36,99.2
57,26618.4836,27439.247,7,,,0,0,26.8224,17.8816,,
58,27439.247,27648.4612,7,1.033333,0,1,1,26.8224,17.8816,5544.76,85.4
59,27648.4612,28871.5596,7,,,0,0,26.8224,17.8816,,
60,28871.5596,29209.521,7,1.65,1,3.702699384,2,26.8224,17.8816,3472.47,67.6
61,29209.521,29450.922,7,,,0,0,26.8224,17.8816,,
62,29450.922,29933.724,7,1.883333,0,4.25,2,26.8224,17.8816,3042.26,63.3
63,29933.724,30126.8448,7,,,0,0,26.8224,17.8816,,
64,30126.8448,30416.526,7,1.483333,1,2.841502955,1,26.8224,17.8816,3862.64,71.3
65,30416.526,32106.333,7,,,0,0,26.8224,17.8816,,
