Name,id,Type,Control_block_id,Ahead_block_id,Two_ahead_block_id,Direction
BlockA_5_EB,1,Block,47,48,49,EB
BlockA_5_WB,2,Block,48,47,46,WB
BlockA_7_EB,3,Block,3,2,1,EB
BlockA_7_WB,4,Block,2,3,4,WB
BlockB_5_EB,5,Block,44,45,46,EB
BlockB_5_WB,6,Block,45,44,43,WB
BlockB_7_EB,7,Block,6,5,4,EB
BlockB_7_WB,8,Block,5,6,7,WB
BlockC_5_EB,9,Block,43,44,45,EB
BlockC_5_WB,10,Block,44,43,42,WB
BlockC_7_EB,11,Block,7,6,5,EB
BlockC_7_WB,12,Block,6,7,8,WB
BlockD_5_EB,13,Block,42,43,44,EB
BlockD_5_WB,14,Block,43,42,41,WB
BlockD_7_EB,15,Block,8,7,6,EB
BlockD_7_WB,16,Block,7,8,9,WB
BlockE_5_EB,17,Block,41,42,43,EB
BlockE_5_WB,18,Block,42,41,40,WB
BlockE_7_EB,19,Block,9,8,7,EB
BlockE_7_WB,20,Block,8,9,10,WB
BlockF_5_EB,21,Block,39,40,41,EB
BlockF_5_WB,22,Block,40,39,38,WB
BlockF_7_EB,23,Block,11,10,9,EB
BlockF_7_WB,24,Block,10,11,12,WB
BlockG_5_EB,25,Block,38,39,40,EB
BlockG_5_WB,26,Block,39,38,37,WB
BlockG_7_EB,27,Block,12,11,10,EB
BlockG_7_WB,28,Block,11,12,13,WB
BlockH_5_EB,29,Block,37,38,39,EB
BlockH_5_WB,30,Block,38,37,36,WB
BlockH_7_EB,31,Block,13,12,11,EB
BlockH_7_WB,32,Block,12,13,14,WB
Cove_5_EB,33,Control Point,48,49,50,EB
Cove_7_EB,34,Control Point,2,1,0,EB
CP-11_5_EB,35,Control Point,"40,10",41,42,EB
CP-11_5_WB,36,Control Point,"41,9",40,39,WB
CP-11_7_EB,37,Control Point,"10,40",9,8,EB
CP-11_7_WB,38,Control Point,"9,41",10,11,WB
CP-21_5_EB,39,Control Point,"36,14",37,38,EB
CP-21_5_WB,40,Control Point,"37,13",36,35,WB
CP-21_7_EB,41,Control Point,"14,36",13,12,EB
CP-21_7_WB,42,Control Point,"13,37",14,15,WB
CP-22_5_EB,43,Control Point,"35,15",36,37,EB
CP-22_5_WB,44,Control Point,"36,14",35,34,WB
CP-22_7_EB,45,Control Point,"15,35",14,13,EB
CP-22_7_WB,46,Control Point,"14,36",15,16,WB
CP-23_5_EB,47,Control Point,"34,16",35,36,EB
CP-23_5_WB,48,Control Point,"35,15",34,33,WB
CP-23_7_EB,49,Control Point,"16,34",15,14,EB
CP-23_7_WB,50,Control Point,"15,35",16,17,WB
CP-24_5_EB,51,Control Point,"33,17",34,35,EB
CP-24_5_WB,52,Control Point,"34,16",33,32,WB
CP-24_7_EB,53,Control Point,"17,33",16,15,EB
CP-24_7_WB,54,Control Point,"16,34",17,18,WB
CP-28_5_EB,55,Control Point,"32,18",33,34,EB
CP-28_5_WB,56,Control Point,"33,17",32,31,WB
CP-28_7_EB,57,Control Point,"18,32",17,16,EB
CP-28_7_WB,58,Control Point,"17,33",18,19,WB
CP-29_7_EB,59,Control Point,19,18,17,EB
CP-29_7_WB,60,Control Point,18,19,20,WB
CP-3_5_EB,61,Control Point,"46,4",47,48,EB
CP-3_5_WB,62,Control Point,"47,3",46,45,WB
CP-3_7_EB,63,Control Point,"4,46",3,2,EB
CP-3_7_WB,64,Control Point,"3,47",4,5,WB
CP-30_7_EB,65,Control Point,20,19,18,EB
CP-30_7_WB,66,Control Point,19,20,21,WB
CP-33_5_EB,67,Control Point,"31,21",32,33,EB
CP-33_5_WB,68,Control Point,"32,20",31,30,WB
CP-33_7_EB,69,Control Point,"21,31",20,19,EB
CP-33_7_WB,70,Control Point,"20,32",21,22,WB
CP-39_5_EB,71,Control Point,"30,22",31,32,EB
CP-39_5_WB,72,Control Point,"31,21",30,29,WB
CP-39_7_EB,73,Control Point,"22,30",21,20,EB
CP-39_7_WB,74,Control Point,"21,31",22,23,WB
CP-42_5_EB,75,Control Point,29,30,31,EB
CP-42_5_WB,76,Control Point,30,29,28,WB
CP-43_5_EB,77,Control Point,"28,23",29,30,EB
CP-43_5_WB,78,Control Point,"29,22",28,27,WB
CP-43_7_EB,79,Control Point,"23,28",22,21,EB
CP-43_7_WB,80,Control Point,"22,29",23,24,WB
CP-44_5_EB,81,Control Point,"27,24",28,29,EB
CP-44_5_WB,82,Control Point,"28,23",27,26,WB
CP-44_7_EB,83,Control Point,"24,27",23,22,EB
CP-44_7_WB,84,Control Point,"23,28",24,25,WB
CP-45_5_EB,85,Control Point,"26,25",27,28,EB
CP-45_5_WB,86,Control Point,"27,24",26,,WB
CP-45_7_EB,87,Control Point,"25,26",24,23,EB
CP-45_7_WB,88,Control Point,"24,27",25,,WB
Tower1_5_EB,89,Control Point,"49,1",50,,EB
Tower1_5_WB,90,Control Point,"50,0",49,48,WB
Tower1_7_EB,91,Control Point,"1,49",0,,EB
Tower1_7_WB,92,Control Point,"0,50",1,2,WB
CP-6_5_EB,93,Control Point,"45,5",46,47,EB
CP-6_5_WB,94,Control Point,"46,4",45,44,WB
CP-6_7_EB,95,Control Point,"5,45",4,3,EB
CP-6_7_WB,96,Control Point,"4,46",5,6,WB
