Section_id,Symmetry_id,Alternative_id,Start_location,End_location,Start_location_mile,End_location_mile,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes,,,,,
1,1,,0,160.9,229,228.9,2,0,,,,,,,,,,,Track Gauge,1435 mm,4.708005,1500? Outside-outside
2,2,,160.9,482.7,228.9,228.7,2,10.48333333,0,5.75,6.25,0.5,,,546.5418126,,Curve radius is in ft,,Allowed CD (CR),3 in,3,
3,3,,482.7,1222.84,228.7,228.24,2,0,,,0,,,,,,,,,,,
4,4,,1222.84,2172.15,228.24,227.65,2,3.416666667,1,6.25,6.25,0,,,1676.950244,,,,,,,
5,5,,2172.15,2445.68,227.65,227.48,2,0,,,0,,,,,,,,FLIRT_MaxCD,5,inches,
6,6,,2445.68,2574.4,227.48,227.4,2,0.716666667,1,6.25,6.25,0,,,7994.762791,,,,,,,
7,7,,2574.4,2654.85,227.4,227.35,2,0,,,0,,,,,,,,,,,
8,8,,2654.85,2735.3,227.35,227.3,2,9.5,1,4.25,6.25,2,,,603.1136842,,,,,,,
9,9,,2735.3,2815.75,227.3,227.25,2,0,,,0,,,,,,,,,,,
10,10,,2815.75,2976.65,227.25,227.15,2,1.133333333,0,3.25,6.25,3,,,5055.511765,,,,,,,
11,11,,2976.65,3620.25,227.15,226.75,2,0,,,0,,,,,,,,,,,
12,12,,3620.25,3732.88,226.75,226.68,2,0,,,0,,,,,,,,,,,
13,13,,3732.88,3829.42,226.68,226.62,2,0,,,0,,,,,,,,,,,
14,14,,3829.42,3958.14,226.62,226.54,2,0,,,0,,,,,,,,,,,
15,15,,3958.14,4119.04,226.54,226.44,2,0,,,0,,,,,,,,,,,
16,16,,4119.04,4231.67,226.44,226.37,2,0,,,0,,,,,,,,,,,
17,17,,4231.67,4344.3,226.37,226.3,2,0,,,0,,,,,,,,,,,
18,18,,4344.3,4424.75,226.3,226.25,2,0,,,0,,,,,,,,,,,
19,19,,4424.75,4473.02,226.25,226.22,2,0,,,0,,,,,,,,,,,
20,20,,4473.02,5470.6,226.22,225.6,2,1,1,1.25,6.25,5,,,5729.58,,,,,,,
21,21,,5470.6,5711.95,225.6,225.45,2,0,,,0,,,,,,,,,,,
22,22,,5711.95,6114.2,225.45,225.2,2,1.283333333,0,0.25,6.25,6,,,4464.607792,,,,,,,
23,23,,6114.2,6226.83,225.2,225.13,2,0,,,0,,,,,,,,,,,
24,24,,6226.83,6725.62,225.13,224.82,2,1.066666667,1,1.5,6.25,4.75,,,5371.48125,,,,,,,
25,25,,6725.62,6999.15,224.82,224.65,2,0,,,0,,,,,,,,,,,
26,26,,6999.15,7369.22,224.65,224.42,2,0.85,0,2.25,6.25,4,,,6740.682353,,,,,,,
27,27,,7369.22,8398.98,224.42,223.78,2,0,  ,,0,,,,,,,,,,,
28,28,,8398.98,8527.7,223.78,223.7,2,0.233333333,0,1.114736477,1.114736477,0,,,24555.34286,,,,,,,
29,29,,8527.7,9074.76,223.7,223.36,2,0,,,0,,,,,,,,,,,
30,30,,9074.76,9830.99,223.36,222.89,2,1.133333333,1,3.25,6.25,3,,,5055.511765,,,,,,,
31,31,,9830.99,10201.06,222.89,222.66,2,0,,,0,,,,,,,,,,,
32,32,,10201.06,10555.04,222.66,222.44,2,1.216666667,0,2.75,6.25,3.5,,,4709.243836,,,,,,,
33,33,,10555.04,12872,222.44,221,2,0,,,0,,,,,,,,,,,
34,34,,12872,13129.44,221,220.84,2,1,0,2.25,6.25,4,,,5729.58,,,,,,,
35,35,,13129.44,20579.11,220.84,216.21,2,0,,,0,,,,,,,,,,,
36,36,,20579.11,21206.62,216.21,215.82,2,1,1,2.12,6.25,4.13,,,5729.58,,,,,,,
37,37,,21206.62,24231.54,215.82,213.94,2,0,,,0,,,,,,,,,,,
38A,38A,,24231.54,24842.96,213.94,213.56,2,1.05,0,2,6.25,4.25,,,5456.742857,,,,,,,
38B,38B,,24842.96,25454.38,213.56,213.18,2,1,0,2,6.25,4.25,,,5729.58,,,,,,,
39,39,,25454.38,25792.27,213.18,212.97,2,0,,,0,,,,,,,,,,,
40,40,,25792.27,26451.96,212.97,212.56,2,1,0,2,6.25,4.25,,,5729.58,,,,,,,
41,41,,26451.96,27755.25,212.56,211.75,2,0,,,0,,,,,,,,,,,
42,42,,27755.25,28077.05,211.75,211.55,2,1,1,2,6.25,4.25,,,5729.58,,,,,,,
43,43,,28077.05,28785.01,211.55,211.11,2,0,,,0,,,,,,,,,,,
44,44,,28785.01,28962,211.11,211,2,1,1,1.25,6.25,5,,,5729.58,,,,,,,
45,45,,28962,30249.2,211,210.2,2,0,,,0,,,,,,,,,,,
46,46,,30249.2,30619.27,210.2,209.97,2,1.066666667,1,2.25,6.25,4,,,5371.48125,,,,,,,
47,47,,30619.27,35156.65,209.97,207.15,2,0,,,0,,,,,,,,,,,
48,48,,35156.65,35526.72,207.15,206.92,2,1,0,1.5,6.25,4.75,,,5729.58,,,,,,,
49,49,,35526.72,38085.03,206.92,205.33,2,0,,,0,,,,,,,,,,,
50,50,,38085.03,38455.1,205.33,205.1,2,1,0,1.5,6.25,4.75,,,5729.58,,,,,,,
51,51,,38455.1,54866.9,205.1,194.9,2,0,,,0,,,,,,,,,,,
52A,52A,,54866.9,55371.05333,194.9,194.5866667,2,1.566666667,0,0.75,6.25,5.5,,,3657.178723,,,,,,,
