Section_id,Start_location,End_location,Track_id,Curve Degree,Curve Dir,Cant,Current Speed,Curve Radius (miles),Calc Max Speed,,,
1,1.12,1.17,7,0,,0,,,,,,
2,1.17,1.26,7,6,D,2,,0.859436693,#NAME?,,Track Gauge,1435 mm
3,1.26,1.3,7,0,,0,,,,,Allowed CD (CR),3 in
4,1.3,1.43,7,6,U,2,,1.241408556,,,,
5,1.43,1.47,7,0,,0,,,,,,
6,1.47,1.53,7,3.316667,D,1.25,,1.03650646,,,,
7,1.53,1.95,7,0,,0,,,,,,
8,1.95,2.05,7,2.866667,U,1,,1.998689751,,,,
9,2.05,2.2,7,2.716667,D,1,,3.16357026,,,,
10,2.2,2.39,7,0,,0,,,,,,
11,2.39,2.43,7,0.283333,D,0.5,,8.088825448,,,,
12,2.43,2.47,7,0,,0,,,,,,
13,2.47,2.62,7,2.466667,U,1,,3.484202337,,,,
14,2.62,2.86,7,0,,0,,,,,,
15,2.86,3.05,7,2.183333,U,1.25,,4.986045696,,,,
16,3.05,3.15,7,0,,0,,,,,,
17,3.15,3.21,7,0.883333,D,1,,3.891790266,,,,
18,3.21,3.26,7,1.3,U,1.25,,2.203683827,,,,
19,3.26,3.38,7,0,,0,,,,,,
20,3.38,3.65,7,2,D,1.25,,7.734930234,,,,
21,3.65,4.95,7,0,,0,,,,,,
