Section_id,Start_location,End_location,Track_id,Curve_degree,Curve_direction,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,,,,,,
133,0,254.56,1,8.438759279,1,4.25,0,,,678.96,40.78323788,,,,,,
134,254.56,1241.01,1,,,4.25,0,,,,,,,,,,
135,1241.01,1671.13,1,4.367057927,1,4.25,0,,,1312,56.69261964,,,,,,
136,1671.13,1952.65,1,,,4.25,0,,,,,,,,,,
137,1952.65,2444.97,1,2.495461672,1,4.25,0,,,2296,74.99728636,,,,,,
138,2444.97,3214.11,1,,,4.25,0,,,,,,,,,,
139,3214.11,3561.54,1,3.493646341,1,4.25,0,,,1640,63.38427566,,,,,,
140,3561.54,3868.56,1,,,4.25,0,,,,,,,,,,
141,3868.56,4103.56,1,3.493646341,1,4.25,0,,,1640,63.38427566,,,,,,
142,4103.56,5174.56,1,,,4.25,0,,,,,,,,,,
143,5174.56,5584.56,1,3.493646341,1,4.25,0,,,1640,63.38427566,,,,,,
144,5584.56,5822.56,1,,,4.25,0,,,,,,,,,,
145,5822.56,6079.56,1,1.940914634,1,4.25,0,,,2952,85.03892945,,,,,,
146,6079.56,6795.56,1,,,4.25,0,,,,,,,,,,
147,6795.56,7092.56,1,1.940914634,1,4.25,0,,,2952,85.03892945,,,,,,
148,7092.56,8438.56,1,,,4.25,0,,,,,,,,,,
149,8438.56,8681.56,1,5.822743902,1,4.25,0,,,984,49.09724882,,,,,,
150,8681.56,10254.56,1,,,4.25,0,,,,,,,,,,
151,10254.56,10497.56,1,5.822743902,1,4.25,0,,,984,49.09724882,,,,,,
152,10497.56,11939.56,1,,,4.25,0,,,,,,,,,,
153,11939.56,12118.56,1,1.940914634,1,4.25,0,,,2952,85.03892945,,,,,,
154,12118.56,13052.56,1,,,4.25,0,,,,,,,,,,
155,13052.56,13744.56,1,7.278429878,1,4.25,0,,,787.2,43.91391435,,,,,,
156,13744.56,14987.56,1,,,4.25,0,,,,,,,,,,
157,14987.56,15354.56,1,2.055086083,1,4.25,0,,,2788,82.64298447,,,,,,
158,15354.56,15707.56,1,,,4.25,0,,,,,,,,,,
159,15707.56,16334.56,1,2.10460623,1,4.25,0,,,2722.4,81.66492653,,,,,,
160,16334.56,16356,1,,,4.25,0,,,,,,,,,,
161,16356,17195.49,1,2.911371951,1,4.25,0,,,1968,69.43399514,,,,,,
162,17195.49,18034,1,2.911371951,1,4.25,0,,,1968,69.43399514,,,,,,
163,18034,18751,1,2.183528963,1,4.25,0,,,2624,80.17547157,,,,,,
164,18751,19891,1,1.940914634,1,4.25,0,,,2952,85.03892945,,,,,,
165,19891,21052,1,,,4.25,0,,,,,,,,,,
166,21052,21888,1,1.746823171,1,4.20020308,0,,,3280,89.39729336,,,,,,
167,21888,22339,1,1.455685976,1,2.698088349,0,,,3936,89.57931388,,,,,,
168,22339,23111,1,6.238654181,1,4.25,0,,,918.4,47.43244866,,,,,,
169,23111,25196,1,,,4.25,0,,,,,,,,,,
170,25196,25584,1,1.746823171,1,4.20020308,0,,,3280,89.39729336,,,,,,
171,25584,25734,1,,,4.25,0,,,,,,,,,,
172,25734,26746,1,1.091764482,1,0.797158946,0,,,5248,89.7621525,,,,,,
173,26746,27946,1,,,4.25,0,,,,,,,,,,
174,27946,28419,1,2.183528963,1,4.25,0,,,2624,80.17547157,,,,,,
175,28419,28804,1,2.183528963,1,4.25,0,,,2624,80.17547157,,,,,,
176,28804,29444,1,,,4.25,0,,,,,,,,,,
177,29444,29856,1,2.183528963,1,4.25,0,,,2624,80.17547157,,,,,,
178,29856,30488,1,,,4.25,0,,,,,,,,,,
179,30488,31959,1,1.343710131,1,2.11570614,0,,,4264,89.64092752,,,,,,
180,31959,32978,1,,,4.25,0,,,,,,,,,,
181,32978,33302,1,3.493646341,1,4.25,0,,,1640,63.38427566,,,,,,
182,33302,33942,1,3.493646341,1,4.25,0,,,1640,63.38427566,,,,,,
183,33942,34747,1,1.455685976,1,2.698088349,0,,,3936,89.57931388,,,,,,
184,34747,34833,1,3.493646341,1,4.25,0,,,1640,63.38427566,,,,,,
185,34833,36557,1,3.176042129,1,4.25,0,,,1804,66.47798915,,,,,,
186,36557,36941,1,2.329097561,1,4.25,0,,,2460,77.62956654,,,,,,
187,36941,37121,1,,,4.25,0,,,,,,,,,,
188,37121,37522,1,3.176042129,1,4.25,0,,,1804,66.47798915,,,,,,
189,37522,38686,1,2.183528963,1,4.25,0,,,2624,80.17547157,,,,,,
