Vehicle_id,Pullin_time,Route_sequence,If_turnaround,Vehicle_type,Pullout_time
1,14400,2,0,2,95000
2,15600,1,0,2,95000
3,21600,1,0,2,95000
4,21600,2,0,2,95000
5,21600,13,0,2,95000
6,22800,1,0,2,95000
7,22800,5,0,2,95000
8,24000,13,0,2,95000
9,24540,18,0,2,95000
10,25320,17,0,2,95000
11,26460,17,0,2,95000
12,27600,8,0,2,95000
13,28800,1,0,2,95000
14,28800,2,0,2,95000
15,30000,1,0,2,95000
16,30000,5,0,2,95000
17,31200,1,0,2,95000
18,31200,13,0,2,95000
19,31800,18,0,2,95000
20,32400,8,0,2,95000
21,36000,1,0,2,95000
22,36000,2,0,2,95000
23,39600,1,0,2,95000
24,40800,1,0,2,95000
25,40800,2,0,2,95000
26,45600,1,0,2,95000
27,45600,2,0,2,95000
28,50400,1,0,2,95000
29,50400,2,0,2,95000
30,54000,8,0,2,95000
31,54000,13,0,2,95000
32,55200,2,0,2,95000
33,56400,2,0,2,95000
34,57600,1,0,2,95000
35,57600,2,0,2,95000
36,58800,14,0,2,95000
37,60600,18,0,2,95000
38,61200,8,0,2,95000
39,61200,13,0,2,95000
40,62400,8,0,2,95000
41,63600,2,0,2,95000
42,63600,13,0,2,95000
43,64800,1,0,2,95000
44,64800,2,0,2,95000
45,66000,14,0,2,95000
46,67200,8,0,2,95000
47,68400,1,0,2,95000
48,68400,8,0,2,95000
49,68400,13,0,2,95000
50,69600,2,0,2,95000
51,74400,1,0,2,95000
52,75600,2,0,2,95000
53,79200,1,0,2,95000
54,79200,2,0,2,95000
