Vehicle_id,Pullin_time,Route_sequence,If_turnaround,Vehicle_type,Pullout_time
1,14400.0,1.0,0.0,2.0,95000.0
2,14400.0,2.0,0.0,2.0,95000.0
3,21600.0,1.0,0.0,2.0,95000.0
4,21600.0,2.0,0.0,2.0,95000.0
5,22800.0,1.0,0.0,2.0,95000.0
6,22800.0,5.0,0.0,2.0,95000.0
7,25320.0,17.0,0.0,2.0,95000.0
8,26160.0,17.0,0.0,2.0,95000.0
9,27600.0,8.0,0.0,2.0,95000.0
10,28800.0,1.0,0.0,2.0,95000.0
11,28800.0,2.0,0.0,2.0,95000.0
12,30000.0,1.0,0.0,2.0,95000.0
13,30000.0,5.0,0.0,2.0,95000.0
14,31200.0,1.0,0.0,2.0,95000.0
15,31800.0,18.0,0.0,2.0,95000.0
16,32400.0,8.0,0.0,2.0,95000.0
17,36000.0,1.0,0.0,2.0,95000.0
18,36000.0,2.0,0.0,2.0,95000.0
19,37200.0,2.0,0.0,2.0,95000.0
20,39600.0,1.0,0.0,2.0,95000.0
21,40800.0,2.0,0.0,2.0,95000.0
22,45600.0,1.0,0.0,2.0,95000.0
23,46800.0,2.0,0.0,2.0,95000.0
24,50400.0,1.0,0.0,2.0,95000.0
25,50400.0,2.0,0.0,2.0,95000.0
26,54000.0,5.0,0.0,2.0,95000.0
27,54000.0,8.0,0.0,2.0,95000.0
28,54960.0,17.0,0.0,2.0,95000.0
29,55200.0,5.0,0.0,2.0,95000.0
30,55200.0,8.0,0.0,2.0,95000.0
31,56400.0,8.0,0.0,2.0,95000.0
32,57600.0,1.0,0.0,2.0,95000.0
33,57600.0,2.0,0.0,2.0,95000.0
34,58800.0,6.0,0.0,2.0,95000.0
35,60840.0,18.0,0.0,2.0,95000.0
36,61800.0,18.0,0.0,2.0,95000.0
37,62400.0,1.0,0.0,2.0,95000.0
38,62400.0,2.0,0.0,2.0,95000.0
39,63600.0,2.0,0.0,2.0,95000.0
40,66000.0,8.0,0.0,2.0,95000.0
41,67200.0,1.0,0.0,2.0,95000.0
42,67200.0,2.0,0.0,2.0,95000.0
43,68400.0,2.0,0.0,2.0,95000.0
44,72000.0,1.0,0.0,2.0,95000.0
45,72000.0,2.0,0.0,2.0,95000.0
46,79200.0,1.0,0.0,2.0,95000.0
47,79200.0,2.0,0.0,2.0,95000.0
