From_station_id,From_station_name,To_station_id,To_station_name,Block_id_list
1,SouthStation_7,2,BackBay_7,"1,2"
2,BackBay_7,3,Lansdowne_7,"4,5"
3,Lansdowne_7,4,BostonLanding_7,"7,8,9"
4,BostonLanding_7,8,WellesleyFarms_7,"11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28"
8,WellesleyFarms_7,9,WellesleyHills_7,30
9,WellesleyHills_7,10,WellesleySquare_7,"32,33"
10,WellesleySquare_7,11,NatickCenter_7,"35,36"
11,NatickCenter_7,12,WestNatick_7,"38,39"
12,WestNatick_7,13,Framingham_7,"41,42,43"
13,Framingham_7,14,Ashland_7,"45,46,47,48"
14,Ashland_7,15,Southborough_7,50
15,Southborough_7,16,Westborough_7,"52,53,54,55,56,57,58"
16,Westborough_7,17,Grafton_7,"60,61"
17,Grafton_7,18,Worcester_7,"63,64,65,66,67,68,69"
35,Grafton_5,34,Westborough_5,"82,83"
34,Westborough_5,33,Southbourough_5,"85,86,87,88,89"
33,Southbourough_5,32,Ashland_5,91
32,Ashland_5,31,Framingham_5,"93,94,95,96"
31,Framingham_5,30,WestNatick_5,"98,99,100"
30,WestNatick_5,29,NatickCenter_5,"102,103"
29,NatickCenter_5,28,WellesleySquare_5,"105,106"
28,WellesleySquare_5,27,WellesleyHills_5,"108,109"
27,WellesleyHills_5,26,WellesleyFarms_5,"111,112"
26,WellesleyFarms_5,25,Auburndale_5,"114,115,116"
25,Auburndale_5,24,WestNewton_5,"118,119"
24,WestNewton_5,23,Newtonville_5,"121,122,123"
23,Newtonville_5,22,BostonLanding_5,"125,126,127,128,129,130,131,132"
22,BostonLanding_5,21,Lansdowne_5,"134,135,136"
21,Lansdowne_5,20,BackBay_5,"138,139"
20,BackBay_5,19,SouthStation_5,"141,142"
18,Worcester_7,35,Grafton_5,"69,68,76,77,78,79,80"
25,Auburndale_5,8,WellesleyFarms_7,"116,28"
4,BostonLanding_7,23,Newtonville_5,"11,12,13,129,128,127,126,125"
