Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,Max_speed,Track,Is_turnaround
1,SouthStation_7,19,100,1,30,2,804.672,"709,609.60",0,804.672,10,7,1
2,BackBay_7,20,100,60,30,1,112.65408,109.60608,2076.05376,2188.70784,10,7,0
3,Lansdowne_7,21,100,30,30,1,225.30816,222.26016,3878.51904,4103.8272,10,7,0
37,WestStation_7,40,100,30,30,1,225.30816,222.26016,6271.511,6496.81916,10,7,0
4,BostonLanding_7,22,100,30,30,1,225.30816,222.26016,7322.5152,7547.82336,10,7,0
43,Parsons_7,46,100,30,30,1,225.30816,222.26016,9106.101163,9331.409323,10,7,0
38,NewtonCorner_7,41,100,30,30,1,225.30816,222.26016,11036,11261.30816,10,7,0
5,Newtonville_7,23,100,30,30,1,418.42944,415.38144,12778.19136,13196.6208,10,7,0
6,WestNewton_7,24,100,30,30,1,257.49504,254.44704,15031.27296,15288.768,10,7,0
7,Auburndale_7,25,100,30,30,1,321.8688,318.8208,16576.2432,16898.112,10,7,0
44,Riverside_7,47,100,30,30,1,112.65408,109.60608,18285.16658,18397.82066,10,7,0
8,WellesleyFarms_7,26,100,30,30,1,112.65408,109.60608,20197.2672,20309.92128,10,7,0
9,WellesleyHills_7,27,100,30,30,1,112.65408,109.60608,21613.48992,21726.144,10,7,0
10,WellesleySquare_7,28,100,30,30,1,112.65408,109.60608,23786.10432,23898.7584,10,7,0
11,NatickCenter_7,29,70,30,30,1,96.56064,93.51264,28340.54784,28437.10848,10,7,0
12,WestNatick_7,30,100,30,30,1,112.65408,109.60608,32074.22592,32186.88,10,7,0
13,Framingham_7,31,100,60,30,1,112.65408,109.60608,33998.07516,34110.72924,10,7,1
14,Ashland_7,32,100,30,30,1,112.65408,109.60608,38988.38905,39101.04313,10,7,0
15,Southborough_7,33,100,30,30,1,112.65408,109.60608,44096.0256,44208.67968,10,7,0
16,Westborough_7,34,100,30,30,1,112.65408,109.60608,51336.43805,51449.09213,10,7,0
17,Grafton_7,35,100,30,30,1,112.65408,109.60608,58660.5888,58773.24288,10,7,0
45,Route20_7,48,100,30,30,1,112.65408,109.60608,64325.59983,64438.25391,10,7,0
39,UMass_7,42,100,30,30,1,112.65408,109.60608,69057.18174,69169.83582,10,7,0
18,Worcester_7,36,100,60,30,1,112.65408,109.60608,71342.21952,71454.8736,10,7,1
19,SouthStation_5,1,100,60,30,1,804.672,709609.6,0,804.672,10,5,1
20,BackBay_5,2,100,60,30,1,112.65408,109.60608,2076.05376,2188.70784,10,5,0
21,Lansdowne_5,3,100,60,30,1,225.30816,222.26016,3878.51904,4103.8272,10,5,0
40,WestStation_5,37,100,60,30,1,225.30816,222.26016,6271.511,6496.81916,10,5,0
22,BostonLanding_5,4,100,30,30,1,225.30816,222.26016,7322.5152,7547.82336,10,5,0
46,Parsons_5,43,100,30,30,1,225.30816,222.26016,9106.101163,9331.409323,10,5,0
41,NewtonCorner_5,38,100,30,30,1,225.30816,222.26016,11036,11261.30816,10,5,0
23,Newtonville_5,5,50,30,30,1,418.42944,415.38144,12778.19136,13196.6208,10,5,0
24,WestNewton_5,6,50,30,30,1,257.49504,254.44704,15031.27296,15288.768,10,5,0
25,Auburndale_5,7,50,30,30,1,321.8688,318.8208,16576.2432,16898.112,10,5,0
47,Riverside_5,44,100,30,30,1,112.65408,109.60608,18285.16658,18397.82066,10,5,0
26,WellesleyFarms_5,8,100,30,30,1,112.65408,109.60608,20197.2672,20309.92128,10,5,0
27,WellesleyHills_5,9,100,30,30,1,112.65408,109.60608,21613.48992,21726.144,10,5,0
28,WellesleySquare_5,10,100,30,30,1,112.65408,109.60608,23786.10432,23898.7584,10,5,0
29,NatickCenter_5,11,100,30,30,1,96.56064,93.51264,28340.54784,28437.10848,10,5,0
30,WestNatick_5,12,100,30,30,1,112.65408,109.60608,32074.22592,32186.88,10,5,0
31,Framingham_5,13,100,60,30,1,112.65408,109.60608,33998.07516,34110.72924,10,5,1
32,Ashland_5,14,100,30,30,1,112.65408,109.60608,38988.38905,39101.04313,10,5,0
33,Southborough_5,15,100,30,30,1,112.65408,109.60608,44096.0256,44208.67968,10,5,0
34,Westborough_5,16,100,30,30,1,112.65408,109.60608,51336.43805,51449.09213,10,5,0
35,Grafton_5,17,100,30,30,1,112.65408,109.60608,58660.5888,58773.24288,10,5,0
48,Route20_7,45,100,30,30,1,112.65408,109.60608,64325.59983,64438.25391,10,5,0
42,UMass_5,39,100,30,30,1,112.65408,109.60608,69057.18174,69169.83582,10,5,0
36,Worcester_5,18,100,60,30,1,112.65408,109.60608,71342.21952,71454.8736,10,5,1
49,Framingham_1,,100,60,30,1,112.65408,109.60608,0,109.60608,10,1,1
50,FraminghamState_1,,100,30,30,1,112.65408,109.60608,3221.496345,3331.102425,10,1,0
51,FraminghamTech_1,,100,30,30,1,112.65408,109.60608,6806.140261,6915.746341,10,1,0
52,Fayville_1,,100,30,30,1,112.65408,109.60608,8897.590245,9007.196325,10,1,0
53,SouthboroughMain_1,,100,30,30,1,112.65408,109.60608,10567.68283,10677.28891,10,1,0
54,MarlboroughJunction_1,,100,30,30,1,112.65408,109.60608,13494.70214,13604.30822,10,1,0
55,Northborough_1,,100,30,30,1,112.65408,109.60608,15978.94374,16088.54982,10,1,0
56,NorthboroughMain_1,,100,30,30,1,112.65408,109.60608,22954.04861,23063.65469,10,1,0
57,NorthboroughBearfoot_1,,100,30,30,1,112.65408,109.60608,25341.66543,25451.27151,10,1,0
58,Clinton,,100,30,30,1,112.65408,109.60608,37986.12106,38095.72714,10,1,1
